"label_full","population","island_group","region","province","locality","latitude","longitude","precision_tier","basis","model_region","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years"
"PhBas_Itbayaten","Itbayaten","Luzon","Batanes","Batanes","Itbayat",20.7833,121.85,"B","S9: Batanic islands; Itbayaten of Itbayat Is.","non_mindanao","4-source",0.892,0.05,0,0.077,NA,0.053,0.023,0.016,0.054,NA,499.59,0.0220703256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBas_Ivatan","Ivatan","Luzon","Batanes","Batanes","Basco",20.4489,121.97,"A","S10 LGU: Basco, Batanes; S9 Basco Ivatan dialect","non_mindanao","4-source",0.993,0.009,0.016,0,NA,0.044,0.02,0.014,0.045,NA,499.588,0.542820716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBas_Ibatan","Ibatan","Luzon","Cagayan Valley","Cagayan (Babuyan Is.)","Babuyan Claro Island",19.5225,121.9403,"A","S9: indigenous group of Babuyan Claro Island (ancestral domain 2007)","non_mindanao","4-source",0.921,0.044,0,0.044,NA,0.05,0.024,0.016,0.051,NA,499.589,0.150733228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhIlo_Ilocano","Ilocano","Luzon","Ilocos","Ilocos Sur","Vigan (prov. centroid proxy)",17.5747,120.3869,"C","S9: homeland Ilocos Norte/Sur, La Union, Abra","non_mindanao","4-source",0.896,0.072,0,0.034,NA,0.04,0.019,0.013,0.041,NA,499.594,0.33088061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCag_Gddang","Gddang","Luzon","Cordillera","Mountain Province","Paracelis",17.27,121.47,"A","S9: upland Ga'dang in Paracelis, Mt.Prov & Potia, Ifugao; S10 LGU Paracelis","non_mindanao","4-source",1.011,0.031,0,0,NA,0.048,0.022,0.014,0.048,NA,499.588,0.0337999094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCag_Gaddang","Gaddang","Luzon","Cagayan Valley","Nueva Vizcaya","Bayombong / Solano / Bagabag",16.4833,121.15,"B","S9: lowland Gaddang in Bagabag, Bayombong, Solano NV","non_mindanao","4-source",0.913,0.031,0.013,0.044,NA,0.042,0.02,0.013,0.043,NA,499.599,0.307244621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCag_Ibanag","Ibanag","Luzon","Cagayan Valley","Cagayan","Tuguegarao",17.6131,121.7269,"C","S9: major group of Cagayan & Isabela; Southern Ibanag in Tuguegarao","non_mindanao","4-source",1.012,0.078,0,0,NA,0.048,0.022,0.015,0.049,NA,499.588,0.143389497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCag_Malaweg","Malaweg","Luzon","Cagayan Valley","Cagayan","Rizal",17.9167,121.45,"A","S9: Malaweg ICCs found in the municipality of Rizal, Cagayan","non_mindanao","4-source",0.947,0.059,0,0,NA,0.044,0.021,0.014,0.045,NA,499.592,0.108342603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCag_Itawis","Itawis","Luzon","Cagayan Valley","Cagayan","Tuao",17.7167,121.45,"B","S9: Enrile, Iguig, Penablanca, Tuao, Piat, Tuguegarao, Amulung, Solana, Baggao, Alcala","non_mindanao","4-source",0.96,0.018,0.015,0.007,NA,0.045,0.021,0.014,0.045,NA,499.592,0.108604788,NA,NA,5.55,NA,NA,1.73,NA,NA,166.5,NA,NA,51.9
"PhCag_Yogad","Yogad","Luzon","Cagayan Valley","Isabela","Echague",16.7042,121.6772,"A","S9: Yogad ICCs mainly in the municipality of Echague, Isabela","non_mindanao","4-source",0.878,0.056,0.016,0.05,NA,0.041,0.019,0.013,0.041,NA,499.601,0.81937786,3.59,NA,5.22,0.99,NA,1.15,107.7,NA,156.6,29.7,NA,34.5
