"population","longitude","latitude","sPC1"
"Itbayaten",121.85,20.7833,0.0127123873894521
"Ivatan",121.97,20.4489,0.012511883650167
"Ibatan",121.9403,19.5225,-0.0163628440979544
"Ilocano",120.3869,17.5747,0.0195618137473812
"Gddang",121.47,17.27,-0.0526295493626083
"Gaddang",121.15,16.4833,0.075845884610841
"Ibanag",121.7269,17.6131,0.0138782089429423
"Malaweg",121.45,17.9167,0.0492358830632849
"Itawis",121.45,17.7167,0.0724479279384193
"Yogad",121.6772,16.7042,-0.00115475413256458
"Apayao",121.3333,17.75,0.0765613110104295
"Kalinga",121.4442,17.4547,-0.0372762730189413
"Itneg",120.6178,17.5983,0.0173783017348551
"Kankanaey",120.9,17.0833,0.0876247256959794
"Bontoc",120.9764,17.0897,0.0845428412260559
"AyanganIfugao",121.2033,16.9789,-0.0277291280087872
"TuwaliIfugao",121.0889,16.7789,0.0119091227974505
"Kalanguya",120.9333,16.6333,0.0591578779547375
"Ibaloi",120.5875,16.4597,0.0647228900731156
"Bugkalot",121.2167,15.95,0.118056962850404
"Pangasinan",120.2317,16.0214,-0.00663559771304846
"Sambal",119.9781,15.3275,0.0166121265434683
"Bolinao",119.8833,16.3833,-0.00920830794751668
"Kapampangan",120.6833,15.0333,-0.0103867141421702
"Tagalog",120.9842,14.5995,0.0114547141468717
"Bicolano",123.1948,13.6218,0.0459320146524359
"MangyanBuhid",121.43,12.7458,-0.0296674205460931
"MangyanBangon",121.42,12.8619,-0.0188977963083384
"MangyanHanunuo",121.4,12.5225,-0.0440450701944623
"MangyanIraya",121.0158,13.4297,0.0276861794792169
"BinukidnonNegros",122.8147,9.9892,-0.110751164474234
"Sulodnon",122.4,11.15,-0.0526338002643589
"Kinaray-a",121.9394,10.7444,-0.0787254283493302
"Hilgaynon",122.5621,10.7202,-0.105612153875003
"Cebuano",123.8854,10.3157,-0.0739631180956144
"Boholano",123.85,9.65,-0.0748288374440937
"Waray",125,11.2444,-0.0669523072772641
"Tausug",121.0022,6.0522,0.071277588198313
"Surigaonon",125.4939,9.7894,-0.058445922908862
"Cuyonon",121.0167,10.85,-0.0453507214938712
"Agutaya",120.9395,11.1512,-0.0397355178377543
"Palawano",117.8333,8.7833,0.397714325262588
"Tagbanwa",118.55,9.4333,0.223749461804004
"Molbog",117.0639,7.9861,0.272859626311854
"SamaDilautTaluksangay",122.15,6.9667,0.264127569007005
"SamaDilautMampang",122.1,6.92,-0.122479506818877
"SamaDilautBonggao",119.7731,5.0292,0.101306505894496
"SamaDeyaBonggao",119.7731,5.0292,0.101306505894496
"SamaKabingaan",122.079,6.9214,-0.0415280276947764
"SamaBangingi",121.78,6.07,0.140702848114131
"Yakan",122.1333,6.65,0.320444088236808
"Chavacano",122.079,6.9214,-0.0415280276947771
"Subanon",122.079,6.9214,-0.0415280276947732
"Subanen",123.1206,7.8683,0.13235992425954
"Iranun",124.2667,7.3667,0.040084581308927
"Meranao",124.2833,8,-0.0110195032447193
