population	region	model	balangao_admx	aytamagbukon_admx	span_admx	eastasian_admx	atamanobo_admx	balangao_se	aytamagbukon_se	span_se	eastasian_se	atamanobo_se	effblocks	qpadm_pval	malder_span	malder_eastasian	malder_joint_ceu_eas	malder_span_se	malder_eastasian_se	malder_joint_ceu_eas_se	malder_span_years	malder_eastasian_years	malder_joint_ceu_eas_years	malder_span_se_years	malder_eastasian_se_years	malder_joint_ceu_eas_se_years
AgtaBulusan	non_mindanao	4-source	0.768	0.224	-0.004	0.013	NA	0.043	0.021	0.014	0.042	NA	499.604	0.0578265303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AgtaCasiguran	non_mindanao	4-source	0.213	0.809	-0.015	-0.007	NA	0.052	0.03	0.019	0.051	NA	499.595	0.326397493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AgtaDumagat	non_mindanao	4-source	0.395	0.644	-0.01	-0.028	NA	0.048	0.024	0.016	0.048	NA	499.593	0.0671611085	NA	NA	16.49	NA	NA	4.84	NA	NA	494.69999999999993	NA	NA	145.2
AgtaDupaningan	non_mindanao	4-source	0.329	0.695	0.001	-0.025	NA	0.05	0.027	0.017	0.048	NA	499.594	0.36113703	NA	NA	113.45	NA	NA	33.12	NA	NA	3403.5	NA	NA	993.5999999999999
AgtaIraya	non_mindanao	4-source	0.518	0.417	-0.014	0.079	NA	0.042	0.024	0.015	0.041	NA	499.588	8.52422876e-4	NA	NA	13.49	NA	NA	4.77	NA	NA	404.7	NA	NA	143.1
AgtaIriga	non_mindanao	4-source	0.459	0.543	-0.018	0.016	NA	0.048	0.026	0.016	0.045	NA	499.596	0.0410822883	NA	NA	30.66	NA	NA	8.33	NA	NA	919.8	NA	NA	249.9
AgtaIsarog	non_mindanao	4-source	0.687	0.347	0.001	-0.036	NA	0.04	0.022	0.013	0.04	NA	499.589	0.258318002	NA	NA	29.5	NA	NA	13.52	NA	NA	885	NA	NA	405.59999999999997
AgtaLabin	non_mindanao	4-source	0.514	0.568	0	-0.082	NA	0.047	0.027	0.017	0.047	NA	499.594	0.463870233	NA	NA	23.16	NA	NA	11.12	NA	NA	694.8	NA	NA	333.59999999999997
AgtaLopez	non_mindanao	4-source	0.137	0.839	-0.013	0.038	NA	0.057	0.03	0.018	0.054	NA	499.601	0.297537568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AgtaMaddela	non_mindanao	4-source	0.278	0.806	0.005	-0.089	NA	0.056	0.033	0.021	0.053	NA	499.597	0.0392688965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AgtaManide	non_mindanao	4-source	0.124	0.879	-0.003	-0	NA	0.053	0.032	0.019	0.053	NA	499.593	0.509551781	NA	NA	11.64	NA	NA	4.99	NA	NA	349.20000000000005	NA	NA	149.70000000000002
AgtaMatnog	non_mindanao	4-source	0.758	0.226	-0.018	0.034	NA	0.038	0.021	0.013	0.039	NA	499.59	0.10525066	NA	NA	5.51	NA	NA	1.78	NA	NA	165.29999999999998	NA	NA	53.4
AgtaRemontado	non_mindanao	4-source	0.574	0.461	0	-0.036	NA	0.042	0.023	0.015	0.043	NA	499.591	0.110153494	NA	NA	19.38	NA	NA	7.06	NA	NA	581.4	NA	NA	211.79999999999998
Agutaya	non_mindanao	4-source	0.67	0.316	-0.021	0.034	NA	0.045	0.02	0.013	0.046	NA	499.591	0.556666869	NA	NA	8.04	NA	NA	1.7	NA	NA	241.2	NA	NA	51
