"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"Itbayaten","non_mindanao","Luzon","Batanes","Batanes","B",20.7833,121.85,"4-source",0.892,0.05,0,0.077,NA,0.053,0.023,0.016,0.054,NA,NA,NA,NA,499.59,0.0220703256,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,3906.25,FALSE,"1",190.125956983877,916.798901969313,TRUE
"Ivatan","non_mindanao","Luzon","Batanes","Batanes","A",20.4489,121.97,"4-source",0.993,0.009,0.016,0,NA,0.044,0.02,0.014,0.045,NA,NA,NA,NA,499.588,0.542820716,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"1",166.04764236255,892.720587347986,TRUE
"Ibatan","non_mindanao","Luzon","Cagayan Valley","Cagayan (Babuyan Is.)","A",19.5225,121.9403,"4-source",0.921,0.044,0,0.044,NA,0.05,0.024,0.016,0.051,NA,NA,NA,NA,499.589,0.150733228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,3906.25,FALSE,"1",55.5056303065603,782.178575291996,TRUE
"Ilocano","non_mindanao","Luzon","Ilocos","Ilocos Sur","C",17.5747,120.3869,"4-source",0.896,0.072,0,0.034,NA,0.04,0.019,0.013,0.041,NA,NA,NA,NA,499.594,0.33088061,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"3",41.3021210106386,513.236450355168,TRUE
"Gddang","non_mindanao","Luzon","Cordillera","Mountain Province","A",17.27,121.47,"4-source",1.011,0.031,0,0,NA,0.048,0.022,0.014,0.048,NA,NA,NA,NA,499.588,0.0337999094,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"3",566.987234654377,1038.92156399891,TRUE
"Gaddang","non_mindanao","Luzon","Cagayan Valley","Nueva Vizcaya","B",16.4833,121.15,"4-source",0.913,0.031,0.013,0.044,NA,0.042,0.02,0.013,0.043,NA,NA,NA,NA,499.599,0.307244621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"4",505.325398586222,817.647323176693,TRUE
"Ibanag","non_mindanao","Luzon","Cagayan Valley","Cagayan","C",17.6131,121.7269,"4-source",1.012,0.078,0,0,NA,0.048,0.022,0.015,0.049,NA,NA,NA,NA,499.588,0.143389497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"3",673.244252607543,1145.17858195207,TRUE
"Malaweg","non_mindanao","Luzon","Cagayan Valley","Cagayan","A",17.9167,121.45,"4-source",0.947,0.059,0,0,NA,0.044,0.021,0.014,0.045,NA,NA,NA,NA,499.592,0.108342603,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"2",448.343679358386,1088.68292889617,TRUE
"Itawis","non_mindanao","Luzon","Cagayan Valley","Cagayan","B",17.7167,121.45,"4-source",0.96,0.018,0.015,0.007,NA,0.045,0.021,0.014,0.045,NA,NA,NA,1.73,499.592,0.108604788,NA,NA,5.55,NA,NA,166.5,NA,NA,51.9,0.014,5102.04081632653,FALSE,"3",545.572723553221,1017.50705289775,TRUE
"Yogad","non_mindanao","Luzon","Cagayan Valley","Isabela","A",16.7042,121.6772,"4-source",0.878,0.056,0.016,0.05,NA,0.041,0.019,0.013,0.041,NA,0.99,NA,1.15,499.601,0.81937786,3.59,NA,5.22,107.7,NA,156.6,29.7,NA,34.5,0.013,5917.15976331361,FALSE,"3",729.880813670841,1087.59091414412,FALSE
"Apayao","non_mindanao","Luzon","Cordillera","Apayao","A",17.75,121.3333,"4-source",0.938,0.075,0.01,0,NA,0.047,0.022,0.015,0.049,NA,NA,NA,NA,499.59,0.427485856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"3",491.891697145998,963.826026490528,TRUE
"Kalinga","non_mindanao","Luzon","Cordillera","Kalinga","A",17.4547,121.4442,"4-source",0.975,0.035,0.003,0,NA,0.041,0.021,0.013,0.041,NA,NA,NA,NA,499.589,0.134871571,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"3",542.64090256674,1014.57523191127,TRUE
"Itneg","non_mindanao","Luzon","Cordillera","Abra","A",17.5983,120.6178,"4-source",0.933,0.065,0,0.021,NA,0.039,0.02,0.013,0.04,NA,NA,NA,NA,499.589,0.212201075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"3",151.02128299725,622.95561234178,TRUE
