label_full,population,island_group,region,province,locality,latitude,longitude,precision_tier,basis
PhBas_Itbayaten,Itbayaten,Luzon,Batanes,Batanes,Itbayat,20.7833,121.85,B,S9: Batanic islands; Itbayaten of Itbayat Is.
PhBas_Ivatan,Ivatan,Luzon,Batanes,Batanes,Basco,20.4489,121.97,A,"S10 LGU: Basco, Batanes; S9 Basco Ivatan dialect"
PhBas_Ibatan,Ibatan,Luzon,Cagayan Valley,Cagayan (Babuyan Is.),Babuyan Claro Island,19.5225,121.9403,A,S9: indigenous group of Babuyan Claro Island (ancestral domain 2007)
PhIlo_Ilocano,Ilocano,Luzon,Ilocos,Ilocos Sur,Vigan (prov. centroid proxy),17.5747,120.3869,C,"S9: homeland Ilocos Norte/Sur, La Union, Abra"
PhCag_Gddang,Gddang,Luzon,Cordillera,Mountain Province,Paracelis,17.27,121.47,A,"S9: upland Ga'dang in Paracelis, Mt.Prov & Potia, Ifugao; S10 LGU Paracelis"
PhCag_Gaddang,Gaddang,Luzon,Cagayan Valley,Nueva Vizcaya,Bayombong / Solano / Bagabag,16.4833,121.15,B,"S9: lowland Gaddang in Bagabag, Bayombong, Solano NV"
PhCag_Ibanag,Ibanag,Luzon,Cagayan Valley,Cagayan,Tuguegarao,17.6131,121.7269,C,S9: major group of Cagayan & Isabela; Southern Ibanag in Tuguegarao
PhCag_Malaweg,Malaweg,Luzon,Cagayan Valley,Cagayan,Rizal,17.9167,121.45,A,"S9: Malaweg ICCs found in the municipality of Rizal, Cagayan"
PhCag_Itawis,Itawis,Luzon,Cagayan Valley,Cagayan,Tuao,17.7167,121.45,B,"S9: Enrile, Iguig, Penablanca, Tuao, Piat, Tuguegarao, Amulung, Solana, Baggao, Alcala"
PhCag_Yogad,Yogad,Luzon,Cagayan Valley,Isabela,Echague,16.7042,121.6772,A,"S9: Yogad ICCs mainly in the municipality of Echague, Isabela"
PhCor_Apayao,Apayao,Luzon,Cordillera,Apayao,Conner,17.75,121.3333,A,"S10 LGU: Conner, Apayao; S9 main group of Apayao province"
PhCor_Kalinga,Kalinga,Luzon,Cordillera,Kalinga,Tabuk City,17.4547,121.4442,A,"S10 LGU: Tabuk, Kalinga"
PhCor_Itneg,Itneg,Luzon,Cordillera,Abra,Bangued,17.5983,120.6178,A,"S10 LGU: Bangued, Abra; S9 main group of Abra"
PhCor_Kankanaey,Kankanaey,Luzon,Cordillera,Mountain Province,Sagada,17.0833,120.9,A,"S10 LGU: Sagada, Mt.Prov; S9 Sagada/Besao/Bauko/Tadian/Sabangan"
PhCor_Bontoc,Bontoc,Luzon,Cordillera,Mountain Province,Bontoc,17.0897,120.9764,A,"S10 LGU: Bontoc, Mt.Prov; S9 most Bontoc in Bontoc municipality"
PhCor_Balangao,Balangao,Luzon,Cordillera,Mountain Province,Natonin,17.2333,121.2167,B,"S9: eastern Mt.Prov, mainly Natonin, some Paracelis & Barlig"
PhCor_AyanganIfugao,AyanganIfugao,Luzon,Cordillera,Ifugao,Mayoyao,16.9789,121.2033,B,S9: Ayangan settled in eastern sections of Ifugao province
PhCor_TuwaliIfugao,TuwaliIfugao,Luzon,Cordillera,Ifugao,Kiangan,16.7789,121.0889,B,"S9: Tuwali mostly in Hungduan & Kiangan; S10 LGU Lagawe, Ifugao"
PhCor_Kalanguya,Kalanguya,Luzon,Cordillera,Ifugao,Tinoc,16.6333,120.9333,B,"S9: around Mt Pulag - Tinoc/Asipulo/Kiangan/Hungduan, Kayapa, Bokod"
PhCor_Ibaloi,Ibaloi,Luzon,Cordillera,Benguet,La Trinidad,16.4597,120.5875,A,"S10 LGU: La Trinidad, Benguet"
PhCor_Bugkalot,Bugkalot,Luzon,Cagayan Valley,Nueva Vizcaya,Alfonso Castaneda,15.95,121.2167,C,S9: Nueva Vizcaya & Nueva Ecija along Caraballo / S. Sierra Madre
PhCor_Pangasinan,Pangasinan,Luzon,Ilocos,Pangasinan,Lingayen,16.0214,120.2317,C,S9: province of Pangasinan; Pangasinan State Univ acknowledged (S10)
PhCen_Sambal,Sambal,Luzon,Central Luzon,Zambales,Iba,15.3275,119.9781,C,S9: Sambal found throughout Zambales province
PhCen_Bolinao,Bolinao,Luzon,Ilocos,Pangasinan,Bolinao,16.3833,119.8833,A,"S10 LGU: Bolinao, Pangasinan; S9 Bolinao & Anda municipalities"
PhCen_Kapampangan,Kapampangan,Luzon,Central Luzon,Pampanga,City of San Fernando,15.0333,120.6833,C,S9: mainly Pampanga province
PhCen_Tagalog,Tagalog,Luzon,NCR,Metro Manila,Metro Manila,14.5995,120.9842,C,S9: capital region + Calabarzon; regional centroid proxy
PhBik_Bicolano,Bicolano,Luzon,Bicol,Camarines Sur,Naga City,13.6218,123.1948,B,S9: Bicol region; S10 Ateneo de Naga University partner
PhMyn_MangyanBuhid,MangyanBuhid,Mindoro,Mimaropa,Oriental Mindoro,Bongabong / Roxas uplands,12.7458,121.43,B,"S9: Mansalay, Roxas, Bongabong, Bansud (OrMdo); San Jose, Rizal (OccMdo)"
PhMyn_MangyanBangon,MangyanBangon,Mindoro,Mimaropa,Oriental Mindoro,Bansud / Gloria uplands,12.8619,121.42,B,"S9: ICCs in Bansud, Bongabong and Gloria, Oriental Mindoro"
PhMyn_MangyanHanunuo,MangyanHanunuo,Mindoro,Mimaropa,Oriental Mindoro,Mansalay,12.5225,121.4,B,"S9: Mansalay, Bulalacao, parts of Bongabong, SE Mindoro"
PhMyn_MangyanIraya,MangyanIraya,Mindoro,Mimaropa,Oriental Mindoro,San Teodoro,13.4297,121.0158,B,"S9: Puerto Galera, San Teodoro, Baco; Abra de Ilog, Paluan, Mamburao, Sta Cruz"
PhBuk_BinukidnonNegros,BinukidnonNegros,Negros,Western Visayas,Negros Occidental,Kabankalan,9.9892,122.8147,A,S9: group in this study are Karolanos of Kabankalan; S10 LGU Kabankalan
PhBuk_Sulodnon,Sulodnon,Panay,Western Visayas,Capiz / Iloilo / Antique,Interior Panay (Tapaz-Lambunao-Valderrama),11.15,122.4,B,"S9: interior municipalities Tapaz Capiz, Lambunao Iloilo, Valderrama Antique"
PhVis_Kinaray-a,Kinaray-a,Panay,Western Visayas,Antique,San Jose de Buenavista,10.7444,121.9394,C,S9: mainly Antique province
PhVis_Hilgaynon,Hilgaynon,Panay,Western Visayas,Iloilo,Iloilo City,10.7202,122.5621,C,S9: Panay island; Iloilo City an administrative centre
PhVis_Cebuano,Cebuano,Cebu,Central Visayas,Cebu,Cebu City,10.3157,123.8854,C,"S9: from Cebu, spread to Bohol/Negros Or./Leyte"
PhVis_Boholano,Boholano,Bohol,Central Visayas,Bohol,Tagbilaran City,9.65,123.85,C,S9: island province of Bohol
PhVis_Waray,Waray,Samar-Leyte,Eastern Visayas,Leyte,Tacloban City,11.2444,125.0,C,"S9: Samar, N Leyte, Biliran, Ticao"
PhVis_Tausug,Tausug,Sulu,BARMM,Sulu,Jolo,6.0522,121.0022,C,S9: indigenous group of Sulu island province
PhVis_Surigaonon,Surigaonon,Mindanao,Caraga,Surigao del Norte,Surigao City,9.7894,125.4939,C,S9: people living in Surigao
PhVis_Cuyonon,Cuyonon,Cuyo Is.,Mimaropa,Palawan,Cuyo,10.85,121.0167,B,S9: mainly Cuyo Islands between Palawan and Panay
PhKlm_Agutaya,Agutaya,Cuyo Is.,Mimaropa,Palawan,Agutaya,11.1512,120.9395,B,"S9: ~50% of Agutaynen live in Agutaya municipality, Cuyo archipelago"
PhPal_Palawano,Palawano,Palawan,Mimaropa,Palawan,Brooke's Point,8.7833,117.8333,B,S9: Brooke's Point / Bataraza / Quezon-Rizal southern Palawan
PhPal_Tagbanwa,Tagbanwa,Palawan,Mimaropa,Palawan,Aborlan,9.4333,118.55,B,"S9: central & northern Palawan - Quezon, Aborlan, Puerto Princesa"
PhPal_Molbog,Molbog,Palawan,Mimaropa,Palawan,Balabac,7.9861,117.0639,B,"S9: Balabac & Bataraza, mainly Balabac and Ramos Islands"
PhSam_SamaDilautTaluksangay,SamaDilautTaluksangay,Mindanao,Zamboanga Peninsula,Zamboanga City,Brgy Taluksangay,6.9667,122.15,A,"S9: Sama Dilaut ICCs of Brgys Mampang & Taluksangay, Zamboanga City"
PhSam_SamaDilautMampang,SamaDilautMampang,Mindanao,Zamboanga Peninsula,Zamboanga City,Brgy Mampang,6.92,122.1,A,"S9: Sama Dilaut ICCs of Brgys Mampang & Taluksangay, Zamboanga City"
PhSam_SamaDilautBonggao,SamaDilautBonggao,Tawi-Tawi,BARMM,Tawi-Tawi,Bongao,5.0292,119.7731,A,"S9: Sama Dilaut ICC of Bongao, Tawi-Tawi"
PhSam_SamaDeyaBonggao,SamaDeyaBonggao,Tawi-Tawi,BARMM,Tawi-Tawi,Bongao,5.0292,119.7731,A,"S9: Sama Deya ICC included in this study is from Bongao, Tawi-Tawi"
PhSam_SamaKabingaan,SamaKabingaan,Mindanao,Zamboanga Peninsula,Zamboanga City,Zamboanga City coastal brgys,6.9214,122.079,C,S9: coastal brgys of Zamboanga peninsula & Sulu islands (Kabinga'an dialect)
