population,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
AgtaBulusan,0.00549411,-0.002787951,124.1333,12.7508,Central Philippine,#565153,0.009229711999395707,-0.02091204185303848,123.18202243910605,10.42524988907591
AgtaCasiguran,-0.03637547142857143,0.04523984285714286,121.65,16.2,Northeastern Luzon,#95A459,-0.13119175877459788,0.12291637149211342,115.91020299267845,17.8735001270716
AgtaDumagat,-0.02412529,0.03038087,121.5561,14.7514,Greater Central Philippine,#ED6BB1,-0.0875695565424339,0.08063069747141181,118.16920780682398,15.683708317071666
AgtaDupaningan,-0.02694316,0.032987,122.13,18.55,Northeastern Luzon,#95A459,-0.09505095743238359,0.09015188993591995,117.78177847583785,16.176769614143716
AgtaIraya,-0.00942210011111111,0.013839942222222222,123.5167,13.4333,Central Philippine,#565153,-0.03927967724133944,0.030205272551162766,120.66993138870784,13.072394082088216
AgtaIriga,-0.0165214,0.022562815,123.4111,13.4239,Central Philippine,#565153,-0.06491116415664219,0.05473922175299454,119.34258775696692,14.342900991894693
AgtaIsarog,-0.0061884544,0.009638841,123.3767,13.6592,Central Philippine,#565153,-0.026888074105589344,0.018972614751125664,121.31163881534482,12.490703412027921
AgtaLabin,-0.017790244444444443,0.02190161111111111,121.65,18.2,Cagayan Valley,#79F287,-0.06251054043650474,0.058561721027300014,119.4669056561844,14.540851664278605
AgtaLopez,-0.04096065,0.05383806,122.26,13.8833,Central Philippine,#565153,-0.15706810922612685,0.13951287575966342,114.57017893952737,18.732961161130504
AgtaMaddela,-0.03760081666666667,0.04597553333333333,121.6667,16.3667,Northeastern Luzon,#95A459,-0.13319480701697692,0.12695593207510192,115.80647380453665,18.082691463983863
AgtaManide,-0.049065566666666664,0.05458366666666667,122.6939,14.2903,Central Philippine,#565153,-0.1573596708487252,0.1651883457437588,114.55508022659296,20.062582485400892
AgtaMatnog,0.00423435,-0.004591706,124.0833,12.5875,Central Philippine,#565153,0.015220883685457985,-0.017407529787136757,123.49227925762146,10.60673338195344
AgtaRemontado,-0.013758641111111112,0.01867221888888889,121.4333,14.6333,Central Luzon,#477C65,-0.0533766900922697,0.04506596187960671,119.93990818341807,13.8419647827101
Agutaya,0.0019991055555555557,4.197876666666666e-4,120.9395,11.1512,Palawanic-Kalamian,#87B1F1,2.8026872409617352e-5,-0.00910914863073471,122.70550704243985,11.036470580505618
Apayao,0.01176158888888889,-0.01340891111111111,121.3333,17.75,Cagayan Valley,#79F287,0.041040605127151804,-0.04331106496198421,124.82937073975843,9.265301549788333
Arta,-0.035721,0.044926299999999995,121.65,16.25,Northern Luzon,#7E6E40,-0.13037158119410913,0.12077890666182556,115.95267643528268,17.76281008634443
AtaManobo,-0.001895729111111111,0.0011067032222222223,125.6167,7.5333,Manobo,#F16DEF,-0.0011454342979857896,0.0033124933151750355,122.6447385736902,11.679733586945773
AtiNegros,0.0034083166666666665,-0.001742696,122.9908,10.2044,Malayo-Polynesian,#C1E868,0.00647117247380856,-0.014088313045659603,123.03916963137418,10.778621232967543
AtiPanay,6.707250000000002e-4,0.0013794378333333334,122.8,11.05,Malayo-Polynesian,#C1E868,-0.0026531817199365116,-0.004688853346216496,122.56665886862224,11.265378517673193
AttaRizal,-0.023835436666666668,0.026162118888888888,121.45,17.9167,Cagayan Valley,#79F287,-0.0743767577775895,0.07865057429290219,118.85240568306193,15.581166318640504
AyanganIfugao,0.01955788,-0.02383238,121.2033,16.9789,Meso-Cordilleran,#EA7B81,0.07184320584302253,-0.07046754150638788,126.42450394589558,7.858985313791303
AytaAmbala,-0.1609999625,-2.301249999999734e-5,120.4653,14.8783,Sambalic,#F1C878,0.04270985460694748,0.5033431193374693,124.91581393652322,37.57415279560505
AytaMag-antsi,-0.056894825,0.0527679,120.5333,15.1667,Sambalic,#F1C878,-0.14966660335788573,0.18934816142796723,114.95347085356913,21.313714641659942
AytaMag-indi,-0.06456131,0.05152113,120.53,15.03,Sambalic,#F1C878,-0.14380402650739338,0.2131402554534026,115.25706830282388,22.545804086755233
AytaMagbukon,-0.07256304444444445,0.07164422222222222,120.44,14.68,Sambalic,#F1C878,-0.2050558768410234,0.24339978422710393,112.0851004126524,24.112813950442614
AytaSambal,-0.040515333333333334,0.038667188888888884,120.03,15.29,Sambalic,#F1C878,-0.10947481807168376,0.13426959592938859,117.0348292400031,18.461434420791623
