"language","subgroup","colour"
"Central Cagayan Agta","Cagayan Valley","#79F287"
"Agutaynen","Palawanic-Kalamian","#87B1F1"
"Arta","Northern Luzon","#7E6E40"
"Ibatan","Batanic","#60B57B"
"Central Bontoc","Meso-Cordilleran","#EA7B81"
"Botolan Sambal","Sambalic","#F1C878"
"Ibaloi","Meso-Cordilleran","#EA7B81"
"Ibanag","Cagayan Valley","#79F287"
"Tuwali Ifugao","Meso-Cordilleran","#EA7B81"
"Ilongot","Meso-Cordilleran","#EA7B81"
"Isinai","Meso-Cordilleran","#EA7B81"
"Isnag","Cagayan Valley","#79F287"
"Kagayanen","Manobo","#F16DEF"
"Keley-i Kallahan","Meso-Cordilleran","#EA7B81"
"Kinaray-a","Central Philippine","#565153"
"Maguindanao","Danaw","#C573F1"
"Ata Manobo","Manobo","#F16DEF"
"Masbatenyo","Central Philippine","#565153"
"Coastal-Naga Bikol","Central Philippine","#565153"
"Pangasinan","Meso-Cordilleran","#EA7B81"
"Northern Subanen","Subanen","#7CF2D9"
"Filipino","Central Philippine","#565153"
"Tausug","Central Philippine","#565153"
"Tboli","Tboli-Blaan","#5C7193"
"Western Subanon","Subanen","#7CF2D9"
"Yogad","Cagayan Valley","#79F287"
