"language","longitude","latitude","sPC1"
"Central Cagayan Agta",121.857,17.9571,-0.181775305827312
"Agutaynen",119.655,10.5328,0.321974804549083
"Arta",121.656,16.4185,-0.434809151875035
"Ibatan",121.909,18.9398,-0.106227560482897
"Central Bontoc",120.92,17.08,-0.504571264439388
"Botolan Sambal",120.164,15.2315,0.588078840518541
"Ibaloi",120.695,16.4263,-0.0264099578525418
"Ibanag",121.891,17.4201,-0.350635371108059
"Tuwali Ifugao",121.113,16.6646,-2.01973260340318
"Ilongot",121.547,16.3785,-0.708461570071566
"Isinai",121.12,16.3299,0.623513402019041
"Isnag",121.16,18.2139,0.751007459987813
"Kagayanen",119.872,10.4656,0.509825656428837
"Keley-i Kallahan",121.035,16.7099,-1.47276773344894
"Kinaray-a",122.297,10.8131,0.183936891497918
"Maguindanao",124.509,6.9453,0.276324927130865
"Ata Manobo",125.499,7.7789,0.0410993887330327
"Masbatenyo",123.63579,12.21453,0.539782760963975
"Coastal-Naga Bikol",123.403,13.7574,0.588240444832366
"Pangasinan",120.365,15.9377,0.43626204108847
"Northern Subanen",123.588,8.5232,0.0712617970390106
"Filipino",123.464,12.265,0.257986155327378
"Tausug",118.88,5.12236,-0.142644983194648
"Tboli",124.538,6.20377,0.51414356285958
"Western Subanon",122.341,7.79964,0.442190263090758
"Yogad",121.718,16.7015,-0.197592894363102
