tip,glottocode,gb_name,is_philippine,n_answered,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415
Agta,cent2084,Central Cagayan Agta,TRUE,50,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Aiwoo,ayiw1239,Äiwoo,FALSE,49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,NA
AklanonBisayan,akla1241,Kailibo Aklanon,TRUE,49,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,NA,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0
AmbrymSouthEast,sout2859,Southeast Ambrym,FALSE,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,NA,1,1,0,0,1,0,1,1,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AnejomAneityum,anei1239,Aneityum,FALSE,50,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Anuta,anut1237,Anuta,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0
ArakiSouthwestSanto,arak1252,Araki,FALSE,50,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BikolNagaCity,cent2087,Coastal-Naga Bikol,TRUE,50,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1
Binukid,binu1244,Talaandig-Binukid,TRUE,49,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,NA,1,0,1,1,0,0,0,0,1,0,0
BugineseSoppeng_D,bugi1244,Buginese,FALSE,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1
