"","cent2084","agut1237","akla1241","alan1249","arta1239","pamp1244","aben1249","amba1267","maga1263","magi1241","babu1242","bala1310","bant1288","bata1301","buhi1245","cent2087","buhi1243","irig1242","koro1310","sara1326","binu1244","boli1256","cent2292","guin1256","boto1242","butu1244","capi1239","cebu1242","cuyo1237","casi1235","dupa1235","gadd1244","gian1241","hanu1241","hili1240","ibal1244","iban1267","amga1235","bata1298","kele1259","ilok1237","ilon1239","ivat1242","alab1246","atii1237","iray1237","isin1239","isna1241","itaw1240","bino1237","kaga1256","kala1388","lubu1243","limo1248","lowe1412","sout2908","kaya1320","kama1363","kank1243","nort2877","pamp1243","kina1250","magu1243","mama1275","cama1250","atam1240","diba1242","ilia1236","cota1241","sara1327","mati1250","west2555","mans1262","mara1404","taga1270","masb1238","pang1290","rata1245","romb1245","sout2916","wara1300","tina1248","sang1337","remo1247","west2557","cent2089","suri1273","tady1237","tbol1240","cent2090","cala1258","taus1251","tiru1241","yoga1237"
"cent2084",0.999999999995283,0.241722365048159,0.38408442102406,0.266187180330966,0.383657915629256,0.586290054406724,0.412411753323904,0.350787231388028,0.386619337009566,0.36091066085158,0.353522789181558,0.378251648004338,0.270907137271543,0.36308166250353,0.241330224469422,0.357283325967519,0.297634913285834,0.344806481135154,0.265464297451633,0.255274343483174,0.368459013092588,0.408223441970127,0.342981440230534,0.390155486266775,0.425692506305347,0.33026471094593,0.280439992260255,0.333337006972843,0.3693566003254,0.52482416160602,0.496502312138769,0.559167652505799,0.171716384648803,0.372815242432697,0.353926869893247,0.346010244721135,0.616120663550497,0.370555726505865,0.38854395618646,0.353772894854141,0.490566037733535,0.283013498950631,0.308146613818028,0.325586584251844,0.289879879071172,0.272684387707431,0.266901778074009,0.527060282519352,0.568445402041864,0.452006665764108,0.341236059812583,0.330237193199866,0.435259824611758,0.459720802803063,0.358230150837444,0.401515494617124,0.334916326593055,0.302031531170399,0.416310832974743,0.395295211889514,0.319524032628166,0.325392375198649,0.345011778861267,0.362424583262246,0.252101396663978,0.32876008029186,0.322174963895694,0.374411787849917,0.337635456326028,0.359035691766103,0.370896106350064,0.351002222289365,0.341116326242178,0.346802154293951,0.355066248980828,0.370544125068071,0.349318285139727,0.294982081509976,0.361530809809784,0.36064361630115,0.343431140306993,0.419597478801037,0.267608583062705,0.289587222599262,0.325414396821067,0.363325018397262,0.338800608976267,0.236136643466315,0.24615740264449,0.418700984996018,0.355835034750468,0.370014823949969,0.244011841874781,0.56058430420118
"agut1237",0.241722365048159,0.999999999994624,0.325040632617149,0.219839932149297,0.212575097418635,0.247342291660032,0.270046815574348,0.230943481599443,0.27193438848111,0.260825764475966,0.238372701530997,0.232198886048194,0.282934943338891,0.310102852187897,0.187378810223109,0.255689356203089,0.228562160737112,0.269607440628513,0.192143438658559,0.184932906754354,0.234999938916593,0.288585003415001,0.21314339662862,0.208266386020852,0.275584295754651,0.248304897428122,0.246564483785274,0.265651645777184,0.368722036503341,0.257437895401258,0.247022632876088,0.247022632876088,0.168461392991606,0.273060372782894,0.288114318193526,0.211087427539047,0.258050114804234,0.223163447196773,0.230451272814588,0.209371884706171,0.261865895468839,0.163876460668151,0.204194182682262,0.240645152088743,0.27509139609722,0.21120455478444,0.193548387095734,0.251202368852265,0.241871010721825,0.251550117315802,0.288408951840026,0.254053165207637,0.247173661943847,0.237810890113706,0.171824938595893,0.231251219840061,0.218508309736747,0.220624375821944,0.214565161619498,0.231106179344084,0.244320065927065,0.296304270807878,0.238921316069147,0.263110402679195,0.196251740489209,0.217512822510586,0.236149089725038,0.232751083941074,0.235083922525227,0.231035596662665,0.230565579353782,0.223866150281586,0.295564928942272,0.248522929832769,0.284303439562505,0.294284489560822,0.229891244592319,0.281183007340547,0.329363510501451,0.282352172497328,0.255689802405304,0.275670924720963,0.230565579353782,0.256665597227409,0.241871010721825,0.268935939111029,0.262236806351381,0.197296560030939,0.189799562195258,0.301470612459699,0.369624662178321,0.275481766558,0.177367678550599,0.273882412468766
"akla1241",0.38408442102406,0.325040632617149,0.999999999995349,0.319183138472363,0.318280262630937,0.366213327221692,0.371302081246724,0.359942323955049,0.392945752932497,0.352870236573441,0.309476250124384,0.323957943311496,0.5497170021804,0.450674544925141,0.274497426597492,0.54191959789521,0.445919197426817,0.511177391498172,0.32615622333968,0.312332323623773,0.460912932710821,0.410843276746332,0.304997140663659,0.314243837311894,0.413718250378364,0.618952500248768,0.578794420766952,0.634034356567639,0.676382221682726,0.380298455191757,0.368572964922599,0.34463965551204,0.211990570836074,0.4993463716189,0.676539206321183,0.302684437153864,0.409440100639533,0.339656651196689,0.342954365923636,0.324566994704993,0.40750420279382,0.242926009195909,0.277852263364464,0.368072664553519,0.50773604586436,0.345105717579402,0.245030630742159,0.383181753686801,0.368129720862808,0.358118659115918,0.531801510026061,0.467775537503044,0.331056352706104,0.343553187892942,0.252614238489667,0.309520507911899,0.295619104596427,0.51564665505113,0.342120939744115,0.322433426882796,0.355875919136864,0.674738520050893,0.412041452797954,0.527834497045988,0.297274440580306,0.395428421287846,0.434517306393981,0.381202852319566,0.340130593568417,0.371173580782371,0.391609455527071,0.38475721026117,0.490910267469889,0.396266093062804,0.52887051053256,0.664104610776218,0.365879338337456,0.554449727820998,0.727572606080974,0.463166799123254,0.619232677615663,0.395292602982822,0.298369108973007,0.34724196129882,0.421304013876324,0.447368797166716,0.609776801631835,0.275263111282938,0.298752657379261,0.464114850403542,0.467941714578133,0.560805444237613,0.262925023734143,0.400983546551647
"alan1249",0.266187180330966,0.219839932149297,0.319183138472363,0.999999999994652,0.222347706696709,0.266817210041471,0.298598123168574,0.230325157915307,0.28573522633642,0.283775383130335,0.217923279745187,0.241645775131898,0.269636200095111,0.285110667717846,0.392441964098804,0.313530465227528,0.250189257903091,0.289569106395713,0.210791897218381,0.203852273108838,0.264940852970476,0.299559794331912,0.223473896222756,0.216940278785938,0.298955789463942,0.297168108743438,0.216630010926221,0.304931398150731,0.306445689281184,0.256748636077642,0.256626311643974,0.266891364109733,0.148244433231919,0.447727809409277,0.292053466176152,0.223679907706077,0.287636771199097,0.232682587884589,0.234941695115574,0.208811316405175,0.3264559758776,0.18386741356871,0.199876227486938,0.21333409185476,0.235773717804179,0.557908913872684,0.187668234761595,0.29562516920239,0.276310474225153,0.281596208162187,0.292683030342941,0.263714721896096,0.261302596916638,0.267451734623722,0.187948597558707,0.236257244716667,0.222876081557578,0.214391791076451,0.249655803760641,0.235498016144277,0.280445690752116,0.300605967793424,0.277995238129901,0.27269638553535,0.20691065980204,0.256372359238966,0.286716139219681,0.267451734623722,0.255294914485841,0.26707428054368,0.26494039511457,0.257242154161153,0.26845451857578,0.303499027675551,0.328548957440781,0.288685158557682,0.270035869373754,0.37016782876386,0.29768652150701,0.276476277104693,0.298307997176271,0.297843919350806,0.229948267457928,0.273431478752065,0.245609310422359,0.252741901193313,0.293099231094264,0.595770752645034,0.213559524209259,0.305847313549133,0.291836070277176,0.290295755233075,0.199004397415101,0.252915856396292
"arta1239",0.383657915629256,0.212575097418635,0.318280262630937,0.222347706696709,0.999999999995,0.374830135301827,0.283069258534546,0.258829584132846,0.271609885357419,0.251531258207575,0.272980491286721,0.287207506270231,0.242535625034862,0.313070440054256,0.212324357181775,0.287000489625167,0.220417365532708,0.24999999999875,0.217723295666669,0.206502231963161,0.285745490666237,0.35213633723118,0.284604989413654,0.28118276088554,0.312389110759049,0.272980491286721,0.220794021656946,0.265852534486272,0.306196174959861,0.39916975447727,0.392070416916572,0.382144583576912,0.148123729595216,0.285645979312294,0.296066887136931,0.284143291441585,0.419637031365822,0.264122633542748,0.296318878993413,0.269214578036999,0.412796491499833,0.241993751177954,0.244323860758082,0.257855311563369,0.256998268408735,0.22019275302406,0.264422682154888,0.348841139838597,0.373203129057604,0.341600902325261,0.307408522977288,0.2399999999988,0.314642654449545,0.365962527353914,0.229844668043456,0.310039127133954,0.268191359860638,0.234584232002412,0.290672137057034,0.295545965696589,0.253395907949274,0.305452076229426,0.268808602011608,0.263684855404335,0.200073086060192,0.262202212041288,0.267339836602379,0.29764952224785,0.261972215365817,0.273439629111205,0.299688311602707,0.267514255043186,0.254493299278348,0.303251912586118,0.304635897921145,0.307059789430067,0.310378722620223,0.254893287935539,0.302737916859631,0.316847213750967,0.293102526274155,0.326770777615,0.246517804705453,0.270021096220727,0.25021573425453,0.269327520747718,0.274693053722879,0.216691733257348,0.206502231963161,0.30576537133989,0.287142787461814,0.275690088913015,0.187082869337697,0.454877868879177
"pamp1244",0.586290054406724,0.247342291660032,0.366213327221692,0.266817210041471,0.374830135301827,0.999999999995261,0.347245816833243,0.310595456730851,0.355619814872852,0.32837120645079,0.34037165447035,0.379146919429483,0.283354787993104,0.368490291444664,0.219910382787275,0.338451552325763,0.287871327337669,0.316415049280763,0.26609261619435,0.260447803671442,0.335755551501091,0.381541703148318,0.348924474022221,0.386733611024268,0.408542614413236,0.31239590204813,0.275591918121621,0.315301973017497,0.379847203246113,0.469194312793985,0.439695626347162,0.555659308021139,0.186078718410937,0.351971039246806,0.33259178231113,0.363344881455646,0.760097156123437,0.347622988943465,0.34618985612304,0.343046851310494,0.472814560005423,0.312532508999967,0.30177535924788,0.296231924052076,0.290565986253589,0.257251572183597,0.297820310366162,0.599063268360033,0.615208947010128,0.438616617048688,0.318290684126689,0.32615089695094,0.431648643557117,0.460808900899834,0.369486092994928,0.391874622465556,0.331046403662943,0.27618969797174,0.3693311066512,0.367928621512461,0.324608415796409,0.335755551501091,0.336481663066896,0.334219802596585,0.252698087194906,0.301689912163576,0.327757472080338,0.356295541932861,0.313910348631783,0.345095667263121,0.334125971406601,0.319848179947385,0.33201287131221,0.366670823954066,0.35166965979221,0.344243996214016,0.398110153922722,0.274560246004641,0.352722865091679,0.356677249028603,0.326125891150121,0.409806235694092,0.282359975836564,0.312180005940606,0.326184609488591,0.373896559418064,0.314132317153204,0.226404436783403,0.24674002453084,0.414811855158355,0.327757472080338,0.326969344654232,0.244589385503684,0.547625256554774
"aben1249",0.412411753323904,0.270046815574348,0.371302081246724,0.298598123168574,0.283069258534546,0.347245816833243,0.99999999999359,0.633842135580566,0.615075270873324,0.72495326155055,0.336202658689519,0.297639271571351,0.288348394098092,0.328028553720163,0.265985524641857,0.334117980463634,0.280009316153206,0.356667265753528,0.246523087481492,0.233817734751342,0.334699713818843,0.643090141184456,0.280478325663771,0.27289438504104,0.633512267156606,0.309089541053267,0.262820512818828,0.328384057382998,0.380250402996494,0.396852362095134,0.398977156300894,0.365260776895184,0.183947784061344,0.368912779777702,0.34554449801026,0.312125074848504,0.381221287873676,0.293521844155122,0.313147390702995,0.304825483968062,0.423409400079209,0.246044378409496,0.289029264926641,0.321160012156723,0.314460433677043,0.28671707693414,0.264176232627079,0.367555310425771,0.350540468676012,0.364364430079293,0.359121503069405,0.339683110241456,0.340068894704595,0.342546664466202,0.254195563719359,0.307938757315579,0.298244293998767,0.277968493746196,0.329121385255196,0.312696308869685,0.372485318713314,0.351434699509786,0.336976428777859,0.35489719395528,0.26939673140092,0.31307929988677,0.319519577146457,0.314921933460863,0.29092079375322,0.32107642753659,0.333857125006048,0.308214286717678,0.357314578464296,0.337827028178537,0.389280660690895,0.347676747680726,0.345856370946138,0.319312988010938,0.370880173462803,0.34754761022948,0.342408918170412,0.658465761472716,0.251761110660298,0.324847353859115,0.302521226391627,0.338837073783935,0.315965598648162,0.263307883279728,0.228503695325175,0.368913475529515,0.341942003612875,0.351886699735845,0.229986462412753,0.393208508207806
"amba1267",0.350787231388028,0.230943481599443,0.359942323955049,0.230325157915307,0.258829584132846,0.310595456730851,0.633842135580566,0.999999999992754,0.620134250530598,0.688200115841376,0.282506399411459,0.263713123639402,0.255481258580416,0.286888336133354,0.233854574769842,0.321176439359018,0.291239260074261,0.306983925366864,0.189610076447953,0.175149629120063,0.284687293731576,0.615371129419713,0.241105879413649,0.252534928171869,0.594980050283597,0.276740962688776,0.286251287036385,0.3084107018969,0.344835143319048,0.357477789822301,0.352504324683376,0.316656427257948,0.126549688416151,0.343877348999992,0.301588394278723,0.270591361873805,0.334831004001898,0.241418846460954,0.255653640736536,0.257370564494779,0.391712408383298,0.208090172692529,0.245841140114436,0.266962332234895,0.274458478728366,0.225318785536644,0.224701765880539,0.32663196386209,0.311435341024568,0.309919367267419,0.299585635159593,0.288926047404107,0.304176029056251,0.311334091440361,0.263830675354295,0.242280704906673,0.259444652520728,0.262703468744642,0.3024802495898,0.279970254738934,0.358570865024833,0.3024802495898,0.283156587611877,0.317439262636164,0.247369412838817,0.258262666179836,0.274159440275024,0.264340266317288,0.236533114736628,0.28651080774904,0.267677212967121,0.276849413770423,0.312501407969683,0.270860169200095,0.382455889854005,0.352853976670747,0.3024802495898,0.28074010091461,0.346529675112471,0.315879355099484,0.336051406353093,0.62008268319954,0.226943724037341,0.277661566834506,0.270591361873805,0.294210730349658,0.304446212909492,0.203602881286179,0.175149629120063,0.325857467857591,0.297999391603287,0.313788672751755,0.180177046583421,0.335631079226205
"maga1263",0.386619337009566,0.27193438848111,0.392945752932497,0.28573522633642,0.271609885357419,0.355619814872852,0.615075270873324,0.620134250530598,0.999999999995614,0.706741822819775,0.305009412955996,0.328264444498017,0.323696480925443,0.319475600734021,0.249632741340276,0.363448680338028,0.29707187448461,0.337170892167831,0.242964399490362,0.232967595622396,0.318381670472856,0.569181145155987,0.30604692017402,0.309333841884224,0.703063471963747,0.322951143129879,0.291630516362352,0.339536879690389,0.425543021912637,0.405771327226715,0.371855786962122,0.353262997614016,0.187957564738528,0.359496086514098,0.371144738186722,0.30981666965955,0.365605664736384,0.297764411501803,0.314531798804992,0.289222341422303,0.418458576528,0.235898849103744,0.283476293994113,0.318784786651725,0.322228666754808,0.288721171613726,0.27193438848111,0.36755961982753,0.357480772684096,0.36166967464685,0.356465523117974,0.332487963109944,0.343804820188591,0.338185239881155,0.280350657618781,0.320944378825664,0.300523980412526,0.296350680749553,0.355295487339274,0.340332981321787,0.453835865240452,0.355295487339274,0.328190170630249,0.344816954306706,0.268417230411361,0.290224848211148,0.310664976940243,0.310764815025926,0.287825520314614,0.313010716271975,0.312373929315158,0.303297435810289,0.352765123605252,0.320669366232711,0.436128422671251,0.366020889929607,0.350681260230971,0.330157731949244,0.376503984299149,0.352396093245649,0.357306106836045,0.570599595507147,0.280683820544055,0.347734650378718,0.313788678244929,0.345673643712298,0.347115197076861,0.232650461810473,0.237363210634139,0.352101035004147,0.343122511844448,0.338016993603981,0.215269254957279,0.371060266640709
"magi1241",0.36091066085158,0.260825764475966,0.352870236573441,0.283775383130335,0.251531258207575,0.32837120645079,0.72495326155055,0.688200115841376,0.706741822819775,0.999999999993464,0.306629591756755,0.289411910770188,0.311958874050726,0.309859301105897,0.237590501419206,0.332756132321543,0.276594631680508,0.325847311768904,0.227742864943694,0.21463539763896,0.309801391356809,0.623389766321173,0.28321476437265,0.280659736635629,0.661016121703918,0.279251949635616,0.265384676103327,0.309482021475296,0.383960250876413,0.361764888462735,0.36315015981031,0.346127496069202,0.191205452001243,0.357203301172619,0.333292650676496,0.300623949504094,0.345888662283769,0.290793359721786,0.304909610990092,0.285167148204173,0.388673019378624,0.225858971103772,0.266833489745159,0.30660462632499,0.298571492819058,0.302101964817843,0.266753622759511,0.348983611210371,0.334565363157782,0.345278102160469,0.323573264717074,0.320130692264187,0.332485552916783,0.345888662283769,0.268898225793299,0.292286522477866,0.2956785349083,0.268205759234162,0.321066896497057,0.304668232009054,0.416780965487987,0.349230659347676,0.312823429808144,0.307165446511596,0.2843898296364,0.283430307404471,0.294335431349908,0.30125786715038,0.27071918221117,0.295261726572337,0.309482021475296,0.29512367175357,0.314245733432069,0.301977719711086,0.388102932115315,0.33511112371786,0.343597906777552,0.322428310446541,0.346127496069202,0.328297211890282,0.329791899531862,0.633228542676219,0.276323233460086,0.321584971947545,0.276380082608602,0.330738116961992,0.299107746424886,0.241706183191447,0.236098937402856,0.343857892264441,0.345278102160469,0.320934032780145,0.22611896259891,0.357899519657583
