"","AgtaBulusan","AgtaCasiguran","AgtaDumagat","AgtaDupaningan","AgtaIraya","AgtaIriga","AgtaIsarog","AgtaLabin","AgtaLopez","AgtaMaddela","AgtaManide","AgtaMatnog","AgtaRemontado","Agutaya","Apayao","Arta","AtaManobo","AtiNegros","AtiPanay","AttaRizal","AyanganIfugao","AytaAmbala","AytaMag-antsi","AytaMag-indi","AytaMagbukon","AytaSambal","BagoboKlata","Balangao","Batak","Bicolano","BinukidnonNegros","BlaanKoronadal","BlaanSarangani","Boholano","Bolinao","Bontoc","Bugkalot","BukdinonMatigsalug","BukidnonBinukid","BukidnonHigaonon","BukidnonManobo","BukidnonTalaandig","BukidnonTigwahanon","BukidnonUmayamnon","Cebuano","Chavacano","Cinamiguin","Cuyonon","DavaoMatigsalug","Dibabaon","Gaddang","Gddang","Hilgaynon","Ibaloi","Ibanag","Ibatan","Ilocano","Iranun","Itawis","Itbayaten","Itneg","Ivatan","Kagayanen","Kalagan","Kalanguya","Kalinga","Kamayo","Kankanaey","Kapampangan","Kinaray-a","Lambanguian","Maguindanaon","Malaweg","Mamanwa","Mandaya","Manguangan","MangyanBangon","MangyanBuhid","MangyanHanunuo","MangyanIraya","ManoboAgusan","ManoboDulangan","ManoboIlianen","ManoboRK","ManoboSarangani","ManoboTagabawa","Mansaka","Meranao","Molbog","Obo","OvuManuvo","Palawano","Pangasinan","SamaBangingi","SamaDeyaBonggao","SamaDilautBonggao","SamaDilautMampang","SamaDilautTaluksangay","SamaKabingaan","Sambal","Sangil","Subanen","Subanon","Sulodnon","Surigaonon","Tagakaolo","Tagalog","Tagbanwa","Tausug","Tboli","Teduray","TuwaliIfugao","Waray","Yakan","Yogad"
"AgtaBulusan",1,0,0,0,0.00149666666666667,0.00187,0.001012,0,0.001128,0,0,0.008051,0.000867777777777778,0.000577777777777778,0,0,0,0.00274,0.001075,0.000723333333333333,0,0,0,0.000116,0,0.00131888888888889,0.00052,0,0,0.006743,0.0010075,0.00014125,0.002144,0.001414,0.00289,0,0,0,0.00122875,0.00024,8.8e-05,8.57142857142857e-05,0,0.000546666666666667,0.001843,0.004354,0.00043,0.001603,0,0.000904444444444444,0.0084,0.002574,0.002926,0,0.00872,0.00179333333333333,0.00793,0.002463,0.002483,0.0069125,0,0.003061,0.000511,0.000854444444444444,0,0.001619,0.002767,0,0.001824,0.001873,0.000223,0.000719,0.006611,0,0.002271,0,0,0,0,0.000289,0.00475555555555556,0.000133,0,0.00075,0,0,0,0.001852,0,0,0.0003075,0,0.006783,0.000638888888888889,0.00179875,0,0,0,0.0001725,0.00620285714285714,0.00041,0.000519,0.001065,0.002798,0.00283,1.44444444444444e-05,0.0026,0.000492,0.000614,0,5.1e-05,0,0.007787,0,0.005898
"AgtaCasiguran",0,1,0,0,0,0,0,0,0,0.0530785714285714,0,0,0,0,0,0.0591571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgtaDumagat",0,0,1,0,0,0,0,0,0,0,0,0,0.0189544444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgtaDupaningan",0,0,0,1,0,0,0,0.00705333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgtaIraya",0.00149666666666667,0,0,0,1,0.00887333333333333,0.00437555555555556,0,0.00166111111111111,0,0,0.00135555555555556,0.000116049382716049,0.000150617283950617,0,0,0,0.000451851851851852,0.000446296296296296,0.000401234567901235,0,0,0,0,0,0.000535802469135803,0.000196666666666667,0,0,0.00208444444444444,0.000270833333333333,0.000176388888888889,0.000468888888888889,0.000251111111111111,0.000244444444444444,0,0,0,0.000291666666666667,0,0,0,0,9.44444444444445e-05,0.000497777777777778,0.00143666666666667,0.000212222222222222,5.55555555555556e-05,0,0.000335802469135802,0.00154027777777778,0.000808888888888889,0.00113333333333333,0,0.00204691358024691,0,0.00241555555555556,0.000803333333333333,0.000543333333333333,0.00127777777777778,0,0.000358888888888889,0.000126666666666667,0.000153086419753086,0,0,0.000771111111111111,0,0.000546666666666667,0.000285555555555556,0,0.000204444444444444,0.00194888888888889,0,0.000668888888888889,0,0,0,0,0,0.00106049382716049,0,0,0.000133333333333333,0,0,0,0.000532222222222222,0,0,0,0,0.00218333333333333,0,0.000488888888888889,0,0,0,0,0.00161269841269841,0.000178888888888889,0.000198888888888889,0.000135555555555556,0.00121222222222222,0.00041,0,0.000824444444444444,0.000402222222222222,0.000375555555555556,0,0,0,0.00168222222222222,0,0.00242666666666667
"AgtaIriga",0.00187,0,0,0,0.00887333333333333,1,0.004319,0,0.001202,0,0,0.001414,0.000801111111111111,0.000794444444444444,0,0,0,0.00158166666666667,0.00112166666666667,0.000163333333333333,0,0,0,0.000219,0,0.00043,0.000524,0,0,0.00213,0.00062375,0.0003075,0.000896,0.000904,0.00143333333333333,0,0,0,0.00041875,0.000342222222222222,0.00021,0.000241428571428571,4.875e-05,0.000453333333333333,0.001052,0.002369,0.000627,0.001537,0.00011875,0.000285555555555556,0.0017075,0.000985,0.001398,0,0.00122111111111111,0.000151666666666667,0.00135,0.000709,7e-04,0.00083,0,0.000567,0.000549,0.000382222222222222,0,0.000167,0.000635,0,0.00149,0.000848,0.000227,0.000844,0.000936,0,0.000701,0,0,0,0,0.000243,0.000687777777777778,0.000113,0,0.000347777777777778,0,0,0,0.000596,0,0,0.0007225,0,0.002203,0.000585555555555556,0.001195,0,0,0,0.0005675,0.00179142857142857,0.000338,0.000366,0.000276,0.000756,0.000636,0,0.001787,0.000606,0.000627,0,0.000391,0,0.001324,0,0.001429
"AgtaIsarog",0.001012,0,0,0,0.00437555555555556,0.004319,1,0,0.001382,0,0,0.001332,0.000175555555555556,0.000217777777777778,0,0,0,0.00101833333333333,0.000556666666666667,0.000134444444444444,0,0,0,0.000113,0,0.000582222222222222,0.000599,0,0,0.002499,3.75e-05,0,0.000376,0.000216,0.00013,0,0,0,4e-04,0.00019,0,0,0,0,0.000278,0.000764,0.000336,0.000203,0,0.000166666666666667,0.00188875,0.000324,0.000725,0,0.00236,0.000438333333333333,0.001847,0.000134,0.000364,0.0019575,0,0.000338,0.000296,0.000166666666666667,0,0,0.000672,0,0.000408,0.000472,0,3.1e-05,0.001119,0,0.000346,0,0,0,0,0.000107,0.00136444444444444,0,0,0.00025,0,0,0,0.00087,0,0,5.125e-05,0,0.001748,0,0.00044125,0,0,0,0,0.00256571428571429,0,0,6.8e-05,0.000641,0.000606,0,0.000766,0,0,0,0,0,0.002629,0,0.002013
"AgtaLabin",0,0,0,0.00705333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00615061728395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgtaLopez",0.001128,0,0,0,0.00166111111111111,0.001202,0.001382,0,1,0,0.0747355555555556,0.000818,0.000881111111111111,0.000173333333333333,0,0,0,0,0.000323333333333333,0.000415555555555556,0,0,0,0.000325,0,0.000516666666666667,0,0,0,0.001341,0.00070375,0,0.000108,0.000214,0,0,0,0,0.00022125,6.88888888888889e-05,0.000208,0,0,0.000211666666666667,0.000313,0.000713,0,0,0,0,0.0001725,0,0.000106,0,4.44444444444444e-06,0,6.5e-05,0.000108,0.000198,0,0,0,0.000116,0.000245555555555556,0,0,7.9e-05,0,0.000137,0,0.000139,0.000278,0.000171,0,0.000413,0,0,0,0,0.000116,0.000276666666666667,0,0,0,0,0,0,0,0,0,0,0,0.000994,0.000448888888888889,0.0002275,0,0,0,0.00023875,0.00074,0,0,0.000189,0.00017,0,0.000166666666666667,0.000508,0.000334,0.00024,0,0,0,0.000518,0,0.000196
"AgtaMaddela",0,0.0530785714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0729722222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
