"","Agutaynen","Arta","Ata Manobo","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Tausug","Tboli","Tuwali Ifugao","Western Subanon","Yogad"
"Agutaynen",0.999999999963751,0.678561122302451,0.789024998716919,0.723002966016541,0.69837803220225,0.725186878503373,0.46248679633003,0.833482367565075,0.823119288530482,0.887636918478025,0.82175542643043,0.835439449876191,0.831261798355018,0.790734935195246,0.81505675932868,0.778366548740353,0.794095828142956,0.835548628902155,0.777205964345379,0.630047378308144,0.714361478290634,0.706947894392351,0.754075328050684,0.767729172913732,0.691825932153606,0.802032928584535
"Arta",0.678561122302451,0.999999999980849,0.642189034132797,0.614727647160287,0.720580688529415,0.592950408399633,0.468738822659924,0.673225030627628,0.67424288079201,0.71469125396053,0.733495051417902,0.784488419951082,0.678647504576114,0.652219248550908,0.635447301618195,0.757579409610922,0.770567635841033,0.757081041790908,0.79221318723662,0.531593169212869,0.677850270434185,0.864334278119625,0.620835886091891,0.690955463586092,0.781200045044828,0.655193718612634
"Ata Manobo",0.789024998716919,0.642189034132797,0.99999999996403,0.789875787627924,0.732416403144093,0.691526510488345,0.490218797523559,0.776860168809302,0.794565391941922,0.857091364011189,0.768945997803615,0.787078927913756,0.799702167578506,0.829983807519186,0.732684634070026,0.80753466407506,0.741787503485458,0.646483420449225,0.613648447548791,0.775790250955278,0.77219611337462,0.660271602880625,0.722787511395655,0.907814828373581,0.659208716313257,0.816408203738334
"Botolan Sambal",0.723002966016541,0.614727647160287,0.789875787627924,0.999999999948155,0.813607315577067,0.771376178413704,0.475284178849501,0.801980145390128,0.833629196916191,0.801355602480408,0.788862051465437,0.74246199447107,0.823320829750235,0.844264265257157,0.797902220364574,0.747270455350787,0.765487322597574,0.574425521680664,0.625222921394849,0.610297793719875,0.79435810177514,0.6841056860448,0.903804641936154,0.751542426762917,0.734320121458766,0.82412088281123
"Central Cagayan Agta",0.69837803220225,0.720580688529415,0.732416403144093,0.813607315577067,0.999999999956187,0.719960242856735,0.466631948867304,0.772292852269724,0.764277072435476,0.743128769369722,0.755413243109891,0.713443870602043,0.763146759999524,0.782656454347417,0.740156478739561,0.912920067576309,0.737423765344803,0.558073815196349,0.580198311768179,0.55781891425265,0.736355949337971,0.82419109546293,0.747220776814809,0.721379494787641,0.685391837201498,0.788207897307702
"Coastal-Naga Bikol",0.725186878503373,0.592950408399633,0.691526510488345,0.771376178413704,0.719960242856735,0.999999999963484,0.428978333892486,0.884144210172049,0.843352089476545,0.788262506452393,0.783203709123342,0.729625956198552,0.814253363991452,0.836847281209717,0.800308882533786,0.660452091030264,0.758643469866877,0.588740960985661,0.625071042490306,0.532865943157176,0.786753879071975,0.675786891230187,0.797092951342316,0.661107464565624,0.73159819780733,0.81199512536052
"Central Bontoc",0.46248679633003,0.468738822659924,0.490218797523559,0.475284178849501,0.466631948867304,0.428978333892486,0.999999999970941,0.518999255993011,0.527395718578555,0.510724472334806,0.502684325145363,0.497054419118909,0.506916468570934,0.460971502772701,0.433983812407101,0.481372579783251,0.495866581258684,0.517251531864146,0.468518750179834,0.688613358821475,0.594933766090485,0.531859549183575,0.492531783266277,0.588598666565423,0.41863013037926,0.486090711440704
"Filipino",0.833482367565075,0.673225030627628,0.776860168809302,0.801980145390128,0.772292852269724,0.884144210172049,0.518999255993011,0.999999999961305,0.897350655899469,0.878196523728678,0.898028835589909,0.828740001301394,0.908750410469522,0.868909513157225,0.843992936631881,0.766050333232909,0.86567796588808,0.683812936447261,0.701424708338134,0.612950635120228,0.878890761744594,0.769878459574091,0.828116660365967,0.758748622407882,0.759562054826133,0.877328589264702
"Ibaloi",0.823119288530482,0.67424288079201,0.794565391941922,0.833629196916191,0.764277072435476,0.843352089476545,0.527395718578555,0.897350655899469,0.99999999996254,0.934665799749949,0.892169776710641,0.856318376878649,0.925529462773849,0.887606660917589,0.863695832918886,0.75674545628262,0.856179773119648,0.676010063672926,0.715289378237819,0.639865729298022,0.803921311506011,0.760544873839235,0.845094620868618,0.77858811375693,0.785876332017997,0.898503289472999
"Ibanag",0.887636918478025,0.71469125396053,0.857091364011189,0.801355602480408,0.743128769369722,0.788262506452393,0.510724472334806,0.878196523728678,0.934665799749949,0.999999999962655,0.871991049029287,0.912773172579438,0.904954299771871,0.866310654423704,0.842066950567897,0.820764021996511,0.836561834002385,0.733680733556564,0.699023550024826,0.695224178336668,0.784301013108351,0.744169667670195,0.825522880466588,0.836540911051324,0.767416789825639,0.878975682138208
