"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Isnag",0.999999999955359,0.088454360118004,0.162116355883068,0.207259566173088,0.240201254178429,0.275885677837061,0.414092278927493,0.244066310316402,0.374009945718904,0.259895773563729,0.2703396636137,0.2703396636137,0.299203832631241,0.278703222490106,0.395895808207125,0.260458578393429,0.135791972595599,0.306050741035386,0.433187650584666,0.204841557573405,0.0824718309174695,0.187526277800263,0.103623867923325,0.440794465697644,0.178804316213028,0.350932535137833,0.207257552728107,0.122512105570465,0.183912989664824,0.290148037058804,0.185746737250339,0.179861629612121,0.279213719094002,0.133980879458786,0.200462429876299,0.222077346718452,0.166417015366389,0.531218903207756,0.453237307372293,0.370036028246047,0.10766138000951,0.530873495446467,0.179861629612121,0.772037652484284,0.638650669978158,0.160882029976197,0.0975768713781259,0.205009506882318,0.0930050858286526,0.19090000346048,0.273272812003265,0.453237307372293,0.338915924875582,0.077362296338553,0.250389233437405,0.134942144210068,0.229978624691549,0.0758553500799435
"Yogad",0.088454360118004,0.999999999902375,0.520639338455379,0.896755855183556,0.325199036246518,0.321346358883376,0.150613230489319,0.315350052120038,0.223887478732356,0.351862671891887,0.331591723962453,0.331591723962453,0.185655223083365,0.328726349947657,0.243891075717997,0.35073582108278,0.165574219087403,0.175011142375428,0.100110212654049,0.0698205111168958,0.0838977032990276,0.0859821811279471,0.110351597637825,0.202107512788832,0.1904131003186,0.159345450751219,0.222026333577072,0.142699756488041,0.186039267149646,0.310823436895262,0.188958150641698,0.182971294172194,0.149055162315562,0.071524213781766,0.799128834459372,0.899037249610291,0.19383935536314,0.174013984254951,0.19659265861083,0.18655865717614,0.125401915500919,0.17493510440518,0.182971294172194,0.0741928845922979,0.106802089232704,0.187392310284433,0.865524823846234,0.0930872148121356,0.0946130698121806,0.0828032878134337,0.277997481625209,0.19659265861083,0.155395450606407,0.681400157183781,0.139944354467461,0.159287852354912,0.142000694403294,0.0896933828632524
"Agta",0.162116355883068,0.520639338455379,0.999999999972364,0.484534519895193,0.190520279448746,0.218824071578791,0.44071619033367,0.193585923622972,0.144930349442562,0.206141369146428,0.214425142924919,0.214425142924919,0.124410741350839,0.220849838408485,0.163854539402735,0.205582819392153,0.107182096856972,0.119175617478237,0.0648256094396952,0.114597648849818,0.130343491385722,0.148017144153732,0.0817586592919851,0.347925308055417,0.141075617637949,0.276444366708728,0.327562426327614,0.322884614049719,0.145738759462222,0.229902942635336,0.147179081103444,0.142515931983159,0.347832550296581,0.166907668949654,0.448658093393941,0.497428883190206,0.131996880619068,0.30189243212949,0.357685374137027,0.292024670198076,0.280354180598823,0.302246422528383,0.142515931983159,0.135978374231078,0.19457643408743,0.127606699698063,0.467669063053559,0.682400107406948,0.62792949018186,0.150654277679764,0.216531616958469,0.357685374137027,0.267511134424089,0.514421712413836,0.315959207476976,0.218464128073786,0.194754699934092,0.180075177748449
"Gaddang",0.207259566173088,0.896755855183556,0.484534519895193,0.999999999921493,0.423611118234775,0.36881915247192,0.320558941930546,0.416902774297192,0.554155226368297,0.391510490863204,0.376385471963771,0.376385471963771,0.39514086300566,0.366650316728927,0.522824973468813,0.390664506075248,0.188175847428991,0.407475905526164,0.134969773430608,0.158091198043988,0.0962919882834507,0.0986844079420121,0.14868813941254,0.231965041811348,0.256563295977209,0.181096824096892,0.252019216138793,0.163780922951899,0.214370154896668,0.352811658249636,0.216873112282319,0.250397223603395,0.379950565117361,0.182319518650841,0.870361728270384,0.976532055613433,0.222475421873342,0.39401142740739,0.225635473145885,0.207580051195259,0.171613211886062,0.39468271937873,0.250397223603395,0.0853464836476782,0.122630389877623,0.25644740849734,0.804910976673608,0.105794039848311,0.129478507022577,0.0950358937901236,0.380441084395909,0.225635473145885,0.178352163656293,0.653889515119865,0.317523955712594,0.177528686616728,0.30371472520848,0.116836490817804
"Ibanag",0.240201254178429,0.325199036246518,0.190520279448746,0.423611118234775,0.999999999562503,0.870655033403391,0.395608834138242,0.984163909224995,0.712131435427968,0.924221470662252,0.888516508621461,0.888516508621461,0.487652021772862,0.865535158978398,0.642164222738674,0.922224391852508,0.444218386314875,0.474174758222608,0.318617164621106,0.187321159980803,0.227312230754426,0.232959909851522,0.35100150343186,0.547589597489138,0.605657606336494,0.427507249557403,0.594930598361965,0.386630368869851,0.506054127459263,0.832866850994346,0.511962748071675,0.591101632457436,0.481533183508475,0.231064002262213,0.299392887087349,0.360766155735269,0.525187872122709,0.466861397308702,0.532647665161224,0.490025030484951,0.405119706371231,0.468747308778125,0.591101632457436,0.201473662876794,0.289488128531852,0.605384035893908,0.347318271327409,0.249743302916785,0.305654175289564,0.224347024132514,0.898090413243663,0.532647665161224,0.421028051250092,0.312495282087684,0.37572710496111,0.41908410549159,0.37360183538246,0.275810727713883
"Atta",0.275885677837061,0.321346358883376,0.218824071578791,0.36881915247192,0.870655033403391,0.999999999422858,0.403236641648876,0.884664662916702,0.662314471781435,0.942041556696915,0.979897418305285,0.979897418305285,0.497054531099986,0.881104351113991,0.653715432498814,0.939489050703739,0.489809443935229,0.544618407719429,0.296245330575769,0.206546320539763,0.261081854367981,0.267568555618599,0.326447287369234,0.628939793809887,0.563288990863145,0.471383208429049,0.65611719282997,0.444068378208781,0.581233792681979,0.91852438212023,0.588020201055615,0.569389660207007,0.463845810404173,0.222576705110068,0.330017923910381,0.36740321988242,0.603210056435553,0.514776354277423,0.611778080219817,0.499473294234303,0.39023910490312,0.516956379840093,0.569389660207007,0.231404695364232,0.332494635961135,0.583147451410305,0.35370793291224,0.275374977935913,0.294427078959357,0.257676135103122,0.865102322750755,0.611778080219817,0.48357619823035,0.280431802512473,0.414242208610377,0.426794052908476,0.380475039277481,0.240135998467106
"Casiguran Dumagat",0.414092278927493,0.150613230489319,0.44071619033367,0.320558941930546,0.395608834138242,0.403236641648876,0.999999999906157,0.387187815642602,0.554243994617266,0.428045491802877,0.41150903542547,0.41150903542547,0.460841131766877,0.452541465045548,0.609953863963758,0.427120561352542,0.205736053154778,0.445500768052443,0.12444010086401,0.300730993624447,0.240189625172825,0.272757634427666,0.156143314513124,0.641137109634402,0.269427296450016,0.517333514703692,0.61458020904651,0.594993532831353,0.268559155773808,0.439004831327359,0.27121329915641,0.262620311295552,0.406328913164636,0.194977185622998,0.296659485926052,0.342120200251374,0.243236397473042,0.779513447977043,0.659122408240004,0.563671656824227,0.157358706158969,0.780020630944972,0.262620311295552,0.250573269068094,0.358554464620444,0.235146419994745,0.160857570353187,0.302218455473083,0.135798973052501,0.27761719516562,0.39901223574002,0.659122408240004,0.492954411626233,0.387497259656803,0.762348824053248,0.424569677384333,0.537518281025004,0.123039756377462
"Ilokano",0.244066310316402,0.315350052120038,0.193585923622972,0.416902774297192,0.984163909224995,0.884664662916702,0.387187815642602,0.99999999954831,0.699184423019196,0.904548284857321,0.866880619757145,0.866880619757145,0.477271751312334,0.846787557021851,0.628254863756841,0.902444264515107,0.433317106847816,0.481804660346805,0.312811471138943,0.182724231132814,0.230969890810059,0.23670844618851,0.344620067935997,0.556400810993103,0.594646357353148,0.417016067415546,0.58044369555049,0.392851602332231,0.514196997561511,0.812586063353736,0.520200693241041,0.600612994086957,0.489281489372848,0.234782031725831,0.291955195568208,0.352994596042547,0.533638621538414,0.455404450182525,0.541218449415865,0.479594247627999,0.411638450051359,0.457333041763115,0.600612994086957,0.204715556929442,0.294146255200873,0.61512521435445,0.339836403543888,0.24361451216024,0.310572428320052,0.227956971322982,0.912541502914257,0.541218449415865,0.42780277463419,0.317523614734193,0.366465444043461,0.410056271005473,0.365553771785469,0.271442964113225
"Itneg",0.374009945718904,0.223887478732356,0.144930349442562,0.554155226368297,0.712131435427968,0.662314471781435,0.554243994617266,0.699184423019196,0.999999999744349,0.649916505651171,0.676033346383597,0.676033346383597,0.683195574037995,0.608117950195172,0.90375483269376,0.651323901174342,0.339572449076583,0.73354679676058,0.243559506402442,0.285283239232508,0.172918290542582,0.177214526657078,0.268314963584414,0.416555927530097,0.462980918897761,0.326798007921677,0.452656669131815,0.294112913486372,0.384932981773984,0.633691956088869,0.389454289052763,0.450010492911697,0.684137492559479,0.328283807923969,0.457653548991217,0.507000169249422,0.399514750101341,0.711012742582709,0.405189476251737,0.344587704989692,0.308420935991276,0.710550429743026,0.450010492911697,0.154011871712377,0.220214430673149,0.460883803114096,0.244090291962119,0.190910479220127,0.232697016088858,0.170662633385549,0.683723555079674,0.405189476251737,0.32027951444993,0.221905897008542,0.571635898958213,0.294526289319766,0.525038700997471,0.19641348950459
"North Kalinga",0.259895773563729,0.351862671891887,0.206141369146428,0.391510490863204,0.924221470662252,0.942041556696915,0.428045491802877,0.904548284857321,0.649916505651171,0.99999999948782,0.961367525392293,0.961367525392293,0.527635460776094,0.936501894850707,0.69481638633331,0.997839176706493,0.480640625863499,0.513053172902096,0.290716999029856,0.202679948298868,0.245949956649999,0.252060698797389,0.320336470548896,0.592487422763898,0.552744697888984,0.462559313884324,0.643709994789413,0.418330866521332,0.547546387171476,0.901155055369773,0.553939465883732,0.536388722170382,0.436962029544842,0.209676505881919,0.323940631596638,0.390346001484345,0.5682489409002,0.505140176783845,0.576320375368461,0.530203036607424,0.367621454071617,0.507180717420869,0.536388722170382,0.217992839568118,0.313223764627988,0.549349133219795,0.375795501600961,0.270220191505358,0.277362543950129,0.242741627570259,0.81496233929291,0.576320375368461,0.455548874817542,0.286908717108764,0.406533625006097,0.453445541559955,0.404234100871951,0.254910196510295
