"language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","cossim_span_norm","span_influenced","jap_influenced","eng_influenced","geodist_H1_span","geodist_H2_span","using_network"
"Isnag",18.19955,121.10666,0.108899776345819,0.123235812676959,0.302507064825339,0.085375888830146,0.304755117350309,FALSE,FALSE,TRUE,255.764048122079,896.103297659858,TRUE
"Yogad",16.69425,121.70617,0.0632479194963265,0.0663262633368575,0.0304863172070214,0.0484062563504234,0.176998776076972,FALSE,FALSE,FALSE,744.469215918781,1087.07559531187,FALSE
"Agta",15.11794,121.38808,0.0859829606290486,0.0970893945961913,0.252128193574665,0.0956172996445041,0.240622599383684,FALSE,FALSE,TRUE,387.48217387167,315.726054321113,FALSE
"Gaddang",16.58369,121.26426,0.0688265287452882,0.059478465005247,0.0642872534892171,0.0655603565350243,0.192610467609928,FALSE,FALSE,FALSE,587.461781303789,987.388592953244,FALSE
"Ibanag",17.64993,121.78591,0.162475737218458,0.140408177289886,0.0645374549396239,0.0937419052218963,0.454686997752409,FALSE,FALSE,FALSE,701.433461568795,1173.36779091332,TRUE
"Atta",18.47131,121.29837,0.132135111718311,0.138082834297229,0.0741251729223321,0.0816875023484421,0.369779009921321,FALSE,FALSE,FALSE,147.187580923205,787.526830460984,TRUE
"Casiguran Dumagat",16.40414,121.99354,0.167173576195882,0.18825967534135,0.16715820395399,0.103242038410451,0.467833861014197,FALSE,FALSE,TRUE,833.11108249983,763.726786872518,FALSE
"Ilokano",15.70115,120.65378,0.158831436233636,0.135964402267361,0.0655759211508839,0.091796388579842,0.444488451790639,FALSE,FALSE,FALSE,388.64777835639,568.12859511972,FALSE
"Itneg",17.2618,120.7103,0.113949291758837,0.0969441770927648,0.116009468863714,0.0892231708681251,0.318886144188875,FALSE,FALSE,FALSE,197.97735523017,669.911684574699,TRUE
"North Kalinga",17.61454,121.36921,0.144869533386152,0.151920488410374,0.0698289933283747,0.0876933080452865,0.405416182925674,FALSE,FALSE,FALSE,504.938713565318,976.873042909848,TRUE
"Central Kalinga",17.38069,121.03338,0.136411275295768,0.142731657830099,0.0726350656191862,0.083871089513827,0.381745818087377,FALSE,FALSE,FALSE,354.238797357822,826.173126702352,TRUE
"South Kalinga",17.29229,121.05985,0.136411275295768,0.142731657830099,0.0726350656191862,0.083871089513827,0.381745818087377,FALSE,FALSE,FALSE,370.31654076788,842.25087011241,TRUE
"Balangaw",17.13492,121.28216,0.0764383030246278,0.0932261680134333,0.0936019584440882,0.0822780525734218,0.213911954551258,FALSE,FALSE,FALSE,486.919367468341,958.85369681287,TRUE
"Central Ifugao",16.90069,121.00691,0.135330461060444,0.165304855585881,0.0775620873795679,0.0918599309253614,0.37872116844922,FALSE,FALSE,FALSE,399.80637973046,871.740709074989,TRUE
"East Ifugao",16.84668,121.26145,0.100405372826504,0.122644196473588,0.123774099683167,0.0909155365766092,0.280983599830117,FALSE,FALSE,FALSE,519.961667204941,991.89599654947,TRUE
"Central Bontok",17.11673,121.002,0.144399421956895,0.152249472539049,0.069980208156393,0.0873700780326754,0.404100580005278,FALSE,FALSE,FALSE,354.144200167219,826.078529511748,TRUE
"North Kankanay",17.12722,120.80177,0.0681109112650793,0.0716943015648813,0.0364846900661695,0.0651100642475075,0.190607818050149,FALSE,FALSE,FALSE,260.989498809397,732.923828153926,TRUE
"Ilongot",16.37807,121.49391,0.0719632141737032,0.0752024533755934,0.094930052847038,0.0743956188842701,0.201388455663751,FALSE,FALSE,FALSE,666.834089089522,908.749439489414,FALSE
"Pangasinan",15.96202,120.38515,0.0509687522255411,0.0433460689337856,0.144996304463041,0.0703608420153493,0.142635628712106,FALSE,FALSE,TRUE,332.917145429853,645.239070020324,TRUE
"Inibaloi",16.45231,120.68141,0.144784150924615,0.234821252543217,0.114296814008537,0.0954547266648121,0.405177240817999,FALSE,TRUE,FALSE,280.676496241896,592.998420832366,TRUE
"North Kallahan",16.70893,121.02642,0.0344980800022462,0.0429147473024935,0.0519384432436111,0.0677495189431809,0.0965425896381887,FALSE,FALSE,FALSE,457.482106397609,929.416435742139,TRUE
"Itbayaten",20.38116,121.93381,0.357335349419714,0.215181133888855,0.0934833200436931,0.139050660191207,1,TRUE,FALSE,FALSE,128.596955184024,855.26990016946,TRUE
"Ivatanen",20.38116,121.93381,0.243468866426631,0.288133068660042,0.175064595985076,0.160706585964266,0.68134559545258,FALSE,TRUE,FALSE,128.596955184024,855.26990016946,TRUE
"Kapampangan",15.24905,120.54845,0.247130515165198,0.262517620747838,0.0466202709917887,0.0739305503860995,0.69159268895876,TRUE,TRUE,FALSE,320.116057689096,386.113710595156,FALSE
"Tina",15.57252,120.04184,0.0969122437996943,0.0973308574726376,0.0498869143668645,0.0779097983894495,0.271208107334112,FALSE,FALSE,FALSE,90.1641475637112,307.240478841012,TRUE
"Iraya",13.35138,120.67441,0.189084809422694,0.21375808070512,0.0417474052097349,0.0752785084413977,0.529152264755652,TRUE,TRUE,FALSE,84.0578550091283,360.53492724137,TRUE
"Siocon Subanon",7.73572,122.37053,0.0913379108175798,0.112819174346851,0.130524986772688,0.0909847249363891,0.255608382898321,FALSE,FALSE,TRUE,182.322411515979,1602.77206167229,TRUE
"Sindangan",8.13155,123.09603,0.0586770247834382,0.061318220304154,0.133377323299335,0.0842987010301455,0.164207165282487,FALSE,FALSE,TRUE,148.677256575082,1569.1269067314,TRUE
"Binukid",8.19325,124.94266,0.0764850928326113,0.0968880108492157,0.0519490680413157,0.0696589428636006,0.214042895439305,FALSE,FALSE,FALSE,381.204567904967,1635.61764689541,TRUE
"Ata",9.715,122.9,0.12786755022612,0.157940019791457,0.0809521301586112,0.0889605562215025,0.357836274619256,FALSE,FALSE,FALSE,347.096808926438,1640.09557623182,FALSE
"Tigwa",7.70798,125.15548,0.0776981149886292,0.0966545086101131,0.0518238696436918,0.0703855060519506,0.217437527842698,FALSE,FALSE,FALSE,622.976325754263,1877.38940474471,TRUE
"Dibabawon",7.85784,125.99118,0.0939298208011367,0.0935921550241074,0.0501819078218311,0.0764569624851567,0.262861821405779,FALSE,FALSE,FALSE,694.521667944513,1948.93474693496,TRUE
"Ilianen",7.35339,124.73172,0.0765186951806978,0.0762436201891797,0.0873483160350291,0.0733951008629209,0.214136931330635,FALSE,FALSE,FALSE,808.446231758861,2062.85931074931,TRUE
"Western Bukidnon",7.68416,124.83378,0.0367175442111557,0.036585549302802,0.0419141446175953,0.0414003871896368,0.102753741746464,FALSE,FALSE,FALSE,638.099391789961,1892.51247078041,TRUE
"Sarangani Manobo",6.03322,125.61158,0.0458100773458464,0.056998299801098,0.0626854415509604,0.0642538691079885,0.128199120014962,FALSE,FALSE,FALSE,1332.33581743,2586.74889642045,TRUE
"Kalamansig",6.40155,124.29478,0.0564523299868999,0.0689226248894749,0.0694445165917355,0.0642544368426954,0.157981375418285,FALSE,FALSE,FALSE,663.397110199429,2083.84676035574,TRUE
"Magindanao",6.98166,124.52305,0.0797052282275844,0.0832929543016968,0.0447130497583386,0.06541163573594,0.223054417529695,FALSE,FALSE,FALSE,1011.84552010753,2266.25859909798,TRUE
"Maranao",7.81502,124.22438,0.206490997357064,0.233435564774783,0.0974130801104755,0.0861807145763925,0.577863336757447,TRUE,TRUE,FALSE,591.839904897241,1894.88717843779,TRUE
"Hanunoo",12.41035,121.2367,0.240387130244072,0.271437977633021,0.0539177181730421,0.0788017848760934,0.672721382405751,TRUE,TRUE,FALSE,511.014242269517,827.329503482096,TRUE
"Buhid",12.64484,121.222,0.310200374612958,0.233189820830745,0.102870071181544,0.0980116702583761,0.868093165472434,TRUE,TRUE,FALSE,395.894936780118,712.210197992697,TRUE
"Kalamianen",11.91139,119.99355,0.0643761061215559,0.0538853216742391,0.0289265411395062,0.0623505721430014,0.180155996953836,FALSE,FALSE,FALSE,474.093841022301,776.240731583505,FALSE
"Batak",10.16456,119.08504,0.206785937996226,0.233283780914401,0.0973497404331412,0.086405656068694,0.578688725680319,TRUE,TRUE,FALSE,277.276842555302,1335.31098037763,FALSE
"Tagbanwa",9.63679,118.52075,0.0939298208011367,0.0935921550241074,0.0501819078218311,0.0764569624851567,0.262861821405779,FALSE,FALSE,FALSE,338.037473221468,1128.68922516474,FALSE
"Tagalog",14.21913,121.38616,0.0913418912049485,0.103366531794792,0.377511563909847,0.0679772963333241,0.25561952197923,FALSE,FALSE,TRUE,250.890669278544,250.890669278544,TRUE
"Naga",13.61531,123.39831,0.130756122550601,0.276452370917934,0.235237135734014,0.0990193488911214,0.365919920217631,FALSE,TRUE,TRUE,288.875255319837,1005.47762473901,TRUE
"Mansakan",7.2864,126.164,0.0961993858336948,0.0805226529345824,0.043225905690567,0.0717381623080888,0.269213180251871,FALSE,FALSE,FALSE,986.900885232581,2241.31396422303,TRUE
"Kalagan",7.30352,125.92716,0.0543480183815602,0.0569827969579367,0.0261551836346927,0.0551086845171128,0.152092476912282,FALSE,FALSE,FALSE,934.438837352534,2188.85191634298,TRUE
"Mamanwa",9.43926,125.53517,0.110460500685652,0.124874254533798,0.256234857003283,0.092354803439187,0.309122791419969,FALSE,FALSE,TRUE,75.0830681334348,1329.49614712388,TRUE
"Tausug",5.95478,121.11477,0.128826820884197,0.0483957941977158,0.272630033259957,0.106783858425799,0.360520785568521,FALSE,FALSE,TRUE,139.678515404723,1740.66455176087,FALSE
"Cebuano",10.20178,123.64698,0.101249176199757,0.114327549885201,0.0227097205327365,0.0653301405135981,0.28334497654424,FALSE,FALSE,FALSE,99.5083518181366,1224.56582827832,TRUE
"Waray",11.78931,125.0147,0.142712296764547,0.142199264181335,0.076243894221112,0.0930219209799644,0.399379174202331,FALSE,FALSE,FALSE,421.812576029228,1294.17060844702,TRUE
"Hiligaynon",9.74388,122.64284,0.240387130244072,0.271437977633021,0.0539177181730421,0.0788017848760934,0.672721382405751,TRUE,TRUE,FALSE,416.694209898281,1444.87722240293,FALSE
"Kuyunon",10.73557,119.51679,0.190012519732697,0.201843283332436,0.0358451693259933,0.069779865446654,0.53174845433362,TRUE,TRUE,FALSE,314.530532273127,1052.79019064451,FALSE
"Tiruray",6.78126,124.12327,0.2396984740249,0.043036711126809,0.0846675198627914,0.101343883129351,0.67079418371049,TRUE,FALSE,FALSE,679.941746296662,2100.39139645297,TRUE
