lon,lat,n_samples
116.4,7.557,0
116.517,8.509,0
117.531,7.95,9
117.534,9.098,9
118.407,6.459,0
118.415,7.605,0
118.431,8.734,0
118.45,9.853,10
118.471,10.967,0
119.148,4.03,0
119.278,4.969,16
119.362,9.455,0
119.388,10.56,3
119.414,11.664,0
119.44,12.767,0
119.466,13.87,0
119.492,14.973,0
119.517,16.077,6
120.161,4.615,0
120.187,5.73,0
120.216,6.837,0
120.276,9.039,0
120.307,10.138,0
120.337,11.236,0
120.367,12.335,0
120.396,13.435,0
120.426,14.535,47
120.455,15.636,34
120.484,16.739,30
120.513,17.843,20
120.542,18.948,0
121.093,5.319,0
121.126,6.414,10
121.16,7.509,0
121.226,9.699,10
121.259,10.795,19
121.292,11.891,0
121.325,12.988,39
121.358,14.086,9
121.392,15.186,10
121.425,16.286,57
121.458,17.388,97
121.491,18.492,9
121.525,19.597,6
121.558,20.705,14
121.592,21.814,0
122.039,5.968,9
122.074,7.06,57
122.11,8.152,0
122.145,9.245,0
122.181,10.339,20
122.216,11.434,10
122.252,12.53,0
122.289,13.627,10
122.325,14.725,0
122.362,15.824,0
122.399,16.925,0
122.437,18.028,5
122.475,19.132,0
122.514,20.238,0
122.553,21.346,0
122.988,6.592,0
123.025,7.684,10
123.062,8.777,0
123.1,9.871,14
123.138,10.965,6
123.177,12.06,0
123.216,13.157,39
123.256,14.255,9
123.898,6.105,10
123.937,7.2,30
123.976,8.295,10
124.016,9.389,5
124.057,10.485,10
124.098,11.581,0
124.14,12.677,20
124.183,13.775,0
124.802,5.602,8
124.844,6.701,63
124.886,7.799,56
124.928,8.896,10
124.971,9.993,0
125.015,11.091,10
125.06,12.188,0
125.106,13.287,0
125.699,5.084,10
125.745,6.189,14
125.79,7.291,61
125.835,8.392,19
125.881,9.491,20
125.928,10.591,0
125.976,11.69,0
126.024,12.79,0
126.687,6.772,0
126.737,7.877,19
126.786,8.98,0
126.836,10.082,0
