lon,lat,n_samples
116.4,7.557,0
116.517,8.509,0
117.531,7.95,0
117.534,9.098,0
118.407,6.459,0
118.415,7.605,0
118.431,8.734,0
118.45,9.853,1
118.471,10.967,0
119.148,4.03,0
119.278,4.969,0
119.362,9.455,0
119.388,10.56,2
119.414,11.664,0
119.44,12.767,0
119.466,13.87,0
119.492,14.973,0
119.517,16.077,0
120.161,4.615,0
120.187,5.73,0
120.216,6.837,0
120.276,9.039,0
120.307,10.138,0
120.337,11.236,0
120.367,12.335,1
120.396,13.435,1
120.426,14.535,0
120.455,15.636,4
120.484,16.739,5
120.513,17.843,0
120.542,18.948,0
121.093,5.319,0
121.126,6.414,1
121.16,7.509,0
121.226,9.699,0
121.259,10.795,0
121.292,11.891,1
121.325,12.988,1
121.358,14.086,1
121.392,15.186,1
121.425,16.286,4
121.458,17.388,7
121.491,18.492,2
121.525,19.597,0
121.558,20.705,2
121.592,21.814,0
122.039,5.968,0
122.074,7.06,0
122.11,8.152,1
122.145,9.245,0
122.181,10.339,0
122.216,11.434,0
122.252,12.53,0
122.289,13.627,0
122.325,14.725,0
122.362,15.824,0
122.399,16.925,0
122.437,18.028,0
122.475,19.132,0
122.514,20.238,0
122.553,21.346,0
122.988,6.592,0
123.025,7.684,1
123.062,8.777,0
123.1,9.871,2
123.138,10.965,0
123.177,12.06,0
123.216,13.157,1
123.256,14.255,0
123.898,6.105,1
123.937,7.2,1
123.976,8.295,1
124.016,9.389,0
124.057,10.485,1
124.098,11.581,0
124.14,12.677,0
124.183,13.775,0
124.802,5.602,0
124.844,6.701,3
124.886,7.799,4
124.928,8.896,0
124.971,9.993,0
125.015,11.091,0
125.06,12.188,1
125.106,13.287,0
125.699,5.084,1
125.745,6.189,2
125.79,7.291,2
125.835,8.392,1
125.881,9.491,1
125.928,10.591,0
125.976,11.69,0
126.024,12.79,0
126.687,6.772,0
126.737,7.877,0
126.786,8.98,0
126.836,10.082,0
