"language","subgroup","colour","region"
"Agta","Greater Central Philippine","#ED6BB1","Luzon"
"Atta","Cagayan Valley","#79F287","Luzon"
"Balangaw","Meso-Cordilleran","#EA7B81","Luzon"
"Batak","Palawanic-Kalamian","#87B1F1","Luzon"
"Cotabato Bilaan","Tboli-Blaan","#5C7193","Mindanao"
"Sarangani Bilaan","Tboli-Blaan","#5C7193","Mindanao"
"Binukid","Manobo","#F16DEF","Mindanao"
"Central Bontok","Meso-Cordilleran","#EA7B81","Luzon"
"Buhid","South Mangyan","#85DEF2","Luzon"
"Cebuano","Central Philippine","#565153","Visayas"
"Kuyunon","Central Philippine","#565153","Luzon"
"Casiguran Dumagat","Northeastern Luzon","#95A459","Luzon"
"Gaddang","Cagayan Valley","#79F287","Luzon"
"Hanunoo","South Mangyan","#85DEF2","Luzon"
"Hiligaynon","Central Philippine","#565153","Visayas"
"Ibanag","Cagayan Valley","#79F287","Luzon"
"Central Ifugao","Meso-Cordilleran","#EA7B81","Luzon"
"East Ifugao","Meso-Cordilleran","#EA7B81","Luzon"
"Ilokano","Northern Luzon","#7E6E40","Luzon"
"Ilongot","Meso-Cordilleran","#EA7B81","Luzon"
"Inibaloi","Meso-Cordilleran","#EA7B81","Luzon"
"Iraya","North Mangyan","#ECBEBD","Luzon"
"Isnag","Cagayan Valley","#79F287","Luzon"
"Itbayaten","Yami-Itbayat","#9ECCC9","Luzon"
"Itneg","Meso-Cordilleran","#EA7B81","Luzon"
"Ivatanen","Yami-Itbayat","#9ECCC9","Luzon"
"Kalagan","Central Philippine","#565153","Mindanao"
"North Kalinga","Meso-Cordilleran","#EA7B81","Luzon"
"Central Kalinga","Meso-Cordilleran","#EA7B81","Luzon"
"South Kalinga","Meso-Cordilleran","#EA7B81","Luzon"
"North Kallahan","Meso-Cordilleran","#EA7B81","Luzon"
"North Kankanay","Meso-Cordilleran","#EA7B81","Luzon"
"Kapampangan","Central Luzon","#477C65","Luzon"
"Magindanao","Danaw","#C573F1","Mindanao"
"Mamanwa","Central Philippine","#565153","Mindanao"
"Ata","Central Philippine","#565153","Visayas"
"Dibabawon","Manobo","#F16DEF","Mindanao"
"Ilianen","Manobo","#F16DEF","Mindanao"
"Kalamansig","Manobo","#F16DEF","Mindanao"
"Sarangani Manobo","Manobo","#F16DEF","Mindanao"
"Tigwa","Manobo","#F16DEF","Mindanao"
"Western Bukidnon","Manobo","#F16DEF","Mindanao"
"Mansakan","Central Philippine","#565153","Mindanao"
"Maranao","Danaw","#C573F1","Mindanao"
"Naga","Central Philippine","#565153","Luzon"
"Pangasinan","Meso-Cordilleran","#EA7B81","Luzon"
"Waray","Central Philippine","#565153","Visayas"
"Tina","Sambalic","#F1C878","Luzon"
"Sangil","Sangiric","#A852A0","Mindanao"
"Siocon Subanon","Subanen","#7CF2D9","Mindanao"
"Sindangan","Subanen","#7CF2D9","Mindanao"
"Tagalog","Central Philippine","#565153","Luzon"
"Tagbanwa","Palawanic-Kalamian","#87B1F1","Luzon"
"Kalamianen","Palawanic-Kalamian","#87B1F1","Luzon"
"Tausug","Central Philippine","#565153","Mindanao"
"Tboli","Tboli-Blaan","#5C7193","Mindanao"
"Tiruray","Bilic","#BA7862","Mindanao"
"Yogad","Cagayan Valley","#79F287","Luzon"
