"language","longitude","latitude","sPC1","region"
"Agta",121.38808,15.11794,0.0222054637009392,"Luzon"
"Atta",121.29837,18.47131,0.0181532253579852,"Luzon"
"Balangaw",121.28216,17.13492,0.00578246944876179,"Luzon"
"Batak",119.08504,10.16456,-0.107906661883721,"Luzon"
"Central Bontok",121.002,17.11673,-0.00720500614769589,"Luzon"
"Buhid",121.222,12.64484,0.139310562772267,"Luzon"
"Kuyunon",119.51679,10.73557,-0.11830798241784,"Luzon"
"Casiguran Dumagat",121.99354,16.40414,-0.00182821674949424,"Luzon"
"Gaddang",121.26426,16.58369,0.0212447355602717,"Luzon"
"Hanunoo",121.2367,12.41035,0.0719460318477391,"Luzon"
"Ibanag",121.78591,17.64993,0.00708338263776692,"Luzon"
"Central Ifugao",121.00691,16.90069,0.000915838293465213,"Luzon"
"East Ifugao",121.26145,16.84668,0.00978135000376142,"Luzon"
"Ilokano",120.65378,15.70115,0.0966929289685008,"Luzon"
"Ilongot",121.49391,16.37807,0.0141479786366638,"Luzon"
"Inibaloi",120.68141,16.45231,0.0304741864436855,"Luzon"
"Iraya",120.67441,13.35138,-0.0575665673942627,"Luzon"
"Isnag",121.10666,18.19955,0.0190501386703364,"Luzon"
"Itbayaten",121.93381,20.38116,0.00467312668757307,"Luzon"
"Itneg",120.7103,17.2618,-0.0386791420437824,"Luzon"
"Ivatanen",121.93381,20.38116,0.00467312668757307,"Luzon"
"North Kalinga",121.36921,17.61454,0.0137302781728157,"Luzon"
"Central Kalinga",121.03338,17.38069,0.0339835663046916,"Luzon"
"South Kalinga",121.05985,17.29229,0.0325476074923287,"Luzon"
"North Kallahan",121.02642,16.70893,0.0146164812729227,"Luzon"
"North Kankanay",120.80177,17.12722,-0.0399206149761765,"Luzon"
"Kapampangan",120.54845,15.24905,0.0313259982446402,"Luzon"
"Naga",123.39831,13.61531,-0.0257272455575592,"Luzon"
"Pangasinan",120.38515,15.96202,0.0695301214373647,"Luzon"
"Tina",120.04184,15.57252,-0.0201965990608984,"Luzon"
"Tagalog",121.38616,14.21913,-0.00375026648574206,"Luzon"
"Tagbanwa",118.52075,9.63679,-0.160292830017918,"Luzon"
"Kalamianen",119.99355,11.91139,-0.07238834639635,"Luzon"
"Yogad",121.70617,16.69425,0.00281765822659425,"Luzon"
"Cotabato Bilaan",125.01141,6.21229,-0.0354128095534952,"Mindanao"
"Sarangani Bilaan",125.34999,6.06694,-0.0463613883879149,"Mindanao"
"Binukid",124.94266,8.19325,0.0635548695376021,"Mindanao"
"Kalagan",125.92716,7.30352,-0.0926295523951702,"Mindanao"
"Magindanao",124.52305,6.98166,0.0292331295041915,"Mindanao"
"Mamanwa",125.53517,9.43926,-0.00100389011286024,"Mindanao"
"Dibabawon",125.99118,7.85784,-0.0567195994018248,"Mindanao"
"Ilianen",124.73172,7.35339,0.0804711645576802,"Mindanao"
"Kalamansig",124.29478,6.40155,-0.00429356486680514,"Mindanao"
"Sarangani Manobo",125.61158,6.03322,-0.0547779947697414,"Mindanao"
"Tigwa",125.15548,7.70798,0.0871696573218492,"Mindanao"
"Western Bukidnon",124.83378,7.68416,0.108800657097261,"Mindanao"
"Mansakan",126.164,7.2864,-0.0902682047829419,"Mindanao"
"Maranao",124.22438,7.81502,0.0554897857895584,"Mindanao"
"Sangil",125.38747,5.40063,-0.0365097411026516,"Mindanao"
"Siocon Subanon",122.37053,7.73572,0.0026484680289174,"Mindanao"
"Sindangan",123.09603,8.13155,0.000921911995482833,"Mindanao"
"Tausug",121.11477,5.95478,-0.00100389011286023,"Mindanao"
"Tboli",124.56778,6.17584,-0.018516750374947,"Mindanao"
"Tiruray",124.12327,6.78126,0.00920774202867009,"Mindanao"
