"language","longitude","latitude","sPC1"
"Agta",121.38808,15.11794,0.0148051841868152
"Atta",121.29837,18.47131,0.0174097892495189
"Balangaw",121.28216,17.13492,0.0114214201869325
"Batak",119.08504,10.16456,-0.0527091545635263
"Cotabato Bilaan",125.01141,6.21229,0.00763375617438623
"Sarangani Bilaan",125.34999,6.06694,-0.0312126033454028
"Binukid",124.94266,8.19325,-0.0369485620563648
"Central Bontok",121.002,17.11673,-0.0135343523788686
"Buhid",121.222,12.64484,0.0916305416539161
"Cebuano",123.64698,10.20178,-0.0859884599527408
"Kuyunon",119.51679,10.73557,-0.0750618641648003
"Casiguran Dumagat",121.99354,16.40414,0.0092344757930439
"Gaddang",121.26426,16.58369,0.0290711984260746
"Hanunoo",121.2367,12.41035,0.0478634167963875
"Hiligaynon",122.64284,9.74388,0.122047333894235
"Ibanag",121.78591,17.64993,0.02220906539631
"Central Ifugao",121.00691,16.90069,-0.00429152719149133
"East Ifugao",121.26145,16.84668,0.0159203337482946
"Ilokano",120.65378,15.70115,0.0504988315122516
"Ilongot",121.49391,16.37807,0.0248815288382666
"Inibaloi",120.68141,16.45231,0.0167855569089597
"Iraya",120.67441,13.35138,-0.0558205239128553
"Isnag",121.10666,18.19955,0.0206498796539679
"Itbayaten",121.93381,20.38116,0.000975630784544601
"Itneg",120.7103,17.2618,-0.0577085785046993
"Ivatanen",121.93381,20.38116,0.000975630784544627
"Kalagan",125.92716,7.30352,0.0187914613405741
"North Kalinga",121.36921,17.61454,0.0272350086245336
"Central Kalinga",121.03338,17.38069,0.0370495705532033
"South Kalinga",121.05985,17.29229,0.0344203931984964
"North Kallahan",121.02642,16.70893,0.0109914869897869
"North Kankanay",120.80177,17.12722,-0.0603146810784419
"Kapampangan",120.54845,15.24905,0.0218627573433144
"Magindanao",124.52305,6.98166,0.0382380926233488
"Mamanwa",125.53517,9.43926,-0.0944454098272726
"Ata",122.9,9.715,0.0626665784011796
"Dibabawon",125.99118,7.85784,-0.00160460537219444
"Ilianen",124.73172,7.35339,0.0468372337264657
"Kalamansig",124.29478,6.40155,0.070486227152032
"Sarangani Manobo",125.61158,6.03322,-0.0337465949925249
"Tigwa",125.15548,7.70798,0.0214118595353974
"Western Bukidnon",124.83378,7.68416,0.0354541717627367
"Mansakan",126.164,7.2864,0.0207379297267327
"Maranao",124.22438,7.81502,0.00843864858739007
"Naga",123.39831,13.61531,-0.0669182046295097
"Pangasinan",120.38515,15.96202,0.0398817380618352
"Waray",125.0147,11.78931,-0.131020734521111
"Tina",120.04184,15.57252,0.000162668515109488
"Sangil",125.38747,5.40063,-0.00858380098507805
"Siocon Subanon",122.37053,7.73572,-0.105332289240088
"Sindangan",123.09603,8.13155,-0.119895351396036
"Tagalog",121.38616,14.21913,-0.00954060814234109
"Tagbanwa",118.52075,9.63679,-0.0600704831804575
"Kalamianen",119.99355,11.91139,-0.0606613360720982
"Tausug",121.11477,5.95478,-0.00975747339945714
"Tboli",124.56778,6.17584,0.0599629139274971
"Tiruray",124.12327,6.78126,0.038868877671797
"Yogad",121.70617,16.69425,0.0200717389367897
