"phoneme","ipa","class","global_n","IDF","ph_prevalence","ph_variance","austronesian_prevalence","austronesian_variance","unrelated_prevalence","unrelated_variance","global_prevalence","global_variance","span_has","jap_has","eng_has","unrelated_not_baseline","n_baselines_shared_unrelated","null_skew_leverage","drives_unrelated_tail","flag"
"phoneme_380","ž","consonant",291,3.8607297110406,0.0517241379310345,0.0490487514863258,0.0176056338028169,0.017295675461218,0.218009478672986,0.170481345881719,0.126410835214447,0.110431135954833,FALSE,FALSE,TRUE,FALSE,1,318.388782529295,TRUE,"both (baseline + unrelated-tail)"
"phoneme_453","ḷ","consonant",105,4.26619481914876,0.0172413793103448,0.0169441141498216,0.0105633802816901,0.0104517952787145,0.0616113744075829,0.0578154129511916,0.049097065462754,0.0466865436257,FALSE,FALSE,FALSE,TRUE,0,305.616648561688,TRUE,"unrelated-tail driver"
"phoneme_386","ẓ","consonant",19,4.95934199970871,0.0172413793103448,0.0169441141498216,0.00352112676056338,0.00350872842689942,0.014218009478673,0.0140158576851373,0.00846501128668171,0.00839335487059806,FALSE,FALSE,FALSE,TRUE,0,202.598131791466,TRUE,"unrelated-tail driver"
"phoneme_597","ɟ","consonant",205,3.8607297110406,0.0344827586206897,0.0332936979785969,0.0176056338028169,0.017295675461218,0.0568720379146919,0.0536376092181218,0.102708803611738,0.0921597052723836,FALSE,FALSE,FALSE,TRUE,0,157.414578194608,TRUE,"unrelated-tail driver"
"phoneme_397","ø","vowel",106,3.16758253048065,0.0172413793103448,0.0169441141498216,0.0387323943661972,0.0372321959928586,0.0853080568720379,0.0780305923047551,0.0479683972911964,0.0456674301525103,FALSE,FALSE,FALSE,TRUE,0,65.3714520352385,TRUE,"unrelated-tail driver"
"phoneme_134","ʊ","vowel",279,2.94443897916644,0.0344827586206897,0.0332936979785969,0.0492957746478873,0.046865701249752,0.137440758293839,0.118550796253453,0.132054176072235,0.114615870654118,FALSE,FALSE,TRUE,FALSE,1,56.0181550300585,FALSE,"baseline driver"
"phoneme_396","I","vowel",298,2.70805020110221,0.0689655172413793,0.0642092746730083,0.0633802816901408,0.0593632215830192,0.146919431279621,0.125334111992094,0.141083521444695,0.121178961421459,FALSE,FALSE,TRUE,FALSE,1,34.9070675953343,FALSE,"baseline driver"
"phoneme_385","ɸ","consonant",100,2.94443897916644,0.120689655172414,0.106123662306778,0.0492957746478873,0.046865701249752,0.0521327014218009,0.0494148828642663,0.049097065462754,0.0466865436257,FALSE,FALSE,FALSE,TRUE,0,28.8437995941946,FALSE,"neither"
"phoneme_136","ɐ","vowel",83,3.3499040872746,0.0172413793103448,0.0169441141498216,0.0316901408450704,0.03068587581829,0.018957345971564,0.0185979650052784,0.0406320541760722,0.038981090349505,FALSE,FALSE,TRUE,FALSE,1,25.2855989339954,FALSE,"baseline driver"
"phoneme_341","x","consonant",476,2.60796674254523,0.0344827586206897,0.0332936979785969,0.0704225352112676,0.0654632017456854,0.33175355450237,0.221693133577413,0.213318284424379,0.167813593954619,TRUE,FALSE,FALSE,FALSE,1,23.4714774953722,FALSE,"baseline driver"
"phoneme_633","c","consonant",305,2.56144672691033,0.0517241379310345,0.0490487514863258,0.073943661971831,0.0684759968260266,0.0995260663507109,0.0896206284674648,0.146726862302483,0.125198090181351,FALSE,FALSE,FALSE,TRUE,0,20.2732885332789,FALSE,"neither"
"phoneme_458","cː","mod_consonant",361,2.2512917986065,0.189655172413793,0.153686087990487,0.102112676056338,0.0916856774449514,0.246445497630332,0.18571011432807,0.172121896162528,0.142495949023944,FALSE,TRUE,FALSE,FALSE,1,12.2610486353183,FALSE,"baseline driver"
"phoneme_141","ɨ","vowel",292,1.7404661748405,0.344827586206897,0.225921521997622,0.172535211267606,0.142766812140448,0.14218009478673,0.121964915433166,0.140519187358916,0.120773545342906,FALSE,FALSE,FALSE,TRUE,0,2.42617953622779,FALSE,"neither"
"phoneme_327","β","consonant",203,1.988927534139,0.0862068965517241,0.0787752675386445,0.133802816901408,0.115899623090657,0.042654028436019,0.0408346622941982,0.0965011286681716,0.0871886608339406,FALSE,FALSE,FALSE,TRUE,0,2.31215839539075,FALSE,"neither"
"phoneme_012","ɡ̌","consonant",601,1.91481956198528,0.0862068965517241,0.0787752675386445,0.144366197183099,0.123524598293989,0.417061611374408,0.24312122369219,0.282731376975169,0.202794345448894,FALSE,TRUE,TRUE,FALSE,2,1.98781331727406,FALSE,"baseline driver"
"phoneme_711","ɾ","consonant",465,1.6271374895335,0.293103448275862,0.207193816884661,0.193661971830986,0.15615701249752,0.199052132701422,0.159430381168437,0.216704288939052,0.169743540094472,TRUE,TRUE,FALSE,FALSE,2,1.78089312994585,FALSE,"baseline driver"
"phoneme_536","n˜","consonant",801,1.66350513370438,0.0517241379310345,0.0490487514863258,0.186619718309859,0.151792799047808,0.393364928909953,0.238628961613621,0.37979683972912,0.235551200260893,TRUE,FALSE,FALSE,FALSE,1,1.07844520233067,FALSE,"baseline driver"
"phoneme_294","ɣ","consonant",328,1.52535479522356,0.103448275862069,0.0927467300832342,0.214788732394366,0.168654532830788,0.127962085308057,0.11158779003167,0.148984198645598,0.126787907199527,FALSE,FALSE,FALSE,TRUE,0,1.04582520345091,FALSE,"neither"
"phoneme_128","ɔ","vowel",653,1.43298147509254,0.120689655172414,0.106123662306778,0.235915492957746,0.18025937314025,0.322274881516588,0.218413782260057,0.318848758465011,0.217184227690332,FALSE,FALSE,TRUE,FALSE,1,0.672205875489061,FALSE,"baseline driver"
"phoneme_328","f","consonant",740,1.44779656087768,0.0689655172413793,0.0642092746730083,0.232394366197183,0.178387224756993,0.374407582938389,0.234226544776622,0.34706546275395,0.226611027317337,TRUE,FALSE,TRUE,FALSE,2,0.541844625719688,FALSE,"baseline driver"
"phoneme_139","ə","vowel",600,1.33500106673234,0.275862068965517,0.199762187871581,0.26056338028169,0.192670105137869,0.255924170616114,0.190426989510568,0.289503386004515,0.205691175496436,FALSE,FALSE,TRUE,FALSE,1,0.526226781895726,FALSE,"baseline driver"
"phoneme_401","ɛ","vowel",706,1.40399393821929,0.120689655172414,0.106123662306778,0.242957746478873,0.183929279904781,0.350710900473934,0.227712764762696,0.351015801354402,0.227803708553929,FALSE,FALSE,TRUE,FALSE,1,0.520759098809247,FALSE,"baseline driver"
"phoneme_476","cʷ","mod_consonant",234,1.28304132780163,0.0172413793103448,0.0169441141498216,0.274647887323944,0.199216425312438,0.0521327014218009,0.0494148828642663,0.120767494356659,0.106182706663473,FALSE,FALSE,FALSE,TRUE,0,0.197460845635309,FALSE,"neither"
"phoneme_338","v","consonant",596,1.10919439799865,0.0344827586206897,0.0332936979785969,0.327464788732394,0.220231600872843,0.345971563981043,0.226275240897554,0.282167042889391,0.202548802796447,FALSE,FALSE,TRUE,FALSE,1,0.12981173133974,FALSE,"baseline driver"
"phoneme_555","ʔ","consonant",898,0.615536577855021,0.982758620689655,0.0169441141498217,0.538732394366197,0.248499801626661,0.417061611374408,0.24312122369219,0.431151241534989,0.245259848457827,FALSE,FALSE,FALSE,TRUE,0,0.00219346978421825,FALSE,"neither"
"phoneme_544","ŋ","consonant",1206,0.111225635110224,1,0,0.894366197183099,0.0944753025193414,0.488151658767773,0.249859616810045,0.590857787810384,0.241744862394203,FALSE,FALSE,TRUE,FALSE,1,1.12101902826083e-08,FALSE,"baseline driver"
"phoneme_001","tˡ̥","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_002","tːˡ","consonant",3,5.65248918026865,0,0,0,0,0,0,0.00169300225733634,0.00169013600069299,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_003","bͮ","consonant",14,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00733634311512415,0.00728252118482132,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_004","ᶡčʰ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_005","kˡ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_006","dᵞ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_007","čʰʷ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_008","ɡ́","consonant",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_009","tᶿ","consonant",5,5.65248918026865,0,0,0,0,0.00947867298578199,0.0093888277442106,0.00169300225733634,0.00169013600069299,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_010","ɡ̰̌","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_011","tˣˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_013","cʹˀ","consonant",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_014","ⁿ̃čʰ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_015","ɟ́","consonant",2,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_016","kˡˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
