"language","n_exceed_raw","n_exceed_family","family","size","delta"
"Kanuri",34,37,"Nilo-Saharan",33,3
"Fur",31,33,"Nilo-Saharan",26,2
"Bodo",25,24,"Sino-Tibetan",22,-1
"Turkmen",21,22,"Altaic",31,1
"Kodagu",21,15,"Dravidian",32,-6
"Kanakuru",18,18,"Afro-Asiatic",29,0
"Micmac",18,19,"Algic",17,1
"Dongolawi",16,16,"Nilo-Saharan",29,0
"Coptic",16,17,"Afro-Asiatic",28,1
"Yaaku",16,17,"Afro-Asiatic",27,1
"Alabama",16,15,"Muskogean",19,-1
"Karok",15,16,"Hokan",21,1
"Galibi",14,22,"Carib",21,8
"Gude",13,13,"Afro-Asiatic",31,0
"Lotha",12,13,"Sino-Tibetan",32,1
"Ao",12,13,"Sino-Tibetan",32,1
"Finnish",11,9,"Uralic",24,-2
"Garo",11,13,"Sino-Tibetan",21,2
"Tamil",9,9,"Dravidian",30,0
"Ngalkbon",9,12,"Australian",24,3
"Blackfoot",9,10,"Algic",14,1
"Hidatsa",9,7,"Siouan",17,-2
"Babanki",8,10,"Niger-Congo",31,2
"Trio",8,11,"Carib",17,3
"Waiwai",8,7,"Carib",20,-1
"Zayse",7,6,"Afro-Asiatic",33,-1
"Arapaho",7,7,"Algic",17,0
"Shawnee",7,8,"Algic",18,1
"Hungarian",6,7,"Uralic",34,1
"Southern Saami",6,6,"Uralic",30,0
"Thado",6,6,"Sino-Tibetan",28,0
"Khasi",6,10,"Austro-Asiatic",27,4
"Nyoro",5,6,"Niger-Congo",30,1
"Lozi",5,5,"Niger-Congo",21,0
"Kalmyk",5,6,"Altaic",30,1
"Temne",4,6,"Niger-Congo",25,2
"Shilluk",4,9,"Nilo-Saharan",28,5
"Margi",4,11,"Afro-Asiatic",39,7
"Kilba",4,11,"Afro-Asiatic",41,7
"Basque",4,4,"Basque",25,0
"Ingrian",4,4,"Uralic",29,0
"Uzbek",4,3,"Altaic",29,-1
"Nyakyusa",3,5,"Niger-Congo",25,2
"Sura",3,3,"Afro-Asiatic",33,0
"Dasenech",3,3,"Afro-Asiatic",32,0
"Vepsian",3,3,"Uralic",30,0
"Livonian",3,3,"Uralic",30,0
"Azerbaijani",3,4,"Altaic",33,1
"Tatar",3,3,"Altaic",32,0
"Wagiman",3,5,"Australian",16,2
"Aranda",3,3,"Australian",25,0
"Dagbani",2,2,"Niger-Congo",31,0
"Mumuye",2,2,"Niger-Congo",30,0
"Aghem",2,2,"Niger-Congo",29,0
"Songhai",2,2,"Nilo-Saharan",32,0
"Nuer",2,2,"Nilo-Saharan",32,0
"Afar",2,3,"Afro-Asiatic",25,1
"Eastern Saami",2,9,"Uralic",37,7
"Crimean Turkish",2,3,"Altaic",31,1
"Malto",2,2,"Dravidian",30,0
