"language","iso6393","language_family","region","inventory_size"
"Hadza","hts","Khoisan","Africa",66
"Kxoe","xuu","Khoisan","Africa",68
"Buka","xuu","Khoisan","Africa",67
"Xu^","xuu","Khoisan","Africa",76
"\u450?Hu^","huc","Khoisan","Africa",63
"Temne","tem","Niger-Congo","Africa",25
"Suppire","spp","Niger-Congo","Africa",29
"Dagbani","dag","Niger-Congo","Africa",31
"Mumuye","mzm","Niger-Congo","Africa",30
"Fon","fon","Niger-Congo","Africa",30
"Nupe","nup","Niger-Congo","Africa",29
"Idoma","idu","Niger-Congo","Africa",30
"Degema","deg","Niger-Congo","Africa",35
"Igbo","ibo","Niger-Congo","Africa",44
"Aghem","agq","Niger-Congo","Africa",29
"Babanki","bbk","Niger-Congo","Africa",31
"Tikar","tik","Niger-Congo","Africa",42
"Bembe\sub 2\nosupersub","beq","Niger-Congo","Africa",27
"Nyoro","nyo","Niger-Congo","Africa",30
"Nyakyusa","nyy","Niger-Congo","Africa",25
"Mwera","mwe","Niger-Congo","Africa",28
"Tswana","tsn","Niger-Congo","Africa",42
"Southern Sotho","sot","Niger-Congo","Africa",50
"Lozi","loz","Niger-Congo","Africa",21
"Songhai","dje","Nilo-Saharan","Africa",32
"Kanuri","knc","Nilo-Saharan","Africa",33
"Fur","fvr","Nilo-Saharan","Africa",26
"Dongolawi","kzh","Nilo-Saharan","Africa",29
"Murle","mur","Nilo-Saharan","Africa",33
"Shilluk","shk","Nilo-Saharan","Africa",28
"Nuer","nus","Nilo-Saharan","Africa",32
"Mangbetu","mdj","Nilo-Saharan","Africa",49
"Coptic","cop","Afro-Asiatic","Africa",28
"Tera","ttr","Afro-Asiatic","Africa",46
"Margi","mrt","Afro-Asiatic","Africa",39
"Kilba","hbb","Afro-Asiatic","Africa",41
"Glavda","glw","Afro-Asiatic","Africa",39
"Gude","gde","Afro-Asiatic","Africa",31
"Kanakuru","kna","Afro-Asiatic","Africa",29
"Sura","sur","Afro-Asiatic","Africa",33
"Paa","pqa","Afro-Asiatic","Africa",32
"Zayse","zay","Afro-Asiatic","Africa",33
"Kemant","ahg","Afro-Asiatic","Africa",31
"Bilin","byn","Afro-Asiatic","Africa",40
"Burji","bji","Afro-Asiatic","Africa",31
"Hadiyya","hdy","Afro-Asiatic","Africa",29
"Yaaku","muu","Afro-Asiatic","Africa",27
"Afar","aar","Afro-Asiatic","Africa",25
"Dasenech","dsh","Afro-Asiatic","Africa",32
"Georgian","kat","Kartvelian","MiddleEast",34
"Basque","eus","Basque","Europe",25
"Kabardian","kbd","North Caucasian","Europe",42
"Hunzib","huz","North Caucasian","Europe",46
"Lezgi","lez","North Caucasian","Europe",45
"Hungarian","hun","Uralic","Europe",34
"Eastern Saami","sms","Uralic","Europe",37
