phoneme,ipa,class,winning_model,regime,direction,mean,median,q025,q975,total_branch_length,per_unit_time
phoneme_012,ɡ̌,consonant,ER2,Background,gain (0->1),10.486,10,8,15,259.00117800000004,0.04048630234415381
phoneme_012,ɡ̌,consonant,ER2,Background,loss (1->0),3.555,4,1,6,259.00117800000004,0.013725806297297997
phoneme_012,ɡ̌,consonant,ER2,Philippine,gain (0->1),4.682,5,4,6,22.013308000000006,0.21268952399157814
phoneme_012,ɡ̌,consonant,ER2,Philippine,loss (1->0),0.477,0,0,2,22.013308000000006,0.021668710581798967
phoneme_121,o,vowel,ARD2,Background,gain (0->1),15.148,15,7,23,259.00117800000004,0.0584862204758003
phoneme_121,o,vowel,ARD2,Background,loss (1->0),17.525,17,12,25,259.00117800000004,0.06766378491143386
phoneme_121,o,vowel,ARD2,Philippine,gain (0->1),16.435,16,8,25,22.013308000000006,0.7465938331485661
phoneme_121,o,vowel,ARD2,Philippine,loss (1->0),19.008,19,11,27,22.013308000000006,0.8634776745048947
phoneme_123,u,vowel,ER2,Background,gain (0->1),0.997,1,0,3,259.00117800000004,0.003849403341323798
phoneme_123,u,vowel,ER2,Background,loss (1->0),8.902,9,8,11,259.00117800000004,0.03437050004459825
phoneme_123,u,vowel,ER2,Philippine,gain (0->1),1.695,1,0,5,22.013308000000006,0.07699887722463156
phoneme_123,u,vowel,ER2,Philippine,loss (1->0),9.051,9,7,12,22.013308000000006,0.4111603762596697
phoneme_139,ə,vowel,ARD2,Background,gain (0->1),18.441,18,14,23,259.00117800000004,0.07120044836243948
phoneme_139,ə,vowel,ARD2,Background,loss (1->0),7.549,7,4,13,259.00117800000004,0.029146585580394537
phoneme_139,ə,vowel,ARD2,Philippine,gain (0->1),149.408,149,132,167.02499999999998,22.013308000000006,6.787167108187464
phoneme_139,ə,vowel,ARD2,Philippine,loss (1->0),149.03,149,131,169,22.013308000000006,6.769995677160378
phoneme_141,ɨ,vowel,ARD2,Background,gain (0->1),10.094,10,5,16,259.00117800000004,0.03897279571446582
phoneme_141,ɨ,vowel,ARD2,Background,loss (1->0),16.047,16,6,25,259.00117800000004,0.0619572471597021
phoneme_141,ɨ,vowel,ARD2,Philippine,gain (0->1),14.792,15,8,22,22.013308000000006,0.6719571633668141
phoneme_141,ɨ,vowel,ARD2,Philippine,loss (1->0),17.567,18,8,28,22.013308000000006,0.7980172720974056
phoneme_294,ɣ,consonant,ER2,Background,gain (0->1),19.06,19,16,22,259.00117800000004,0.07359039888227843
phoneme_294,ɣ,consonant,ER2,Background,loss (1->0),2.374,2,0,6,259.00117800000004,0.009165981476732896
phoneme_294,ɣ,consonant,ER2,Philippine,gain (0->1),5.89,6,5,8,22.013308000000006,0.2675654199723185
phoneme_294,ɣ,consonant,ER2,Philippine,loss (1->0),0.783,1,0,3,22.013308000000006,0.03556939284182095
phoneme_327,β,consonant,ARD2,Background,gain (0->1),18.589,19,9,27,259.00117800000004,0.0717718743348727
phoneme_327,β,consonant,ARD2,Background,loss (1->0),27.992,24,8,58,259.00117800000004,0.10807672851588342
phoneme_327,β,consonant,ARD2,Philippine,gain (0->1),11.119,11,6,17,22.013308000000006,0.5051035491803412
phoneme_327,β,consonant,ARD2,Philippine,loss (1->0),12.728,12,5,22,22.013308000000006,0.5781956987109795
phoneme_391,e,vowel,ARD2,Background,gain (0->1),16.032,16,10,23,259.00117800000004,0.061899332365198734
phoneme_391,e,vowel,ARD2,Background,loss (1->0),19.129,19,13,27,259.00117800000004,0.07385680693699392
phoneme_391,e,vowel,ARD2,Philippine,gain (0->1),11.759,12,6,17,22.013308000000006,0.5341768715542433
phoneme_391,e,vowel,ARD2,Philippine,loss (1->0),14.822,15,6.975000000000001,25,22.013308000000006,0.6733199753530907
phoneme_458,cː,mod_consonant,ER2,Background,gain (0->1),10.088,10,9,12,259.00117800000004,0.03894962979666447
phoneme_458,cː,mod_consonant,ER2,Background,loss (1->0),2.249,2,1,4,259.00117800000004,0.008683358189204838
phoneme_458,cː,mod_consonant,ER2,Philippine,gain (0->1),4.618,5,4,6,22.013308000000006,0.20978219175418794
phoneme_458,cː,mod_consonant,ER2,Philippine,loss (1->0),0.373,0,0,2,22.013308000000006,0.016944295696039863
phoneme_482,vː,mod_vowel,ER2,Background,gain (0->1),26.378,27,18,32,259.00117800000004,0.10184509662732112
phoneme_482,vː,mod_vowel,ER2,Background,loss (1->0),6.271,6,1,15,259.00117800000004,0.024212245088707663
phoneme_482,vː,mod_vowel,ER2,Philippine,gain (0->1),13.966,14,7,20,22.013308000000006,0.6344344066779966
phoneme_482,vː,mod_vowel,ER2,Philippine,loss (1->0),8.657,8,3,17,22.013308000000006,0.3932621121732362
