"","Agta","Atta","Balangaw","Batak","Cotabato Bilaan","Sarangani Bilaan","Binukid","Central Bontok","Buhid","Cebuano","Kuyunon","Casiguran Dumagat","Gaddang","Hanunoo","Hiligaynon","Ibanag","Central Ifugao","East Ifugao","Ilokano","Ilongot","Inibaloi","Iraya","Isnag","Itbayaten","Itneg","Ivatanen","Kalagan","North Kalinga","Central Kalinga","South Kalinga","North Kallahan","North Kankanay","Kapampangan","Magindanao","Mamanwa","Ata","Dibabawon","Ilianen","Kalamansig","Sarangani Manobo","Tigwa","Western Bukidnon","Mansakan","Maranao","Naga","Pangasinan","Waray","Tina","Sangil","Siocon Subanon","Sindangan","Tagalog","Tagbanwa","Kalamianen","Tausug","Tboli","Tiruray","Yogad"
"Agta",0,2281.10214041624,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,2481.36302006827,6010.6341046086,6010.6341046086,2281.10214041624,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,2281.10214041624,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Atta",2281.10214041624,0,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,2481.36302006827,6010.6341046086,6010.6341046086,873.068701156777,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,1731.82129266329,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Balangaw",4286.52922538778,4286.52922538778,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,1952.08616000621,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2325.01746338406,2325.01746338406,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2793.63572961396,4906.1939289813,6010.6341046086,2793.63572961396,2793.63572961396,2793.63572961396,3538.80768883702,1952.08616000621,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Batak",6010.6341046086,6010.6341046086,6010.6341046086,0,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,5090.47159841496,4800.21412629267,4800.21412629267,6010.6341046086,6010.6341046086,5090.47159841496,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086,4800.21412629267,6010.6341046086,6760.46798272896,4800.21412629267,4800.21412629267,5222.45424519902,2010.18213258557,3274.37403718463,4800.21412629267,4800.21412629267,4800.21412629267,6010.6341046086
"Cotabato Bilaan",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,0,330.952383084841,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,3958.64536812145,3958.64536812145,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,1073.42212669082,2625.34146937998,6010.6341046086
"Sarangani Bilaan",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,330.952383084841,0,4163.81663793555,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4163.81663793555,4428.04484206979,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4163.81663793555,4428.04484206979,4163.81663793555,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,3958.64536812145,3958.64536812145,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,1073.42212669082,2625.34146937998,6010.6341046086
"Binukid",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,0,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,2368.96597953696,2368.96597953696,2368.96597953696,2619.41814207878,2619.41814207878,2368.96597953696,2368.96597953696,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Central Bontok",4286.52922538778,4286.52922538778,1952.08616000621,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2325.01746338406,2325.01746338406,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2793.63572961396,4906.1939289813,6010.6341046086,2793.63572961396,2793.63572961396,2793.63572961396,3538.80768883702,1232.46267833989,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Buhid",6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,0,5090.47159841496,5090.47159841496,6010.6341046086,6010.6341046086,2551.61623839372,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3475.76665788696,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,5090.47159841496,6010.6341046086,6760.46798272896,5090.47159841496,5090.47159841496,5222.45424519902,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086
"Cebuano",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,0,3201.70265576022,6010.6341046086,6010.6341046086,5090.47159841496,3201.70265576022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,2452.32506455432,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,2875.6889427694,6010.6341046086,2875.6889427694,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,2452.32506455432,4428.04484206979,4428.04484206979,6010.6341046086
