"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Isnag",0,1168.63818423411,1283.58547153153,1011.63074961912,418.852563181037,161.472194953519,1729.21438015969,1067.67474473895,622.146323545498,314.05756211378,778.407765673151,794.485509083209,911.088335783669,823.975348045788,944.130635520269,778.313168482547,685.158467124725,1250.61546215891,916.698518499241,864.457869311283,881.651074712938,470.694698753759,470.694698753759,1079.42202740448,769.191113946269,1256.63822490123,2498.87535933215,2465.23020439125,2531.72094455527,2546.24738012684,2773.49270240457,2845.03804459482,2958.96260840917,2788.61576844027,3482.85219408031,2979.9500580156,3162.36189675784,2790.99047609765,1723.43280114195,1608.31349565255,1686.51239989474,3654.31322658865,3715.07385725482,1146.9939669384,1901.58092239886,3137.41726188289,3084.95521400284,2225.59944478374,3841.04075632235,2120.66912593818,2190.27390610688,2615.84478109868,3691.56691630648,2996.49469411283,3165.347710629,3506.26364687005,3600.14631792917,3847.02509935499
"Yogad",1168.63818423411,0,728.322837794232,216.047297588146,473.322002984373,1060.06171703524,197.510285601166,1387.9749923424,942.446571148951,481.356085560442,464.446410061616,424.614929784191,295.710993270338,345.857029311798,223.286734472925,392.616480658061,477.694668216612,185.632347554763,1236.99876610269,499.405892655388,321.521049857618,1127.80478674371,1127.80478674371,1399.72227500793,1089.49136154972,1576.93847250468,2819.1756069356,2785.53045199471,2852.02119215872,2866.54762773029,3093.79295000802,3165.33829219827,3279.26285601262,3108.91601604372,3803.15244168376,3300.25030561905,3482.66214436129,3111.2907237011,2043.73304874541,1928.61374325601,2006.81264749819,3974.6134741921,1798.15706111391,1467.29421454185,707.493112036594,3457.71750948634,3405.25546160629,2545.89969238719,2057.87282615151,2440.96937354163,2510.57415371033,2936.14502870214,4011.86716390993,3316.79494171629,3485.64795823245,3826.56389447351,3920.44656553262,4167.32534695845
"Agta",1283.58547153153,728.322837794232,0,1446.87828451999,1560.84996478499,1175.00900433265,324.365976773379,452.826990992641,1057.39385844637,1364.35521678152,1213.65530057402,1229.73304398408,1346.33587068454,1259.22288294666,1379.37817042114,1213.56070338342,1120.4060020256,584.747399912558,1032.72124389199,980.480594704036,1316.89860961381,1242.75207404113,1242.75207404113,405.262608856403,694.722652712682,748.01710111304,1990.25423554396,1956.60908060306,2023.09982076708,2037.62625633865,2264.87157861638,2336.41692080663,2450.34148462098,2279.99464465208,2974.23107029212,2471.32893422741,2653.74077296965,2282.36935230946,1214.81167735377,1099.69237186437,1177.89127610655,3145.69210280046,1451.93886977947,638.372843150214,1392.95979861068,2628.7961380947,2576.33409021465,1716.97832099555,3332.41963253416,1612.04800214999,1681.65278231869,2107.2236573105,1398.55523198339,2487.87357032464,2656.72658684081,2997.64252308186,3091.52519414098,3338.4039755668
"Gaddang",1011.63074961912,216.047297588146,1446.87828451999,0,581.108172984199,903.054282420243,356.43258237661,523.129683817239,785.439136533959,511.340898461661,408.306171502839,362.91618295138,272.27708040756,198.23520701596,129.846604789766,290.881439267512,346.065311139864,148.747416989491,517.477665365276,283.403444413106,128.373951640367,970.797352128719,970.797352128719,1242.71484039294,932.483926934729,1419.93103788969,2662.16817232061,2628.52301737971,2695.01375754373,2709.5401931153,2936.78551539303,3008.33085758328,3122.25542139763,2951.90858142873,3646.14500706877,3143.24287100406,3325.6547097463,2954.28328908611,1886.72561413041,1771.60630864102,1849.8052128832,1843.01762308338,1833.66182065333,1310.28677992686,753.849319512602,3300.71007487135,3248.2480269913,2388.8922577722,4004.33356931081,2283.96193892664,2353.56671909534,2779.13759408715,1525.86285717922,3159.78750710129,3328.64052361746,3669.55645985851,3763.43913091763,4010.31791234345
"Ibanag",418.852563181037,473.322002984373,1560.84996478499,581.108172984199,0,465.633171405121,622.814777752211,1344.93923799241,899.410816798965,196.839348246576,378.417265045455,384.822109430876,347.817159033862,521.246023697217,467.349813682371,453.554547358141,962.422960378192,642.878264892775,1193.96301175271,1141.72236256475,1158.9155679664,1084.76903239373,1084.76903239373,1356.68652065794,1046.45560719974,1533.90271815469,2776.13985258562,2742.49469764472,2808.98543780874,2823.51187338031,3050.75719565804,3122.30253784828,3236.22710166263,3065.88026169373,3760.11668733377,3257.21455126907,3439.6263900113,3068.25496935111,2000.69729439542,1885.57798890602,1963.7768931482,3931.57771984212,3992.33835050828,1424.25846019187,1058.56769079033,3414.68175513635,3362.21970725631,2502.86393803721,4118.30524957582,2397.93361919164,2467.53839936035,2893.10927435215,3968.83140955994,3273.7591873663,3442.61220388246,3783.52814012352,3877.41081118263,4124.28959260846
"Atta",161.472194953519,1060.06171703524,1175.00900433265,903.054282420243,465.633171405121,0,1620.63791296081,959.098277540073,513.569856346624,820.531214681773,669.831298474277,685.909041884335,802.511868584795,715.398880846914,835.554168321395,669.736701283673,576.581999925851,1142.03899496004,808.122051300367,755.881402112409,773.074607514064,362.118231554885,362.118231554885,970.845560205601,660.614646747395,1148.06175770235,2390.29889213328,2356.65373719238,2423.1444773564,2437.67091292797,2664.91623520569,2736.46157739594,2850.38614121029,2680.03930124139,3374.27572688143,2871.37359081673,3053.78542955896,2682.41400889877,1614.85633394308,1499.73702845368,1577.93593269586,3545.73675938978,3606.49739005594,1038.41749973953,1793.00445519999,3028.84079468401,2976.37874680396,2117.02297758487,3732.46428912348,2012.0926587393,2081.69743890801,2507.26831389981,3582.9904491076,2887.91822691396,3056.77124343012,3397.68717967118,3491.56985073029,3738.44863215612
"Casiguran Dumagat",1729.21438015969,197.510285601166,324.365976773379,356.43258237661,622.814777752211,1620.63791296081,0,1438.83519213352,739.596817795083,666.317583598158,661.951082835463,622.017242368106,493.203687273029,527.146391400759,409.484611612715,586.069633479173,666.951755771226,236.994920636883,1478.35015252015,621.813756920189,481.778126615492,1688.38098266929,1688.38098266929,1290.0244681334,1140.35156134084,1193.6460097412,2435.88314417212,2402.23798923122,2468.72872939524,2483.25516496681,2710.50048724454,2782.04582943479,2895.97039324914,2725.62355328024,3419.85997892028,2916.95784285557,3099.36968159781,2727.99826093762,1660.44058598193,1545.32128049253,1623.52018473471,3591.32101142862,1819.32916833024,1084.00175177837,531.194982488746,3074.42504672286,3021.96299884281,2162.60722962371,1429.26281859244,2057.67691077815,2127.28169094685,2552.85256593866,1722.57811854577,2933.5024789528,3102.35549546897,3443.27143171002,3537.15410276914,3784.03288419496
"Ilokano",1067.67474473895,1387.9749923424,452.826990992641,523.129683817239,1344.93923799241,959.098277540073,1438.83519213352,0,841.483131653789,1148.44448998894,997.744573781441,1013.8223171915,1130.42514389196,1043.31215615408,1163.46744362856,997.649976590837,904.495275233015,520.185703289204,181.294670555247,371.083951476204,527.980003303004,1026.84134724855,1026.84134724855,228.761821789743,478.811925920101,966.25903687506,2208.49617130598,2174.85101636508,2241.3417565291,2255.86819210067,2483.1135143784,2554.65885656865,2668.583420383,2498.2365804141,3192.47300605414,2689.57086998943,2871.98270873167,2500.61128807148,1433.05361311579,1317.93430762639,1396.13321186857,1256.89051936743,1225.39793619545,856.614778912234,1611.2017343727,2847.03807385672,2794.57602597667,1935.22025675757,3550.66156829618,1830.28993791201,1899.89471808071,2325.46559307252,1114.19392241851,2706.11550608666,2874.96852260283,3215.88445884389,3309.767129903,3556.64591132882
"Itneg",622.146323545498,942.446571148951,1057.39385844637,785.439136533959,899.410816798965,513.569856346624,739.596817795083,841.483131653789,0,702.916068795488,163.194291795612,165.474493655392,276.885711630509,226.668296533069,331.17418173452,155.107608431138,79.2200388034896,1024.42384907375,690.506905414082,638.266256226124,311.100810761447,581.3129260551,581.3129260551,853.230414319316,542.99950086111,1030.44661181607,2272.68374624699,2239.03859130609,2305.52933147011,2320.05576704168,2547.30108931941,2618.84643150966,2732.77099532401,2562.42415535511,3256.66058099515,2753.75844493044,2936.17028367268,2564.79886301249,1497.2411880568,1382.1218825674,1460.32078680958,3428.12161350349,3488.88224416966,920.802353853243,1675.38930931371,2911.22564879773,2858.76360091768,1999.40783169858,3614.84914323719,1894.47751285302,1964.08229302172,2389.65316801353,3465.37530322132,2770.30308102767,2939.15609754384,3280.07203378489,3373.95470484401,3620.83348626983
"North Kalinga",314.05756211378,481.356085560442,1364.35521678152,511.340898461661,196.839348246576,820.531214681773,666.317583598158,1148.44448998894,702.916068795488,0,195.791670297916,215.732703093555,240.317449973071,391.645839336892,382.487609260576,300.571290341609,359.683162706078,613.285464670485,997.46826374923,945.227614561272,475.447277459725,888.274284390248,888.274284390248,1160.19177265446,849.960859196259,1337.40797015122,2579.64510458214,2545.99994964124,2612.49068980526,2627.01712537683,2854.26244765456,2925.80778984481,3039.73235365916,2869.38551369026,3563.6219393303,3060.71980326559,3243.13164200783,2871.76022134763,1804.20254639194,1689.08324090254,1767.28214514473,3735.08297183864,3795.84360250481,1227.76371218839,1982.35066764885,3218.18700713288,3165.72495925283,2306.36919003373,3921.81050157234,2201.43887118817,2271.04365135687,2696.61452634867,3772.33666155647,3077.26443936282,3246.11745587898,3587.03339212004,3680.91606317916,3927.79484460498
