phoneme_id,ipa,global_n,class
phoneme_001,tˡ̥,1,consonant
phoneme_002,tːˡ,3,consonant
phoneme_003,bͮ,14,consonant
phoneme_004,ᶡčʰ,1,consonant
phoneme_005,kˡ,1,consonant
phoneme_006,dᵞ,1,consonant
phoneme_007,čʰʷ,1,consonant
phoneme_008,ɡ́,0,consonant
phoneme_009,tᶿ,5,consonant
phoneme_010,ɡ̰̌,1,consonant
phoneme_011,tˣˀ,1,consonant
phoneme_012,ɡ̌,601,consonant
phoneme_013,cʹˀ,0,consonant
phoneme_014,ⁿ̃čʰ,1,consonant
phoneme_015,ɟ́,2,consonant
phoneme_016,kˡˀ,1,consonant
phoneme_017,ɡ̌ː,1,consonant
phoneme_018,tᴮ,1,consonant
phoneme_019,tˢʱ,1,consonant
phoneme_020,č̣,26,consonant
phoneme_021,pˢ̌ˀ,2,consonant
phoneme_022,ṭˢˀ,5,consonant
phoneme_023,č̣ˀ,7,consonant
phoneme_024,čʷ,1,consonant
phoneme_025,tˢˀʷ,1,consonant
phoneme_026,ḍʳ,2,consonant
phoneme_027,bɡ̌,0,consonant
phoneme_028,ⁿ̃ɡ̣̌,1,consonant
phoneme_029,ɡ̤̌,36,consonant
phoneme_030,ᶡčˀ,1,consonant
phoneme_031,čʰ,159,consonant
phoneme_032,ͫpˀ,1,consonant
phoneme_033,ṭʳ,3,consonant
phoneme_034,qːᵡ,4,consonant
phoneme_035,dʳ,3,consonant
phoneme_036,qᵡʰ,2,consonant
phoneme_037,qᵡˀ,16,consonant
phoneme_038,č,969,consonant
phoneme_039,ᵈtˢʰ,2,consonant
phoneme_040,tˡ̥ʰ,1,consonant
phoneme_041,pˡʰ,5,consonant
phoneme_042,qᵡ,17,consonant
phoneme_043,dˡ,16,consonant
phoneme_044,ʰtˢ,2,consonant
phoneme_045,dᶻˀ,1,consonant
phoneme_046,ⁿtˡˀ,1,consonant
phoneme_047,qᵡʷ,1,consonant
phoneme_048,qᵡˀʷ,1,consonant
phoneme_049,pᶲ,2,consonant
phoneme_050,bᶻ̌,2,consonant
phoneme_051,tˢʰ,110,consonant
phoneme_052,ṭˢ,24,consonant
phoneme_053,tˡˀ,71,consonant
phoneme_054,dᶻᵞ,1,consonant
phoneme_055,ɡ̣̌,4,consonant
phoneme_056,dᵝ,1,consonant
phoneme_057,ⁿtˢʰ,1,consonant
phoneme_058,ͫbͮ,2,consonant
phoneme_059,tːˡˀ,2,consonant
phoneme_060,ḍᶻ,6,consonant
phoneme_061,ˀbˡ,2,consonant
phoneme_062,ptˢ,0,consonant
phoneme_063,tˣ,3,consonant
phoneme_064,č̣ʰ,4,consonant
phoneme_065,cʹ,4,consonant
phoneme_066,pᶠʰ,1,consonant
phoneme_067,ⁿd̪ᶻ,2,consonant
phoneme_068,bᵝ,1,consonant
phoneme_069,dᶻ,225,consonant
phoneme_070,ⁿdˡ,1,consonant
phoneme_071,čʲ,0,consonant
phoneme_072,ⁿ̃ɡ̌,44,consonant
phoneme_073,pˢ̌ʰ,2,consonant
phoneme_074,tʳ,7,consonant
phoneme_075,kːˣ,4,consonant
phoneme_076,ɡ̌ʷ,1,consonant
phoneme_077,čˀ,185,consonant
phoneme_078,kːˣˀ,2,consonant
phoneme_079,ɠ̌,2,consonant
phoneme_080,ˀɡ̌,2,consonant
