tip,ruhlen_language,iso6393,glottocode,inventory_size
Aiwoo,Aiwo,nfl,ayiw1239,23
AmbrymSouthEast,Southeast Ambrym,tvk,sout2859,22
AnejomAneityum,Aneityum,aty,anei1239,25
AttaPamplona,Atta,att,pamp1244,18
Babatana,Babatana,baa,baba1268,24
Balangaw,Balangaw,blw,bala1310,24
Bali,Bali,ban,bali1278,25
BikolNagaCity,Naga,bcl,cent2087,21
Bintulu,Bintulu,bny,bint1246,28
Binukid,Binukid,bkd,binu1244,18
BugineseSoppeng_D,Bugis,bug,bugi1244,25
Bugotu,Bughotu,bgt,bugh1239,26
Bunun,Bunun,bnn,bunu1267,19
Bwaidoga,Bwaidoka,bwd,bwai1242,20
Canala,Xaracuu,ane,xara1244,31
Carolinian,Carolinian,cal,caro1242,27
Cebuano,Cebuano,ceb,cebu1242,22
CentralAmis,Ami,ami,amis1246,21
Chamorro,Chamorro,cha,cham1312,27
Chru,Chru,cje,chru1239,34
Chuukese,Trukese,chk,chuu1238,21
ChuukeseAKATrukese,Trukese,chk,chuu1238,21
CiuliAtayal,Atayal,tay,atay1247,25
DayakNgaju,Kapuas,nij,ngaj1237,24
Dehu,Dehu,dhv,dehu1237,36
Dobuan,Dobu,dob,dobu1241,19
DumagatCasiguran,Casiguran Dumagat,dgc,casi1235,24
Emae,Emae,mmw,emae1237,19
Futuna,West Futuna,fut,futu1245,21
FutunaWest,West Futuna,fut,futu1245,21
Gaddang,Gaddang,gad,gadd1244,22
Gedaged,Gedaged,gdd,geda1237,20
GhariGuadalcanal,Ghari,gri,ghar1239,21
Hanunoo,Hanunoo,hnn,hanu1241,20
Hawaiian,Hawaiian,haw,hawa1245,14
Iaai,Iaai,iai,iaai1238,42
Ibanag,Ibanag,ibg,iban1267,21
IfiraMeleMeleFila,Mele,mxe,mele1250,16
IfugaoAmganad,Central Ifugao,ifa,amga1235,19
IfugaoBatad,East Ifugao,ifb,bata1298,21
IfugaoBayninan,North Kallahan,ify,kele1259,21
Ilokano,Ilokano,ilo,ilok1237,20
