glottocode,PC1,PC2,language,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
aben1249,0.7189900363741631,-0.5144736777127105,Ayta Abellen,120.2,15.4131,Sambalic,#F1C878,0.01411561606617168,0.014905621327281939,122.85587983322355,13.387528454688864
agut1237,-0.3918371264275538,-0.46000631832617095,Agutyanen,119.655,10.5328,Palawanic-Kalamian,#87B1F1,0.009337636015787408,-0.010472857874071363,122.64456401138166,12.265113933703173
akla1241,-4.945498178524823,3.7617634487317857,Aklanon - Bisayan,122.354,11.5543,Central Philippine,#565153,-0.10222248374345845,-0.1018190628557274,117.71059230302164,8.225143449463957
alab1246,-0.8771486067051816,-0.17687882319995057,Inagta Alabat,122.014,14.1217,Central Philippine,#565153,0.0012850211207629295,-0.020737546059860196,122.2884208469954,11.811137358443876
alan1249,-0.4398884237081454,-1.0707299008241806,Alangan,121.022,13.0982,North Mangyan,#ECBEBD,0.023233057284064936,-0.013516217949580292,123.25911709326596,12.130515185124212
amba1267,0.5391620518479593,-4.183308102817392e-4,Ayta Ambala,120.283,14.8156,Sambalic,#F1C878,0.0017206085464213457,0.012400517027361072,122.3076855810182,13.276735155354167
amga1235,5.483108627913501,1.4054949413269557,"Ifugao, Amganad",121.042,16.9016,Meso-Cordilleran,#EA7B81,-0.014929105795127778,0.13058308344416075,121.57131832280118,18.503597948082042
arta1239,1.6899897652385663,-0.5373028814071082,Arta,121.656,16.4185,Northern Luzon,#7E6E40,0.017722122199105024,0.03716818083022551,123.01538485405287,14.372135131162974
atam1240,-2.2548400546178433,-5.630665703970914,"Manobo, Ata (down-river); Manobo, Ata (up-river)",125.499,7.7789,Manobo,#F16DEF,0.12236143235499503,-0.0697344450291851,127.6432697739118,9.644150501189383
atii1237,-4.07284571536097,2.8699307535953733,"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,Malayo-Polynesian,#C1E868,-0.07893919325660885,-0.08457640481420925,118.74034286968974,8.987734840880297
babu1242,2.063145379133555,-1.5768003365272092,Babuyan,121.96,19.48,Ibatan,#EF7AD0,0.04281689635074965,0.042452774295467094,124.12525194597697,14.605856954911065
bala1310,6.372085372757111,1.9701173737165807,Balangaw,121.272,17.0994,Meso-Cordilleran,#EA7B81,-0.025095497881126642,0.15282317339094811,121.12168909116659,19.48721086303444
bant1288,-2.775349416391949,1.5069307501762892,Bantoanon (Banton),122.034,12.5194,Central Philippine,#565153,-0.04346987153019341,-0.059056668481530385,120.30904529032647,10.116396743914954
