population,sample,PC1,PC2,subgroup,colour,rotLongitude,rotLatitude
AgtaBulusan,BUL-02,0.00118025,0.00304516,Central Philippine,#565153,122.71730860336055,11.241506125178905
AgtaBulusan,BUL-03,-0.00882754,0.00321868,Central Philippine,#565153,123.81843573799264,11.159651594345787
AgtaBulusan,BUL-04,-0.00719565,0.00136598,Central Philippine,#565153,123.6503218729356,11.373931142057064
AgtaBulusan,BUL-05,-0.00752325,0.00312443,Central Philippine,#565153,123.67537773783978,11.178209123457897
AgtaBulusan,BUL-06,-0.00923171,0.00147706,Central Philippine,#565153,123.87386836308845,11.34893220111289
AgtaBulusan,BUL-10,-0.00834299,0.00159325,Central Philippine,#565153,123.77526010588751,11.341707358473267
AgtaBulusan,BUL-13,-0.00548925,0.00184354,Central Philippine,#565153,123.45939224445782,11.332032999496645
AgtaBulusan,BUL-14,-0.00968695,0.00207035,Central Philippine,#565153,123.92028691357596,11.280735663471539
AgtaBulusan,BUL-15,-0.00658075,0.00368062,Central Philippine,#565153,123.56808780484376,11.122861743579394
AgtaBulusan,BUL-18,-0.0102015,5.28064e-4,Central Philippine,#565153,123.98662659450964,11.447370452626648
AgtaCasiguran,AQ-02,0.071086,-0.0103899,Northeastern Luzon,#95A459,115.10242050574436,13.159459650132872
AgtaCasiguran,AQ-04,0.0754662,-0.0105001,Northeastern Luzon,#95A459,114.6206949845393,13.199058244203309
AgtaCasiguran,AQ-06,0.0753571,-0.00906869,Northeastern Luzon,#95A459,114.62373657312014,13.04072489142042
AgtaCasiguran,AQ-07,0.0654023,-0.0109157,Northeastern Luzon,#95A459,115.7316953181629,13.181735079168076
AgtaCasiguran,AQ-08,0.0729989,-0.0150135,Northeastern Luzon,#95A459,114.92072954790778,13.680676016254843
AgtaCasiguran,AQ-09,0.0791737,-0.014584,Northeastern Luzon,#95A459,114.2379708425739,13.672085604397111
AgtaCasiguran,AQ-10,0.0728866,-0.0105705,Northeastern Luzon,#95A459,114.90524242417877,13.19063901021331
AgtaDumagat,DQ-02,0.0397719,-0.00866335,Greater Central Philippine,#ED6BB1,118.54039642194188,12.772981273060434
