language,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
Agutaynen,0.17734983129594226,-0.22322884011687213,119.655,10.5328,Palawanic-Kalamian,#87B1F1,-0.028000484023179232,-0.01758387679434224,121.23728275089807,13.01412087834381
Arta,3.84330558913818,0.23437859516473367,121.656,16.4185,Northern Luzon,#7E6E40,-0.022189464811617047,-0.4459900186339722,121.37028285576869,3.208945621218703
Ata Manobo,-0.9245111721533885,0.6684615983032972,125.499,7.7789,Manobo,#F16DEF,0.08888481919360436,0.09800346134144634,123.91250322766658,15.659634089380473
Botolan Sambal,-1.2300808396728147,-0.38702436951590763,120.164,15.2315,Sambalic,#F1C878,-0.028861119329687667,0.14673724369792226,121.21758490068392,16.775031909999754
Central Bontoc,-0.8563812832486248,3.8337662654337845,120.92,17.08,Meso-Cordilleran,#EA7B81,0.45285378261761433,0.04962630345739651,132.24286809872513,14.552398536085612
Central Cagayan Agta,-0.28106889793886497,-0.12123310493380986,121.857,17.9571,Cagayan Valley,#79F287,-0.010375210890666751,0.03394883520762815,121.64068241103571,14.19357939517204
Coastal-Naga Bikol,-1.050819177987943,-1.178298678421262,123.403,13.7574,Central Philippine,#565153,-0.12236047065891749,0.13620549938322715,119.07761201823676,16.53398588221551
Filipino,-0.615723311754545,-0.6712069014648564,123.464,12.265,Central Philippine,#565153,-0.06948214610946317,0.07956309845943971,120.28786833548777,15.23757900612085
Ibaloi,-0.6737160906113298,-0.6753302378696896,120.695,16.4263,Meso-Cordilleran,#EA7B81,-0.06921495050033716,0.08630028591929503,120.29398379350657,15.391776850951738
Ibanag,-0.37958785621353364,-0.26096683820005845,121.891,17.4201,Cagayan Valley,#79F287,-0.025219977533091346,0.04709334926552649,121.30092178586105,14.494425371501867
Ibatan,-0.3095077017980665,-0.6106940257880316,121.909,18.9398,Batanic,#60B57B,-0.06642765087409623,0.04349316881086547,120.35777830684397,14.412025991876629
Ilongot,0.9691981854467279,-0.09053857803449712,121.547,16.3785,Meso-Cordilleran,#EA7B81,-0.022844029057523543,-0.11055315610562216,121.35530147123345,10.886280055938055
Isinai,-0.663764721040555,-0.7256939819787872,121.12,16.3299,Meso-Cordilleran,#EA7B81,-0.07514741001947074,0.08579805537845482,120.15820421518139,15.380282014646934
Isnag,-0.9434498023856951,-0.956478187254197,121.16,18.2139,Cagayan Valley,#79F287,-0.09816748078245603,0.1209899341796274,119.63133075045177,16.185738579278013
Kagayanen,-0.7545494516241725,-1.0173376912499896,119.872,10.4656,Manobo,#F16DEF,-0.10760073234072114,0.0999959546444847,119.41542655174875,15.705237417920644
Keley-i Kallahan,0.17285322866819677,0.5527584221425398,121.035,16.7099,Meso-Cordilleran,#EA7B81,0.061499384502862624,-0.02700029054902048,123.285717193549,12.798602056037135
Kinaray-a,0.7377371643801482,-0.48009337180913725,122.297,10.8131,Central Philippine,#565153,-0.06478180515247685,-0.07888702087125483,120.39544771484398,11.611040920372687
Maguindanao,2.1599821439852165,0.7633924262344544,124.509,6.9453,Danaw,#C573F1,0.06033706205394593,-0.25873858812459305,123.259114457958,7.494675712313309
Masbatenyo,1.7501605632292472,-0.43776747807849836,123.63579,12.21453,Central Philippine,#565153,-0.07286492921518056,-0.1961234460617933,120.21044465275071,8.927784115099385
Northern Subanen,-1.396886463457344,2.7059770830355463,123.588,8.5232,Subanen,#7CF2D9,0.3297817887841101,0.12636503472642047,129.42604931176885,16.30876156550239
Pangasinan,-0.34779567155778296,0.45668377666879045,120.365,15.9377,Meso-Cordilleran,#EA7B81,0.057091264911593186,0.034241060443438345,123.18482605094968,14.200267720505963
Tausug,2.128698576683372,0.23578289794317203,118.88,5.12236,Central Philippine,#565153,-7.606459882603488e-5,-0.24837795594038653,121.87640483545434,7.731805399354034
Tboli,-1.0225020228482191,-0.8742808636836218,124.538,6.20377,Tboli-Blaan,#5C7193,-0.08768112556951077,0.12904935301493706,119.87133793202455,16.370199086336683
Tuwali Ifugao,-0.11369717756727678,1.3734952580624598,121.113,16.6646,Meso-Cordilleran,#EA7B81,0.15976824463764325,-0.00447936670313198,125.53485253927926,13.314051261114049
Western Subanon,0.45450253003289975,-1.2522576032817367,122.341,7.79964,Subanen,#7CF2D9,-0.15015729504671152,-0.03635490509616424,118.44141027392126,12.58449766737519
Yogad,-0.8297461709997914,-0.8622655713078234,121.718,16.7015,Cagayan Valley,#79F287,-0.0887640001874404,0.10667798695017097,119.84655356417048,15.858172895338594
