"domain","model","predictor","n","n_zeros","n_evec","slope","slope_se","statistic","p.value","r.squared","cor_with_distance","rmse","rmse_loocv","zeros"
"phoneme","A_geography","geodist_H1_span (per 100 km)",65,0,0,-0.0172139862483594,0.0073628402756278,-2.33795459414493,0.0225785377140887,0.079835672519898,-0.282552070457638,0.198394733277987,0.204059024339643,NA
"phoneme","B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",65,0,2,NA,NA,13.2997898673787,1.56228713723073e-05,0.300222414309291,-0.238043015015397,0.173012489922342,0.182746684280598,NA
"grammar","A_geography","geodist_H1_span (per 100 km)",28,0,0,0.0218330631325521,0.00575101435791811,3.79638473732758,0.000793297900189174,0.356635294821733,0.597189496576868,0.0765410142725009,0.0836846180602372,NA
"grammar","B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",28,0,1,NA,NA,2.73489577208528,0.110203036847401,0.0951768119772377,-0.0745649561169472,0.09077107061608,0.0974482363632916,NA
"cognate","A_geography","geodist_H1_span (per 100 km)",51,0,0,-0.00752727422582657,0.00880943630130292,-0.854455832175468,0.397010828165825,0.0146811457433971,-0.121165777938315,0.183635452958478,0.188639676088893,"removed"
"cognate","B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",51,0,1,NA,NA,3.1874103934611,0.0803976008760953,0.0610762321684478,-0.0984579970509449,0.179259962161525,0.186856510632045,"removed"
"cognate","A_geography","geodist_H1_span (per 100 km)",94,43,0,-0.010234393645017,0.00513256369821602,-1.9940120077953,0.0491114622100912,0.0414278612565978,-0.20353835328163,0.16720537441592,0.169715346569725,"kept"
"cognate","B_ancestry_given_geography","phylo eigenvectors, migration distance scrubbed",94,43,2,NA,NA,9.75399310851106,0.000145201666184586,0.176530103251644,-0.29478178161196,0.15497501799913,0.160278529146661,"kept"
"genetic","A_geography","geodist_H1_span (per 100 km)",29,0,0,-0.0213505324403866,0.0143014464964057,-1.49289321508509,0.14705944679814,0.0762513506431445,-0.276136471048546,0.197419308837235,0.209717128387376,"removed"
"genetic","B_ancestry_given_geography","PC eigenvectors, migration distance scrubbed",29,0,0,NA,NA,NA,NA,0,NA,0.205405807754461,0.212741729459977,"removed"
"genetic","A_geography","geodist_H1_span (per 100 km)",84,55,0,-0.00672463992115477,0.00561304002409587,-1.1980388331968,0.234353250464592,0.0172025161612221,-0.131158362909965,0.166164771611955,0.169363247010551,"kept"
"genetic","B_ancestry_given_geography","PC eigenvectors, migration distance scrubbed",84,55,0,NA,NA,NA,NA,0,NA,0.167612705792842,0.169632135983117,"kept"
