"glottocode","language","longitude","latitude","sPC1","region"
"cent2084","Agta",121.857,17.9571,0.0745634000295574,"Luzon"
"agut1237","Agutyanen",119.655,10.5328,0.0141653867272934,"Luzon"
"alan1249","Alangan",121.022,13.0982,-0.0352956172043352,"Luzon"
"arta1239","Arta",121.656,16.4185,-0.0794246602706113,"Luzon"
"pamp1244","Atta, Pamplona",121.3,18.4738,-0.0299113224968396,"Luzon"
"aben1249","Ayta Abellen",120.2,15.4131,-0.00635676626633196,"Luzon"
"amba1267","Ayta Ambala",120.283,14.8156,0.0166673710341499,"Luzon"
"maga1263","Ayta Mag-anchi; Ayta Mag-antsi",120.459,15.1954,0.0420990778170788,"Luzon"
"magi1241","Ayta Mag-indi",120.182,14.9617,-0.046063876402145,"Luzon"
"babu1242","Babuyan",121.96,19.48,-0.059706128497842,"Luzon"
"bala1310","Balangaw",121.272,17.0994,-0.0810116394029769,"Luzon"
"bant1288","Bantoanon (Banton)",122.034,12.5194,-0.000349602279207967,"Luzon"
"bata1301","Batak, Palawan; Palawan Batak",119.025,10.1115,0.0104929625592833,"Luzon"
"buhi1245","Batangan; Buhid",121.21,12.6396,-0.0493044098789707,"Luzon"
"buhi1243","Bikol (Buhinon)",123.5,13.17,0.0743747413114782,"Luzon"
"cent2087","Bikol (Bisakol); Bikol (Naga City); Naga Bikol",123.403,13.7574,0.168698256876053,"Luzon"
"irig1242","Bikol (Rinconada)",123.331,13.3896,0.15965429603818,"Luzon"
"boli1256","Bolinao",119.853,16.3071,-0.0649517802929982,"Luzon"
"cent2292","Bontok, Eastern",120.92,17.08,0.0237060754594191,"Luzon"
"guin1256","Bontok, Guina-ang",120.96,17.04,0.0319278997523046,"Luzon"
"boto1242","Botolan Sambal; Sambal, Botolan",120.164,15.2315,-0.0832414407111532,"Luzon"
"cuyo1237","Cuyonon",119.3,10.3201,0.0167934093402378,"Luzon"
"casi1235","Dumagat, Casiguran",121.878,16.2176,-0.0369207888221778,"Luzon"
"dupa1235","Dupaningan Agta",122.188,17.3748,0.0311141202127321,"Luzon"
"gadd1244","Gaddang",121.177,16.5468,-0.0174482156292979,"Luzon"
"hanu1241","Hanunoo; Hanunóo",121.221,12.4159,-0.0707439887571771,"Luzon"
"ibal1244","Ibaloi; Inibaloi",120.695,16.4263,-0.0796224624886815,"Luzon"
"iban1267","Ibanag",121.891,17.4201,0.019831751254777,"Luzon"
"amga1235","Ifugao, Amganad",121.042,16.9016,0.0380823262583021,"Luzon"
"bata1298","Ifugao, Batad",121.23,16.8266,0.0139376376223719,"Luzon"
"kele1259","Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,0.0353082127328392,"Luzon"
"ilok1237","Ilokano",120.993,15.9361,0.0253979974716191,"Luzon"
"ilon1239","Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,-0.0731587999025019,"Luzon"
"alab1246","Inagta Alabat",122.014,14.1217,0.00242217538746627,"Luzon"
"iray1237","Iraya",120.65,13.381,-0.0209598966508801,"Luzon"
"ivat1242","Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,-0.0527182644054234,"Luzon"
"isin1239","Isinay (Dupax)",121.12,16.3299,-0.0683072517595155,"Luzon"
"isna1241","Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,-0.00723699129550848,"Luzon"
"itaw1240","Itawis; Malaweg",121.58,17.7329,0.0637844822377188,"Luzon"
"bino1237","Itneg, Binongan",120.876,17.5972,0.0154190245714102,"Luzon"
"kaga1256","Kagayanen",119.872,10.4656,0.015772524620936,"Luzon"
"lubu1243","Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,0.0691574845687393,"Luzon"
"limo1248","Kalinga, Limos",121.381,17.6081,0.0211327314504549,"Luzon"
"lowe1412","Kalinga (Minangali)",121.311,17.3441,-0.0613119507505761,"Luzon"
"sout2908","Kalinga, Southern",121.068,17.2936,0.0612843854086315,"Luzon"
"kaya1320","Kallahan, Kayapa Proper",120.9,16.321,-0.0779668737260184,"Luzon"
"kank1243","Kankanaey",120.689,16.8548,-0.0611839524033135,"Luzon"
"nort2877","Kankanay, Northern",120.786,17.1057,-0.0377308248402471,"Luzon"
"pamp1243","Kapampangan",120.502,14.9603,0.0580310011922116,"Luzon"
"cama1250","Manide; Manide (Labo)",122.835,14.1571,0.100992810314474,"Luzon"
"pang1290","Pangasinan",120.365,15.9377,0.0938286491996356,"Luzon"
"rata1245","Ratagnon",121.187,12.2785,-0.066014232696022,"Luzon"
"romb1245","Romblon",122.56,12.4047,0.0427153999524445,"Luzon"
"tina1248","Sambal",120.095,15.5797,0.0393725390411077,"Luzon"
"remo1247","Sinauna",121.453,14.6254,0.0158215832137901,"Luzon"
"tady1237","Tadyawan",121.305,13.0211,-0.0368326848871294,"Luzon"
"taga1270","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",121.747,14.06,0.00146169752172232,"Luzon"
"cent2090","Tagbanwa, Aborlan Dialect",119.338,10.6519,0.0162224594165966,"Luzon"
"cala1258","Tagbanwa, Kalamian, Coron Island Dialect",120.094,12.0716,-0.0444428912351688,"Luzon"
"yoga1237","Yogad",121.718,16.7015,-0.0660165566419652,"Luzon"
"akla1241","Aklanon - Bisayan",122.354,11.5543,0.0223193591842459,"Visayas"
"capi1239","Capisano",122.954,11.4122,-0.049232787631392,"Visayas"
"hili1240","Hiligaynon; Ilonggo",122.974,10.4018,0.0309368236871365,"Visayas"
"atii1237","Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,0.0389769738875751,"Visayas"
"kina1250","Kinaray-a",122.297,10.8131,0.0446887213294389,"Visayas"
"masb1238","Masbatenyo",123.63579,12.21453,-0.0329558651282979,"Visayas"
"wara1300","Samar-Leyte; Waray-Waray",125.012,11.4911,-0.0547332253287066,"Visayas"
"koro1310","Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,-0.0178376660078652,"Mindanao"
"sara1326","Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,0.0017254523360842,"Mindanao"
"binu1244","Binukid",124.892,8.15933,0.0504175807546723,"Mindanao"
"butu1244","Butuanon",125.418,8.87009,-0.0265094847895683,"Mindanao"
"cebu1242","Cebuano",124.367,8.38799,0.157717519359333,"Mindanao"
"gian1241","Guiangan (Baguio); Guiangan (Sirib)",125.359,6.99967,0.000571707759779369,"Mindanao"
"kala1388","Kalagan",125.328,6.8126,0.0141274536857842,"Mindanao"
"kama1363","Kamayo",126.314,8.10796,0.0638288243047632,"Mindanao"
"magu1243","Maguindanaon",124.509,6.9453,0.00937561463429652,"Mindanao"
"mama1275","Mamanwa",125.548,9.44744,-0.026139924267781,"Mindanao"
"atam1240","Manobo, Ata (down-river); Manobo, Ata (up-river)",125.499,7.7789,-0.11161236029098,"Mindanao"
"diba1242","Manobo, Dibabawon",126.018,7.85664,0.0368055839130717,"Mindanao"
"ilia1236","Manobo, Ilianen (Kibudtungan Dialect)",124.766,7.34448,-0.0301097708975373,"Mindanao"
"cota1241","Manobo, Kalamansig Cotabato (Paril Dialect)",124.234,6.39417,-0.0370756719094273,"Mindanao"
"sara1327","Manobo, Sarangani, Kayaponga Dialect",125.499,5.84903,0.0024270510370005,"Mindanao"
"mati1250","Manobo, Tigwa, Iglogsad Dialect",125.16,7.72124,-0.142475042251618,"Mindanao"
"west2555","Manobo, Western Bukidnon; Western Bukidnon Manobo",124.825,7.6682,-0.0403161970469095,"Mindanao"
"mans1262","Mansaka",126.181,6.79221,0.0237992415088467,"Mindanao"
"mara1404","Maranao",124.175,7.79414,0.152789857567237,"Mindanao"
"sout2916","S.W. Palawano",117.36,8.67624,0.0149345231397257,"Mindanao"
"sang1337","Sangil, Saragani Islands",125.378,5.40229,-0.00630514066460605,"Mindanao"
"west2557","Subanon, Siocon; Western Subanon",122.341,7.79964,-0.00822876230990518,"Mindanao"
"cent2089","Subanun, Sindangan",123.018,8.12701,-0.0101182252250838,"Mindanao"
"suri1273","Surigaonon",126,9,-0.051399932444123,"Mindanao"
"tbol1240","Tagabili; Tboli (Tagabili)",124.538,6.20377,-0.044454729178858,"Mindanao"
"taus1251","Tausug, Jolo Dialect",118.88,5.12236,0.0149345231397257,"Mindanao"
"tiru1241","Tiruray",124.127,6.77321,0.00912797414394348,"Mindanao"
