"language","longitude","latitude","sPC1"
"Agta",121.857,17.9571,-0.00245369023133286
"Agutyanen",119.655,10.5328,0.0163984497821474
"Aklanon - Bisayan",122.354,11.5543,0.0460708302843456
"Alangan",121.022,13.0982,-0.0374551291260037
"Arta",121.656,16.4185,0.0173970071550969
"Atta, Pamplona",121.3,18.4738,0.00641612566554254
"Ayta Abellen",120.2,15.4131,-0.0081338219887439
"Ayta Ambala",120.283,14.8156,-0.00694502494547225
"Ayta Mag-anchi; Ayta Mag-antsi",120.459,15.1954,-0.00615905958601988
"Ayta Mag-indi",120.182,14.9617,-0.00885737496233646
"Babuyan",121.96,19.48,-0.0102086670970159
"Balangaw",121.272,17.0994,-0.00497086572754216
"Bantoanon (Banton)",122.034,12.5194,0.0122442909442133
"Batak, Palawan; Palawan Batak",119.025,10.1115,-0.0738739921268349
"Batangan; Buhid",121.21,12.6396,-0.00368590824957632
"Bikol (Buhinon)",123.5,13.17,-0.0203769902110533
"Bikol (Bisakol); Bikol (Naga City); Naga Bikol",123.403,13.7574,0.0181735632160742
"Bikol (Rinconada)",123.331,13.3896,0.00513091683758705
"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,-0.0533865852623888
"Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,-0.102249393627929
"Binukid",124.892,8.15933,0.0808111607390562
"Bolinao",119.853,16.3071,-0.0058148632284058
"Bontok, Eastern",120.92,17.08,-0.018761630014826
"Bontok, Guina-ang",120.96,17.04,-0.017889893769547
"Botolan Sambal; Sambal, Botolan",120.164,15.2315,-0.00725597999053835
"Butuanon",125.418,8.87009,0.0532233595066844
"Capisano",122.954,11.4122,-0.00293671970039691
"Cebuano",124.367,8.38799,0.168822911914963
"Cuyonon",119.3,10.3201,-0.072843281299019
"Dumagat, Casiguran",121.878,16.2176,0.0153442867786085
"Dupaningan Agta",122.188,17.3748,0.0107618556595745
"Gaddang",121.177,16.5468,0.00661582834316264
"Guiangan (Baguio); Guiangan (Sirib)",125.359,6.99967,-0.00141756060112008
"Hanunoo; Hanunóo",121.221,12.4159,-0.00629683447253167
"Hiligaynon; Ilonggo",122.974,10.4018,-0.0257391384581753
"Ibaloi; Inibaloi",120.695,16.4263,0.000361029779836425
"Ibanag",121.891,17.4201,0.00839539995148367
"Ifugao, Amganad",121.042,16.9016,-0.00566900259885637
"Ifugao, Batad",121.23,16.8266,-0.000545384609236525
"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,0.000665604552868293
"Ilokano",120.993,15.9361,0.00465700140196956
"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,0.0165266922034045
"Inagta Alabat",122.014,14.1217,0.022220236978883
"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,0.0191827238235201
"Iraya",120.65,13.381,-0.00510710314711077
"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,-0.010312478230792
"Isinay (Dupax)",121.12,16.3299,0.00825148181388362
"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,0.00769299892359757
"Itawis; Malaweg",121.58,17.7329,-0.00691961241156486
"Itneg, Binongan",120.876,17.5972,-0.00537104233594141
"Kagayanen",119.872,10.4656,-0.00261123884807668
"Kalagan",125.328,6.8126,-0.00536414497325671
"Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,-0.00512094526837203
"Kalinga, Limos",121.381,17.6081,-0.00863107887412479
"Kalinga (Minangali)",121.311,17.3441,-0.00614802873886352
"Kalinga, Southern",121.068,17.2936,-0.0051151231198924
"Kallahan, Kayapa Proper",120.9,16.321,0.00481590791206689
"Kamayo",126.314,8.10796,0.155631952579559
"Kankanaey",120.689,16.8548,-0.00620539826904568
"Kankanay, Northern",120.786,17.1057,-0.0114934296836531
"Kapampangan",120.502,14.9603,-0.0070952453061297
"Kinaray-a",122.297,10.8131,-0.00817784189528942
"Maguindanaon",124.509,6.9453,0.0835843082101048
"Mamanwa",125.548,9.44744,0.0585836022622
"Manide; Manide (Labo)",122.835,14.1571,0.0199539183776394
"Manobo, Ata (down-river); Manobo, Ata (up-river)",125.499,7.7789,-0.0423032006616655
"Manobo, Dibabawon",126.018,7.85664,0.119104803281358
"Manobo, Ilianen (Kibudtungan Dialect)",124.766,7.34448,0.0811446342664696
"Manobo, Kalamansig Cotabato (Paril Dialect)",124.234,6.39417,-0.0958651865697066
"Manobo, Sarangani, Kayaponga Dialect",125.499,5.84903,-0.124444571477132
"Manobo, Tigwa, Iglogsad Dialect",125.16,7.72124,-0.0510230260480996
"Manobo, Western Bukidnon; Western Bukidnon Manobo",124.825,7.6682,0.0473209011730785
"Mansaka",126.181,6.79221,-0.0296931922817707
"Maranao",124.175,7.79414,0.158666873554765
"Masbatenyo",123.63579,12.21453,-0.0294911403346506
"Pangasinan",120.365,15.9377,-0.00281447689643022
"Ratagnon",121.187,12.2785,-0.00870281013712904
"Romblon",122.56,12.4047,0.0425367497752095
"S.W. Palawano",117.36,8.67624,0.00238671754380659
"Samar-Leyte; Waray-Waray",125.012,11.4911,-0.0376403003159654
"Sambal",120.095,15.5797,-0.0068623644252072
"Sangil, Saragani Islands",125.378,5.40229,-0.101129054966294
"Sinauna",121.453,14.6254,0.0118458383938758
"Subanon, Siocon; Western Subanon",122.341,7.79964,-0.0812553886269507
"Subanun, Sindangan",123.018,8.12701,-0.0943251154630104
"Surigaonon",126,9,0.117631619038631
"Tadyawan",121.305,13.0211,-0.0296903776390822
"Tagabili; Tboli (Tagabili)",124.538,6.20377,-0.0304186176728027
"Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",121.747,14.06,0.021264503481562
"Tagbanwa, Aborlan Dialect",119.338,10.6519,-0.04252791972024
"Tagbanwa, Kalamian, Coron Island Dialect",120.094,12.0716,-0.00353268028333162
"Tausug, Jolo Dialect",118.88,5.12236,-0.125888868439038
"Tiruray",124.127,6.77321,0.0571563787789479
"Yogad",121.718,16.7015,0.00821533005974462
