"population","longitude","latitude","sPC1"
"Itbayaten",121.85,20.7833,-0.0133074041508062
"Ivatan",121.97,20.4489,-0.0127951145473271
"Ibatan",121.9403,19.5225,0.0335273008141785
"Ilocano",120.3869,17.5747,-0.0565700154311734
"Gddang",121.47,17.27,0.0969135998726806
"Gaddang",121.15,16.4833,0.0855219582683695
"Ibanag",121.7269,17.6131,0.0327778594540527
"Malaweg",121.45,17.9167,-0.011006656604137
"Itawis",121.45,17.7167,-0.0239981765243731
"Yogad",121.6772,16.7042,0.0391399611547771
"Apayao",121.3333,17.75,-0.0325863891812048
"Kalinga",121.4442,17.4547,0.0858631763542739
"Itneg",120.6178,17.5983,-0.0637492735643109
"Kankanaey",120.9,17.0833,-0.123908131599602
"Bontoc",120.9764,17.0897,-0.117910565314973
"AyanganIfugao",121.2033,16.9789,0.063173647999141
"TuwaliIfugao",121.0889,16.7789,0.110410733248134
"Kalanguya",120.9333,16.6333,0.112973357826447
"Ibaloi",120.5875,16.4597,0.070998929335653
"Bugkalot",121.2167,15.95,-0.00212640761296815
"Pangasinan",120.2317,16.0214,0.0555325903389059
"Sambal",119.9781,15.3275,0.0638027219784661
"Bolinao",119.8833,16.3833,0.0503282259132275
"Kapampangan",120.6833,15.0333,0.0279179000293294
"Tagalog",120.9842,14.5995,0.0265375560754851
"Bicolano",123.1948,13.6218,0.00247571068800984
"MangyanBuhid",121.43,12.7458,-0.00821577808553381
"MangyanBangon",121.42,12.8619,-0.00448701099880225
"MangyanHanunuo",121.4,12.5225,-0.0196809142654574
"MangyanIraya",121.0158,13.4297,0.00449525050281286
"BinukidnonNegros",122.8147,9.9892,-0.0617640827214678
"Sulodnon",122.4,11.15,-0.049106247403381
"Kinaray-a",121.9394,10.7444,-0.0701580828022794
"Hilgaynon",122.5621,10.7202,-0.0436106510038152
"Cebuano",123.8854,10.3157,-0.0128385756620957
"Boholano",123.85,9.65,-0.0197575057403676
"Waray",125,11.2444,0.01069389008316
"Tausug",121.0022,6.0522,0.234947639626794
"Surigaonon",125.4939,9.7894,-0.00269615774379822
"Cuyonon",121.0167,10.85,-0.147041188536158
"Agutaya",120.9395,11.1512,-0.144217672340553
"Palawano",117.8333,8.7833,0.305690473057526
"Tagbanwa",118.55,9.4333,0.160491436551949
"Molbog",117.0639,7.9861,0.262867529961817
"SamaDilautTaluksangay",122.15,6.9667,0.0707551053177937
"SamaDilautMampang",122.1,6.92,0.083676503893892
"SamaDilautBonggao",119.7731,5.0292,0.174098830369108
"SamaDeyaBonggao",119.7731,5.0292,0.174098830369108
"SamaKabingaan",122.079,6.9214,0.0798733818552691
"SamaBangingi",121.78,6.07,0.211330765460012
"Yakan",122.1333,6.65,0.0726893378133724
"Chavacano",122.079,6.9214,0.0798733818552693
"Subanon",122.079,6.9214,0.0798733818552693
"Subanen",123.1206,7.8683,0.0200230819858271
"Iranun",124.2667,7.3667,0.0243951298747214
"Meranao",124.2833,8,-0.0071742231954262
"Maguindanaon",124.43,6.95,-0.0140893461367257
"Mandaya",126.5,7.65,-0.0484666591578189
"Mansaka",125.8078,7.4478,-0.0384569437640191
"Kamayo",126.3181,8.2117,-0.0883250142869291
"Tagakaolo",125.6167,6.4167,-0.033107552842848
"Kalagan",125.35,6.6333,-0.031619422465112
"Kagayanen",121.2072,9.5817,0.0104193519608816
"Cinamiguin",124.7486,9.1039,-0.0108033345181175
"BukidnonTalaandig",125.0333,8.0167,-0.119065079060818
"BukidnonBinukid",125.1278,8.1575,-0.0960370752050125
"BukidnonHigaonon",125,8.3,-0.0590180448275339
"BukidnonManobo",125.1,8.05,-0.132201304151455
"BukidnonUmayamnon",125.3,8.15,-0.0636949568581905
"BukidnonTigwahanon",125.3153,7.8858,-0.0581767123662148
"BukdinonMatigsalug",125.2,7.8,-0.0564498378078043
"DavaoMatigsalug",125.3333,7.3333,-0.0520549403921043
"ManoboTagabawa",125.3,6.83,-0.0334164490545698
"OvuManuvo",125.3333,7.3333,-0.0520549403921043
"ManoboAgusan",125.9833,8.1667,-0.0579844160704159
"Manguangan",126.05,7.8167,-0.0833214207783313
"Dibabaon",126.0667,7.7333,-0.0819170751895701
"ManoboRK",126.355,8.0367,-0.0910233980082489
"ManoboIlianen",124.8,7.2,-0.0196161310673947
"Lambanguian",124.22,6.87,-0.0221259053076192
"ManoboDulangan",124.06,6.62,0.0329780097875247
"ManoboSarangani",125.2,5.8167,-0.0416764709315421
"BagoboKlata",125.42,7.16,-0.0668895639731599
"BlaanKoronadal",124.8469,6.5031,-0.0226407010628006
"BlaanSarangani",125.2836,6.2861,-0.0236429842914756
"Obo",124.7069,6.22,-0.0360647671728128
"Tboli",124.8233,6.2183,-0.0380168479071464
"Teduray",124.2333,6.95,-0.0279851033225832
"Sangil",125.4,5.4,-0.0424746597881291
"AytaAmbala",120.4653,14.8783,0.0342056580388036
"AytaMag-indi",120.53,15.03,0.0329956570974629
"AytaMag-antsi",120.5333,15.1667,0.0276011495744784
"AytaSambal",120.03,15.29,0.0620300982242023
"AgtaDupaningan",122.13,18.55,0.0400117364951611
"AgtaLabin",121.65,18.2,0.0183024209579626
"AttaRizal",121.45,17.9167,-0.011006656604137
"AgtaMaddela",121.6667,16.3667,-0.0402379605933619
"AgtaCasiguran",121.65,16.2,-0.123673509988261
"Arta",121.65,16.25,-0.125412279284875
"AgtaDumagat",121.5561,14.7514,-0.0531394306771529
"AgtaRemontado",121.4333,14.6333,-0.0464764150536704
"AgtaLopez",122.26,13.8833,-0.0205470663961127
"AgtaManide",122.6939,14.2903,-0.0340775268595566
"AgtaIriga",123.4111,13.4239,-0.040184831424866
"AgtaIsarog",123.3767,13.6592,-0.00295009325766172
"AgtaIraya",123.5167,13.4333,-0.040476108891471
"AgtaMatnog",124.0833,12.5875,0.0266617754013559
"AgtaBulusan",124.1333,12.7508,0.0253164013636339
"AtiPanay",122.8,11.05,-0.0469986127342607
"AtiNegros",122.9908,10.2044,-0.0504788767817664
"Batak",119.05,10.3,0.0130776690021413
"Mamanwa",125.6,9.45,-0.00458645595266798
