"language","longitude","latitude","sPC1"
"Central Cagayan Agta",121.857,17.9571,-0.101749109696283
"Agutaynen",119.655,10.5328,-0.0255638595848693
"Arta",121.656,16.4185,0.0441826900228789
"Ibatan",121.909,18.9398,-0.0843594790350089
"Central Bontoc",120.92,17.08,-0.000124127795135737
"Botolan Sambal",120.164,15.2315,-0.0182993345817178
"Ibaloi",120.695,16.4263,0.00533715724895606
"Ibanag",121.891,17.4201,-0.058021664019222
"Tuwali Ifugao",121.113,16.6646,0.0377178167149986
"Ilongot",121.547,16.3785,0.044231394973634
"Isinai",121.12,16.3299,0.0150696591051288
"Isnag",121.16,18.2139,-0.074776523306542
"Kagayanen",119.872,10.4656,-0.0255879357197153
"Keley-i Kallahan",121.035,16.7099,0.0353124183386604
"Kinaray-a",122.297,10.8131,-0.0128350355611592
"Maguindanao",124.509,6.9453,0.10959784771042
"Ata Manobo",125.499,7.7789,0.061061469354636
"Masbatenyo",123.63579,12.21453,-0.0463242308338493
"Coastal-Naga Bikol",123.403,13.7574,-0.00112003294578519
"Pangasinan",120.365,15.9377,-0.00548665517937187
"Northern Subanen",123.588,8.5232,-0.0116129338054929
"Filipino",123.464,12.265,-0.03320284476029
"Tausug",118.88,5.12236,0.056970564572381
"Tboli",124.538,6.20377,0.106844399819553
"Western Subanon",122.341,7.79964,0.00490862822157728
"Yogad",121.718,16.7015,0.0111566932970454
