"language","longitude","latitude","sPC1","region"
"Agta",121.38808,15.11794,-0.0239636417778311,"Luzon"
"Atta",121.29837,18.47131,0.19489684965214,"Luzon"
"Balangaw",121.28216,17.13492,-0.0114286719773058,"Luzon"
"Batak",119.08504,10.16456,0.0130882117442921,"Luzon"
"Central Bontok",121.002,17.11673,0.013197271436571,"Luzon"
"Buhid",121.222,12.64484,0.0658651709371628,"Luzon"
"Kuyunon",119.51679,10.73557,0.0414539166828381,"Luzon"
"Casiguran Dumagat",121.99354,16.40414,-0.101939801316033,"Luzon"
"Gaddang",121.26426,16.58369,-0.118503884814598,"Luzon"
"Hanunoo",121.2367,12.41035,0.0581609817185399,"Luzon"
"Ibanag",121.78591,17.64993,0.0333235525220616,"Luzon"
"Central Ifugao",121.00691,16.90069,-0.0616051365628561,"Luzon"
"East Ifugao",121.26145,16.84668,-0.088923239141001,"Luzon"
"Ilokano",120.65378,15.70115,0.0055144324240648,"Luzon"
"Ilongot",121.49391,16.37807,-0.115358391491279,"Luzon"
"Inibaloi",120.68141,16.45231,-0.0646940523089265,"Luzon"
"Iraya",120.67441,13.35138,-0.136086105925288,"Luzon"
"Isnag",121.10666,18.19955,0.17226950279388,"Luzon"
"Itbayaten",121.93381,20.38116,0.098091084718371,"Luzon"
"Itneg",120.7103,17.2618,0.063792335086278,"Luzon"
"Ivatanen",121.93381,20.38116,0.098091084718371,"Luzon"
"North Kalinga",121.36921,17.61454,0.0397542501269242,"Luzon"
"Central Kalinga",121.03338,17.38069,0.107693391917255,"Luzon"
"South Kalinga",121.05985,17.29229,0.107080949344945,"Luzon"
"North Kallahan",121.02642,16.70893,-0.0958667943843042,"Luzon"
"North Kankanay",120.80177,17.12722,0.0297439110290856,"Luzon"
"Kapampangan",120.54845,15.24905,0.00424666475206678,"Luzon"
"Naga",123.39831,13.61531,-0.0219408023670931,"Luzon"
"Pangasinan",120.38515,15.96202,-0.0250874041780275,"Luzon"
"Tina",120.04184,15.57252,-0.121343593389933,"Luzon"
"Tagalog",121.38616,14.21913,-0.136233496458115,"Luzon"
"Tagbanwa",118.52075,9.63679,0.00765355176352672,"Luzon"
"Kalamianen",119.99355,11.91139,0.0221371555362126,"Luzon"
"Yogad",121.70617,16.69425,-0.103629970723721,"Luzon"
"Cotabato Bilaan",125.01141,6.21229,-0.0211889872760047,"Mindanao"
"Sarangani Bilaan",125.34999,6.06694,-0.055404241947863,"Mindanao"
"Binukid",124.94266,8.19325,-0.045834647224441,"Mindanao"
"Kalagan",125.92716,7.30352,0.0383960862037232,"Mindanao"
"Magindanao",124.52305,6.98166,0.057602703642588,"Mindanao"
"Mamanwa",125.53517,9.43926,-0.0439846310429561,"Mindanao"
"Dibabawon",125.99118,7.85784,0.0272090693820005,"Mindanao"
"Ilianen",124.73172,7.35339,0.0188216912943423,"Mindanao"
"Kalamansig",124.29478,6.40155,0.0655771328718913,"Mindanao"
"Sarangani Manobo",125.61158,6.03322,-0.0542139046371148,"Mindanao"
"Tigwa",125.15548,7.70798,-0.0123617097844792,"Mindanao"
"Western Bukidnon",124.83378,7.68416,-0.00879568204210346,"Mindanao"
"Mansakan",126.164,7.2864,0.0406888358130971,"Mindanao"
"Maranao",124.22438,7.81502,0.00849683436111576,"Mindanao"
"Sangil",125.38747,5.40063,-0.0340394889709631,"Mindanao"
"Siocon Subanon",122.37053,7.73572,-0.0738396032902569,"Mindanao"
"Sindangan",123.09603,8.13155,-0.0924389921461697,"Mindanao"
"Tausug",121.11477,5.95478,0.0670952949489932,"Mindanao"
"Tboli",124.56778,6.17584,0.0355428118541023,"Mindanao"
"Tiruray",124.12327,6.78126,0.0826714279904982,"Mindanao"
