"language","longitude","latitude","sPC1"
"Agta",121.38808,15.11794,-0.0780648483150062
"Atta",121.29837,18.47131,0.0210191053154138
"Balangaw",121.28216,17.13492,0.0044304674643931
"Batak",119.08504,10.16456,-0.0585579855461521
"Cotabato Bilaan",125.01141,6.21229,0.00633972431007573
"Sarangani Bilaan",125.34999,6.06694,-0.0224815539003645
"Binukid",124.94266,8.19325,-0.0122410263148791
"Central Bontok",121.002,17.11673,0.0112638134771767
"Buhid",121.222,12.64484,0.178396440995244
"Cebuano",123.64698,10.20178,0.0178448393216109
"Kuyunon",119.51679,10.73557,-0.06665165334485
"Casiguran Dumagat",121.99354,16.40414,-0.0303038576896714
"Gaddang",121.26426,16.58369,0.0203618710861849
"Hanunoo",121.2367,12.41035,0.110570238966155
"Hiligaynon",122.64284,9.74388,0.109499252708595
"Ibanag",121.78591,17.64993,-0.00655594403071785
"Central Ifugao",121.00691,16.90069,0.0225307621362034
"East Ifugao",121.26145,16.84668,0.014541661732699
"Ilokano",120.65378,15.70115,0.128926385495962
"Ilongot",121.49391,16.37807,0.00068095524565065
"Inibaloi",120.68141,16.45231,0.0331463587651195
"Iraya",120.67441,13.35138,-0.159882120352937
"Isnag",121.10666,18.19955,0.0200279963582173
"Itbayaten",121.93381,20.38116,0.0109522314424208
"Itneg",120.7103,17.2618,0.0113537259112946
"Ivatanen",121.93381,20.38116,0.0109522314424209
"Kalagan",125.92716,7.30352,0.0229926506404323
"North Kalinga",121.36921,17.61454,-0.00503582802004726
"Central Kalinga",121.03338,17.38069,-0.00213476370170664
"South Kalinga",121.05985,17.29229,0.000365024410506717
"North Kallahan",121.02642,16.70893,0.0280635677648419
"North Kankanay",120.80177,17.12722,0.0148919198396829
"Kapampangan",120.54845,15.24905,0.0656065311608245
"Magindanao",124.52305,6.98166,0.0245040888750958
"Mamanwa",125.53517,9.43926,-0.0129406778661849
"Ata",122.9,9.715,0.0755860974842654
"Dibabawon",125.99118,7.85784,0.0086620077321288
"Ilianen",124.73172,7.35339,0.0195920964355921
"Kalamansig",124.29478,6.40155,0.0562968910209554
"Sarangani Manobo",125.61158,6.03322,-0.0236539203967072
"Tigwa",125.15548,7.70798,0.00266059466054358
"Western Bukidnon",124.83378,7.68416,0.0075475149427229
"Mansakan",126.164,7.2864,0.0234051363681484
"Maranao",124.22438,7.81502,0.00476983018019439
"Naga",123.39831,13.61531,0.033545719568196
"Pangasinan",120.38515,15.96202,0.0852115925816362
"Waray",125.0147,11.78931,-0.216292051588325
"Tina",120.04184,15.57252,-0.0951569900055671
"Sangil",125.38747,5.40063,0.000598281586676574
"Siocon Subanon",122.37053,7.73572,-0.0693046197132559
"Sindangan",123.09603,8.13155,-0.0780727589611773
"Tagalog",121.38616,14.21913,-0.164226910186477
"Tagbanwa",118.52075,9.63679,-0.069450601014557
"Kalamianen",119.99355,11.91139,-0.194509682635746
"Tausug",121.11477,5.95478,0.0381509826398855
"Tboli",124.56778,6.17584,0.0445325526278356
"Tiruray",124.12327,6.78126,0.0352314290253192
"Yogad",121.70617,16.69425,-0.0107287949342062
