"subgroup","n_glottolog","colour"
"Central Philippine",55,"#565153"
"Meso-Cordilleran",39,"#EA7B81"
"Manobo",15,"#F16DEF"
"Cagayan Valley",12,"#79F287"
"Palawanic-Kalamian",10,"#87B1F1"
"Sambalic",8,"#F1C878"
"Greater Barito linkage",7,"#A74B82"
"Subanen",6,"#7CF2D9"
"Northeastern Luzon",5,"#95A459"
"South Mangyan",4,"#85DEF2"
"Austronesian (Unattested)",3,"#E0C0F0"
"Danaw",3,"#C573F1"
"North Mangyan",3,"#ECBEBD"
"Tboli-Blaan",3,"#5C7193"
"Bilic",2,"#BA7862"
"Central Luzon",2,"#477C65"
"Northern Luzon",2,"#7E6E40"
"Sangiric",2,"#A852A0"
"Batanic",1,"#60B57B"
"Greater Central Philippine",1,"#ED6BB1"
"Ibatan",1,"#EF7AD0"
"Latino-Faliscan",1,"#B68FA9"
"Malayic",1,"#8D64AD"
"Malayo-Polynesian",1,"#C1E868"
"Unclassified Northern Luzon",1,"#7B5046"
"Yami-Itbayat",1,"#9ECCC9"
