"gloss","wordform","feature","loading"
"woman.female","babayi","woman.female::babayi",-0.144724285111056
"child","anak","child::anak",-0.144113484305683
"he.she","ya","he.she::ya",-0.138125576427806
"to.count","bilaŋ","to.count::bilaŋ",-0.136225714730832
"to.bite","kayat","to.bite::kayat",-0.134585887733957
"sky","laŋit","sky::laŋit",-0.134165501258466
"to.choose","piliʔ","to.choose::piliʔ",-0.131847892532577
"to.buy","haliw","to.buy::haliw",-0.12641113361056
"liver","agtay","liver::agtay",-0.125322353810274
"to.steal","takaw","to.steal::takaw",-0.121611496848882
"wing","pakpak","wing::pakpak",-0.121549643806969
"thou","ka","thou::ka",-0.120742361764769
"spider","gigaŋ","spider::gigaŋ",-0.12019498497744
"mouth","bɨbɨy","mouth::bɨbɨy",-0.116196546515497
"to.dream","taynɨp","to.dream::taynɨp",-0.116085497710553
"root","yamot","root::yamot",-0.115794724963207
"to.plant","tanɨm","to.plant::tanɨm",-0.115061478195541
"tail","ikoy","tail::ikoy",-0.114320797843335
"fire","apoy","fire::apoy",-0.113044356675772
"new","bayo","new::bayo",-0.107731019644755
"to.cry","taŋih","to.cry::taŋih",-0.106146043719938
"night","yabi","night::yabi",-0.105220666227776
"mosquito","ilɨk","mosquito::ilɨk",-0.101805643758979
"to.dig","kali","to.dig::kali",-0.101511587988243
"eye","mata","eye::mata",-0.101422032894557
"to.eat","kan","to.eat::kan",-0.100062052614844
"blood","dayaʔ","blood::dayaʔ",-0.0955771765983642
"to.drink","inom","to.drink::inom",-0.092008037079944
"hand","gamɨt","hand::gamɨt",-0.0909395895216889
"house","bali","house::bali",-0.0902082991596303
"bone","botʔo","bone::botʔo",-0.0877567025014782
"water","lanom","water::lanom",-0.0874024224749674
"to.kill","pati","to.kill::pati",-0.0864770449828053
"skin","balat","skin::balat",-0.0847675146665745
"Five","limá","Five::limá",0.0827885507618085
"shoulder","bantaw","shoulder::bantaw",-0.0827648353982919
"neck","lɨʔɨy","neck::lɨʔɨy",-0.0815405538683574
