"language","longitude","latitude","sPC1"
"Agta",121.857,17.9571,0.750918601019557
"Agutyanen",119.655,10.5328,0.0572408363730423
"Aklanon - Bisayan",122.354,11.5543,0.565812161224565
"Alangan",121.022,13.0982,1.064827328298
"Arta",121.656,16.4185,0.0582118069132302
"Atta, Pamplona",121.3,18.4738,1.01037006106156
"Ayta Abellen",120.2,15.4131,-4.90629444621584
"Ayta Ambala",120.283,14.8156,-4.46862959386791
"Ayta Mag-anchi; Ayta Mag-antsi",120.459,15.1954,-5.34554494993412
"Ayta Mag-indi",120.182,14.9617,-3.85661768147677
"Babuyan",121.96,19.48,-0.451302824032553
"Balangaw",121.272,17.0994,1.06209040467122
"Bantoanon (Banton)",122.034,12.5194,0.325851468286243
"Batak, Palawan; Palawan Batak",119.025,10.1115,-0.0145954514833065
"Batangan; Buhid",121.21,12.6396,1.70256128860876
"Bikol (Buhinon)",123.5,13.17,0.103638697898297
"Bikol (Bisakol); Bikol (Naga City); Naga Bikol",123.403,13.7574,0.881374623599149
"Bikol (Rinconada)",123.331,13.3896,1.16820767912081
"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,-0.40727490820544
"Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,-0.640870120000677
"Binukid",124.892,8.15933,-0.208794458530515
"Bolinao",119.853,16.3071,-4.30421802287177
"Bontok, Eastern",120.92,17.08,1.03891274457827
"Bontok, Guina-ang",120.96,17.04,2.01269769207948
"Botolan Sambal; Sambal, Botolan",120.164,15.2315,-5.92628382201325
"Butuanon",125.418,8.87009,0.502803597063928
"Capisano",122.954,11.4122,0.710006971204017
"Cebuano",124.367,8.38799,0.633810775405122
"Cuyonon",119.3,10.3201,0.795583567362663
"Dumagat, Casiguran",121.878,16.2176,0.732229413071679
"Dupaningan Agta",122.188,17.3748,0.597046058060294
"Gaddang",121.177,16.5468,0.667201119207515
"Guiangan (Baguio); Guiangan (Sirib)",125.359,6.99967,-0.111210262240827
"Hanunoo; Hanunóo",121.221,12.4159,2.95125736672067
"Hiligaynon; Ilonggo",122.974,10.4018,0.952856958102357
"Ibaloi; Inibaloi",120.695,16.4263,0.213359761314487
"Ibanag",121.891,17.4201,1.08043955467238
"Ifugao, Amganad",121.042,16.9016,1.11985346510958
"Ifugao, Batad",121.23,16.8266,0.902685103723696
"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,0.770157609606079
"Ilokano",120.993,15.9361,0.195068224479444
"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,0.516130956666619
"Inagta Alabat",122.014,14.1217,0.178241998275246
"Inati (Hamtic); Inati (Jordan, Guimaras); Inati (Nagpana); Sogodnin (Boracay); Sogodnin (Iloilo)",122.512,11.1539,0.630767098912469
"Iraya",120.65,13.381,0.508067586467201
"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,-0.750921167770316
"Isinay (Dupax)",121.12,16.3299,0.879615403655717
"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,1.04939827357437
"Itawis; Malaweg",121.58,17.7329,1.82049349628206
"Itneg, Binongan",120.876,17.5972,1.01485662245021
"Kagayanen",119.872,10.4656,0.473105618191816
"Kalagan",125.328,6.8126,-0.443692359354123
"Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,1.22603289088693
"Kalinga, Limos",121.381,17.6081,1.53929696931749
"Kalinga (Minangali)",121.311,17.3441,1.27846835319977
"Kalinga, Southern",121.068,17.2936,1.17817635784715
"Kallahan, Kayapa Proper",120.9,16.321,0.711142846718011
"Kamayo",126.314,8.10796,0.434745828081143
"Kankanaey",120.689,16.8548,0.284117623918852
"Kankanay, Northern",120.786,17.1057,1.07292696925342
"Kapampangan",120.502,14.9603,-1.74594255766125
"Kinaray-a",122.297,10.8131,0.403705952027653
"Maguindanaon",124.509,6.9453,-0.0746267968853717
"Mamanwa",125.548,9.44744,-0.256554504105333
"Manide; Manide (Labo)",122.835,14.1571,-0.53134298657491
"Manobo, Ata (down-river); Manobo, Ata (up-river)",125.499,7.7789,-0.851989154037938
"Manobo, Dibabawon",126.018,7.85664,-0.20271833753349
"Manobo, Ilianen (Kibudtungan Dialect)",124.766,7.34448,-0.944968892244315
"Manobo, Kalamansig Cotabato (Paril Dialect)",124.234,6.39417,-0.737707924343174
"Manobo, Sarangani, Kayaponga Dialect",125.499,5.84903,-0.878776508288134
"Manobo, Tigwa, Iglogsad Dialect",125.16,7.72124,-1.12145154646555
"Manobo, Western Bukidnon; Western Bukidnon Manobo",124.825,7.6682,-1.65536275170783
"Mansaka",126.181,6.79221,-0.870124577450596
"Maranao",124.175,7.79414,-1.20995918100985
"Masbatenyo",123.63579,12.21453,0.3601243542321
"Pangasinan",120.365,15.9377,-0.134239300170061
"Ratagnon",121.187,12.2785,2.67259122696407
"Romblon",122.56,12.4047,1.34610677893054
"S.W. Palawano",117.36,8.67624,-0.744240901697509
"Samar-Leyte; Waray-Waray",125.012,11.4911,1.57481283191218
"Sambal",120.095,15.5797,-4.22024997331358
"Sangil, Saragani Islands",125.378,5.40229,0.327147910718562
"Sinauna",121.453,14.6254,0.255269519946401
"Subanon, Siocon; Western Subanon",122.341,7.79964,-0.223915967317436
"Subanun, Sindangan",123.018,8.12701,-0.21463054356681
"Surigaonon",126,9,-0.0319631683856553
"Tadyawan",121.305,13.0211,1.23515162209161
"Tagabili; Tboli (Tagabili)",124.538,6.20377,-0.19571868463147
"Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",121.747,14.06,0.815538568378133
"Tagbanwa, Aborlan Dialect",119.338,10.6519,-0.246268257806063
"Tagbanwa, Kalamian, Coron Island Dialect",120.094,12.0716,0.00690252237582133
"Tausug, Jolo Dialect",118.88,5.12236,-0.300111833758602
"Tiruray",124.127,6.77321,-0.305688370863248
"Yogad",121.718,16.7015,1.11479166770391
