"population","longitude","latitude","sPC1"
"AgtaBulusan",124.1333,12.7508,1.50613217682974
"AgtaCasiguran",121.65,16.2,23.241216724032
"AgtaDumagat",121.5561,14.7514,4.82157296993602
"AgtaDupaningan",122.13,18.55,8.71692963644039
"AgtaIraya",123.5167,13.4333,-0.316923630375054
"AgtaIriga",123.4111,13.4239,-1.07594644773769
"AgtaIsarog",123.3767,13.6592,0.751182559465531
"AgtaLabin",121.65,18.2,6.47808773006771
"AgtaLopez",122.26,13.8833,-1.35178676502746
"AgtaMaddela",121.6667,16.3667,26.4455771601833
"AgtaManide",122.6939,14.2903,-2.71771153144507
"AgtaMatnog",124.0833,12.5875,2.04250911038004
"AgtaRemontado",121.4333,14.6333,2.8636805297081
"Agutaya",120.9395,11.1512,-1.82279327663386
"Apayao",121.3333,17.75,9.63838899251664
"Arta",121.65,16.25,33.787274813381
"AtiNegros",122.9908,10.2044,0.795898216789338
"AtiPanay",122.8,11.05,-0.0411899864089512
"AttaRizal",121.45,17.9167,5.90378805694513
"AyanganIfugao",121.2033,16.9789,19.7198367469019
"AytaAmbala",120.4653,14.8783,-1.21311616980479
"AytaMag-antsi",120.5333,15.1667,-0.0654380643369329
"AytaMag-indi",120.53,15.03,-0.52903249445542
"AytaSambal",120.03,15.29,-0.361966995892947
"BagoboKlata",125.42,7.16,6.00895933957708
"Batak",119.05,10.3,2.27217734638473
"Bicolano",123.1948,13.6218,-3.89664338645593
"BinukidnonNegros",122.8147,9.9892,1.42036482490498
"BlaanKoronadal",124.8469,6.5031,6.3705981313243
"BlaanSarangani",125.2836,6.2861,4.67474883891522
"Boholano",123.85,9.65,1.60757566764168
"Bolinao",119.8833,16.3833,5.36735934786818
"Bontoc",120.9764,17.0897,21.0129433370683
"Bugkalot",121.2167,15.95,12.2542742108556
"BukdinonMatigsalug",125.2,7.8,5.03414817681749
"BukidnonBinukid",125.1278,8.1575,4.71267223739476
"BukidnonHigaonon",125,8.3,6.0825874452966
"BukidnonManobo",125.1,8.05,7.28941885445389
"BukidnonTalaandig",125.0333,8.0167,6.32331366561111
"BukidnonTigwahanon",125.3153,7.8858,6.44360230968617
"BukidnonUmayamnon",125.3,8.15,-5.41693050996878
"Cebuano",123.8854,10.3157,1.84579239736769
"Chavacano",122.079,6.9214,0.518178538894132
"Cinamiguin",124.7486,9.1039,2.6580865881741
"Cuyonon",121.0167,10.85,-0.18563326147903
"DavaoMatigsalug",125.3333,7.3333,7.19098669030362
"Dibabaon",126.0667,7.7333,5.63158959741484
"Gaddang",121.15,16.4833,4.4710175639649
"Gddang",121.47,17.27,9.73877302094418
"Hilgaynon",122.5621,10.7202,1.851451415035
"Ibaloi",120.5875,16.4597,17.841037497751
"Ibanag",121.7269,17.6131,4.21185323995306
"Ibatan",121.9403,19.5225,7.88761889697776
"Ilocano",120.3869,17.5747,5.32827746028417
"Iranun",124.2667,7.3667,4.43808025177996
"Itawis",121.45,17.7167,4.56225516582244
"Itbayaten",121.85,20.7833,7.15428910192079
"Itneg",120.6178,17.5983,13.8082568888393
"Ivatan",121.97,20.4489,5.41032041178681
"Kagayanen",121.2072,9.5817,1.22760574035791
"Kalagan",125.35,6.6333,5.32598118811982
"Kalanguya",120.9333,16.6333,20.3568882870916
"Kalinga",121.4442,17.4547,13.1922173028776
"Kamayo",126.3181,8.2117,5.14341921411659
"Kankanaey",120.9,17.0833,20.368153660788
"Kapampangan",120.6833,15.0333,1.22669526571905
"Kinaray-a",121.9394,10.7444,1.62893080176998
"Lambanguian",124.22,6.87,5.1511638581722
"Maguindanaon",124.43,6.95,3.8953837980164
"Malaweg",121.45,17.9167,6.52255731905294
"Mamanwa",125.6,9.45,2.35566881091554
"Mandaya",126.5,7.65,4.90828895667594
"Manguangan",126.05,7.8167,5.98810773851585
"MangyanBangon",121.42,12.8619,-180.501353564957
"MangyanBuhid",121.43,12.7458,-179.783898549552
"MangyanHanunuo",121.4,12.5225,-87.0335756191706
"MangyanIraya",121.0158,13.4297,-60.4432433898266
"ManoboAgusan",125.9833,8.1667,5.60518157697465
"ManoboDulangan",124.06,6.62,4.46882565660025
"ManoboIlianen",124.8,7.2,5.89351282841789
"ManoboRK",126.355,8.0367,4.46507193616539
"ManoboSarangani",125.2,5.8167,5.36413108560513
"ManoboTagabawa",125.3,6.83,6.57088487862422
"Mansaka",125.8078,7.4478,5.15445883326256
"Meranao",124.2833,8,4.53860910835334
"Molbog",117.0639,7.9861,-0.748295068899361
"Obo",124.7069,6.22,6.99801408855466
"OvuManuvo",125.3333,7.3333,7.30661697417832
"Palawano",117.8333,8.7833,-0.0765151491764501
"Pangasinan",120.2317,16.0214,2.37930289426204
"SamaBangingi",121.78,6.07,-0.418242217721004
"SamaDeyaBonggao",119.7731,5.0292,-1.38330053413427
"SamaDilautBonggao",119.7731,5.0292,-11.556291547346
"SamaDilautMampang",122.1,6.92,-11.2293716774014
"SamaDilautTaluksangay",122.15,6.9667,-10.4903185391087
"SamaKabingaan",122.079,6.9214,-4.25929694937518
"Sambal",119.9781,15.3275,2.23227357685492
"Sangil",125.4,5.4,4.10752346388451
"Subanen",123.1206,7.8683,2.97480372792796
"Subanon",122.079,6.9214,2.26501343014101
"Sulodnon",122.4,11.15,0.457277547322932
"Surigaonon",125.4939,9.7894,2.75916511300563
"Tagakaolo",125.6167,6.4167,6.91519786121668
"Tagalog",120.9842,14.5995,1.78682802869773
"Tagbanwa",118.55,9.4333,0.0437865701676209
"Tausug",121.0022,6.0522,0.924992017562102
"Tboli",124.8233,6.2183,5.88810741104861
"Teduray",124.2333,6.95,3.27989364409363
"TuwaliIfugao",121.0889,16.7789,19.590024736671
"Waray",125,11.2444,2.30164438437878
"Yakan",122.1333,6.65,1.62133183170938
"Yogad",121.6772,16.7042,5.60059629422906
