"language","longitude","latitude","sPC1"
"Central Cagayan Agta",121.857,17.9571,-0.158762362195548
"Agutaynen",119.655,10.5328,0.300856945837909
"Arta",121.656,16.4185,-0.43188565501162
"Ibatan",121.909,18.9398,-0.0815389811021681
"Central Bontoc",120.92,17.08,-0.503814011139389
"Botolan Sambal",120.164,15.2315,0.62969254919616
"Ibaloi",120.695,16.4263,-0.0333851085982303
"Ibanag",121.891,17.4201,-0.363976732511641
"Tuwali Ifugao",121.113,16.6646,-2.04202652707835
"Ilongot",121.547,16.3785,-0.727384045657833
"Isinai",121.12,16.3299,0.619188216132027
"Isnag",121.16,18.2139,0.785724931193944
"Kagayanen",119.872,10.4656,0.517712701322456
"Keley-i Kallahan",121.035,16.7099,-1.47782037748202
"Kinaray-a",122.297,10.8131,0.177751642113499
"Maguindanao",124.509,6.9453,0.254499487149286
"Ata Manobo",125.499,7.7789,0.039713413290842
"Masbatenyo",123.63579,12.21453,0.522607026538423
"Coastal-Naga Bikol",123.403,13.7574,0.596621498495459
"Pangasinan",120.365,15.9377,0.428810996855731
"Northern Subanen",123.588,8.5232,0.063562300071748
"Filipino",123.464,12.265,0.245428501435794
"Tausug",118.88,5.12236,-0.148484363341392
"Tboli",124.538,6.20377,0.52787147093238
"Western Subanon",122.341,7.79964,0.439332131205392
"Yogad",121.718,16.7015,-0.180295647652864
