"language","longitude","latitude","sPC1"
"Agta",121.38808,15.11794,0.0730319318603317
"Atta",121.29837,18.47131,0.566908260992211
"Balangaw",121.28216,17.13492,-0.64374517153218
"Batak",119.08504,10.16456,-0.135461047223523
"Cotabato Bilaan",125.01141,6.21229,-1.59345345587476
"Sarangani Bilaan",125.34999,6.06694,-1.73687908815667
"Binukid",124.94266,8.19325,0.346551406633417
"Central Bontok",121.002,17.11673,0.146587690518898
"Buhid",121.222,12.64484,-0.51843369542696
"Cebuano",123.64698,10.20178,0.579041859467527
"Kuyunon",119.51679,10.73557,0.58313896467586
"Casiguran Dumagat",121.99354,16.40414,-0.619019677916129
"Gaddang",121.26426,16.58369,-0.492396271396349
"Hanunoo",121.2367,12.41035,0.335572147214189
"Hiligaynon",122.64284,9.74388,0.550600471025604
"Ibanag",121.78591,17.64993,0.0134212125397336
"Central Ifugao",121.00691,16.90069,-0.209724921330473
"East Ifugao",121.26145,16.84668,-0.48196698265968
"Ilokano",120.65378,15.70115,0.197337761963845
"Ilongot",121.49391,16.37807,0.246885214647257
"Inibaloi",120.68141,16.45231,0.47674566184964
"Iraya",120.67441,13.35138,0.105282268483607
"Isnag",121.10666,18.19955,0.759357937045233
"Itbayaten",121.93381,20.38116,0.408600244288156
"Itneg",120.7103,17.2618,0.223579860996024
"Ivatanen",121.93381,20.38116,-0.103102811915043
"Kalagan",125.92716,7.30352,-1.0771883260565
"North Kalinga",121.36921,17.61454,-0.0080435300646522
"Central Kalinga",121.03338,17.38069,0.32595034694422
"South Kalinga",121.05985,17.29229,0.32595034694422
"North Kallahan",121.02642,16.70893,0.278720797283977
"North Kankanay",120.80177,17.12722,0.291879650903414
"Kapampangan",120.54845,15.24905,0.599555583631314
"Magindanao",124.52305,6.98166,0.398344920330181
"Mamanwa",125.53517,9.43926,0.305340170252557
"Ata",122.9,9.715,0.322130152884818
"Dibabawon",125.99118,7.85784,0.378868856729726
"Ilianen",124.73172,7.35339,0.298200945742278
"Kalamansig",124.29478,6.40155,-1.15995474366786
"Sarangani Manobo",125.61158,6.03322,-0.854754163852661
"Tigwa",125.15548,7.70798,0.398523292831308
"Western Bukidnon",124.83378,7.68416,0.319771775910754
"Mansakan",126.164,7.2864,0.312643144858928
"Maranao",124.22438,7.81502,0.281727155848192
"Naga",123.39831,13.61531,0.659503268717343
"Pangasinan",120.38515,15.96202,0.629472292414594
"Waray",125.0147,11.78931,0.282245898116302
"Tina",120.04184,15.57252,-0.118101910949638
"Sangil",125.38747,5.40063,-0.711731081343813
"Siocon Subanon",122.37053,7.73572,-0.0535216801995593
"Sindangan",123.09603,8.13155,-0.0653103111332711
"Tagalog",121.38616,14.21913,0.773452498419636
"Tagbanwa",118.52075,9.63679,-0.0302259216100582
"Kalamianen",119.99355,11.91139,0.177204691631876
"Tausug",121.11477,5.95478,0.338133293849791
"Tboli",124.56778,6.17584,-1.45632096408389
"Tiruray",124.12327,6.78126,-0.977682264850393
"Yogad",121.70617,16.69425,-0.263243957202904
