treemix_name,tree_tip,language,iso6393,Language_type
SquliqAtayal,SquliqAtayal,Atayal,tay,Austronesian
CiuliAtayal,CiuliAtayal,Atayal,tay,Austronesian
Sediq,Sediq,Sedeq,trv,Austronesian
Saisiat,Saisiat,Saisiyat,xsy,Austronesian
Thao,Thao,Thao,ssf,Austronesian
Bunun,Bunun,Bunun,bnn,Austronesian
CentralAmis,CentralAmis,Ami,ami,Austronesian
Paiwan,Paiwan,Paiwan,pwn,Austronesian
Bali,Bali,Bali,ban,Austronesian
Javanese,Javanese,Javanese,jav,Austronesian
OldJavanese,OldJavanese,Javanese,jav,Austronesian
Lampung,Lampung,Lampung,ljp,Austronesian
Madurese,Madurese,Madurese,mad,Austronesian
Minangkabau,Minangkabau,Minangkabau,min,Austronesian
MalayBahasaIndonesia,MalayBahasaIndonesia,Indonesian,ind,Austronesian
Indonesian,Indonesian,Indonesian,ind,Austronesian
TobaBatak,TobaBatak,Toba Batak,bbc,Austronesian
Chru,Chru,Chru,cje,Austronesian
PhanRangChamEasternCham,PhanRangChamEasternCham,East Cham,cjm,Austronesian
Luang,Luang,Letri Lgona,lex,Austronesian
Kemak,Kemak,Kemak,kem,Austronesian
Seimat,Seimat,Seimat,ssg,Austronesian
Mangareva,Mangareva,Mangareva,mrv,Austronesian
RapanuiEasterIsland,RapanuiEasterIsland,Rapanui,rap,Austronesian
Hawaiian,Hawaiian,Hawaiian,haw,Austronesian
Maori,Maori,Maori,mri,Austronesian
TahitianModern,TahitianModern,Tahitian,tah,Austronesian
Rarotongan,Rarotongan,Rarotongan,rar,Austronesian
Tuamotu,Tuamotu,Paumotu,pmt,Austronesian
Tuvalu,Tuvalu,Tuvalu,tvl,Austronesian
Nukuoro,Nukuoro,Nukuoro,nkr,Austronesian
Kapingamarangi,Kapingamarangi,Kapingamarangi,kpg,Austronesian
Luangiua,Luangiua,Luangiua,ojv,Austronesian
Tikopia,Tikopia,Tikopia,tkp,Austronesian
UveaEast,UveaEast,East Uvea,wls,Austronesian
Futuna,Futuna,West Futuna,fut,Austronesian
FutunaWest,FutunaWest,West Futuna,fut,Austronesian
VaeakauTaumako,VaeakauTaumako,Pileni,piv,Austronesian
IfiraMeleMeleFila,IfiraMeleMeleFila,Mele,mxe,Austronesian
Emae,Emae,Emae,mmw,Austronesian
Samoan,Samoan,Samoan,smo,Austronesian
Tongan,Tongan,Tongan,ton,Austronesian
Rotuman,Rotuman,Rotuman,rtm,Austronesian
Kiribati,Kiribati,Gilbertese,gil,Austronesian
Kusaie,Kusaie,Kusaiean,kos,Austronesian
Marshallese,Marshallese,Marshallese,mah,Austronesian
Ponapean,Ponapean,Ponapean,pon,Austronesian
Mokilese,Mokilese,Mokilese,mkj,Austronesian
Chuukese,Chuukese,Trukese,chk,Austronesian
Carolinian,Carolinian,Carolinian,cal,Austronesian
SaipanCarolinian,SaipanCarolinian,Carolinian,cal,Austronesian
ChuukeseAKATrukese,ChuukeseAKATrukese,Trukese,chk,Austronesian
Nembao,Nembao,Nembao,utp,Austronesian
Vano,Vano,Vano,vnk,Austronesian
Aiwoo,Aiwoo,Aiwo,nfl,Austronesian
Nanggu,Nanggu,Nanggu,ngr,Austronesian
Nengone,Nengone,Nengone,nen,Austronesian
Dehu,Dehu,Dehu,dhv,Austronesian
Iaai,Iaai,Iaai,iai,Austronesian
Nelemwa,Nelemwa,Kumak,nee,Austronesian
Canala,Canala,Xaracuu,ane,Austronesian
Mwotlap,Mwotlap,Motlav,mlv,Austronesian
Mota,Mota,Mota,mtt,Austronesian
Raga,Raga,Raga,lml,Austronesian
SakaoPortOlry,SakaoPortOlry,Sakao,sku,Austronesian
Nahavaq,Nahavaq,Southwest Bay,sns,Austronesian
AmbrymSouthEast,AmbrymSouthEast,Southeast Ambrym,tvk,Austronesian
Namakir,Namakir,Namakura,nmk,Austronesian
Nguna,Nguna,North Efate,llp,Austronesian
SouthEfate,SouthEfate,South Efate,erk,Austronesian
SyeErromangan,SyeErromangan,Sie,erg,Austronesian
Lenakel,Lenakel,Lenakel,tnl,Austronesian
Kwamera,Kwamera,Kwamera,tnk,Austronesian
AnejomAneityum,AnejomAneityum,Aneityum,aty,Austronesian
Bugotu,Bugotu,Bughotu,bgt,Austronesian
GhariGuadalcanal,GhariGuadalcanal,Ghari,gri,Austronesian
Kwaio,Kwaio,Kwaio,kwd,Austronesian
Lau,Lau,Lau,llu,Austronesian
KwaraaeSolomonIslands,KwaraaeSolomonIslands,Kwaraae,kwf,Austronesian
Toambaita,Toambaita,Toabaita,mlu,Austronesian
Saa,Saa,Saa,apb,Austronesian
Tigak,Tigak,Tigak,tgc,Austronesian
Kuanua,Kuanua,Tolai,ksd,Austronesian
Babatana,Babatana,Babatana,baa,Austronesian
Sisingga,Sisingga,Babatana,baa,Austronesian
Roviana,Roviana,Roviana,rug,Austronesian
Simbo,Simbo,Simbo,sbb,Austronesian
KiaZabana,KiaZabana,Kia,kji,Austronesian
NehanHape,NehanHape,Nehan,nsn,Austronesian
Nissan,Nissan,Nehan,nsn,Austronesian
Teop,Teop,Teop,tio,Austronesian
NakanaiBileki_D,NakanaiBileki_D,Bileki,nak,Austronesian
Maututu,Maututu,Bileki,nak,Austronesian
Lakalai,Lakalai,Bileki,nak,Austronesian
Kove,Kove,Kove,kvc,Austronesian
Gedaged,Gedaged,Gedaged,gdd,Austronesian
Megiar,Megiar,Megiar,tbc,Austronesian
Matukar,Matukar,Matukar,mjk,Austronesian
Manam,Manam,Manam,mva,Austronesian
Bwaidoga,Bwaidoga,Bwaidoka,bwd,Austronesian
Dobuan,Dobuan,Dobu,dob,Austronesian
Suau,Suau,Suau,swp,Austronesian
Motu,Motu,Motu,meu,Austronesian
Mor,Mor,Mor\sub 2\nosupersub,mhz,Austronesian
Savu,Savu,Savu,hvn,Austronesian
Manggarai,Manggarai,Manggarai,mqy,Austronesian
Ngadha,Ngadha,Ngada,nxg,Austronesian
Sika,Sika,Sikka,ski,Austronesian
Chamorro,Chamorro,Chamorro,cha,Austronesian
Palauan,Palauan,Palauan,pau,Austronesian
Wolio,Wolio,Wolio,wlo,Austronesian
Tontemboan,Tontemboan,Tontemboan,tnt,Austronesian
SangilSaraganiIslands,SangilSaraganiIslands,Sangil,snl,Austronesian
BugineseSoppeng_D,BugineseSoppeng_D,Bugis,bug,Austronesian
TaeSToraja,TaeSToraja,Sadan,sda,Austronesian
Maanyan,Maanyan,Maanyan,mhy,Austronesian
Katingan,Katingan,Kapuas,nij,Austronesian
DayakNgaju,DayakNgaju,Kapuas,nij,Austronesian
KayanUmaJuman,KayanUmaJuman,Rejang Kayan,ree,Austronesian
MelanauMukah,MelanauMukah,Melanau,mel,Austronesian
Bintulu,Bintulu,Bintulu,bny,Austronesian
TimugonMurut,TimugonMurut,Timugon,tih,Austronesian
KoronadalBlaan,KoronadalBlaan,Cotabato Bilaan,bpr,Philippine Language
SaranganiBlaan,SaranganiBlaan,Sarangani Bilaan,bps,Philippine Language
TboliTagabili,TboliTagabili,Tboli,tbl,Philippine Language
ManoboDibabawon,ManoboDibabawon,Dibabawon,mbd,Philippine Language
ManoboTigwaIglogsad_D,ManoboTigwaIglogsad_D,Tigwa,mbt,Philippine Language
WBukidnonManobo,WBukidnonManobo,Western Bukidnon,mbb,Philippine Language
ManoboIlianenKibudtungan_D,ManoboIlianenKibudtungan_D,Ilianen,mbi,Philippine Language
Binukid,Binukid,Binukid,bkd,Philippine Language
ManoboKalamansigCotabatoParil_D,ManoboKalamansigCotabatoParil_D,Kalamansig,mta,Philippine Language
ManoboSaranganiKayaponga_D,ManoboSaranganiKayaponga_D,Sarangani Manobo,mbs,Philippine Language
SubanunSindangan,SubanunSindangan,Sindangan,syb,Philippine Language
SubanonSiocon,SubanonSiocon,Siocon Subanon,suc,Philippine Language
Maranao,Maranao,Maranao,mrw,Philippine Language
BikolNagaCity,BikolNagaCity,Naga,bcl,Philippine Language
Cebuano,Cebuano,Cebuano,ceb,Philippine Language
TausugJolo_D,TausugJolo_D,Tausug,tsg,Philippine Language
