phoneme,n_present_prevalence_set,n_absent_prevalence_set,keep,feature_order
phoneme_012,41,243,TRUE,1
phoneme_031,3,281,TRUE,2
phoneme_038,49,235,TRUE,3
phoneme_069,3,281,TRUE,4
phoneme_072,8,276,TRUE,5
phoneme_089,19,265,TRUE,6
phoneme_121,217,67,TRUE,7
phoneme_123,259,25,TRUE,8
phoneme_125,8,276,TRUE,9
phoneme_128,67,217,TRUE,10
phoneme_130,4,280,TRUE,11
phoneme_134,14,270,TRUE,12
phoneme_136,9,275,TRUE,13
phoneme_139,74,210,TRUE,14
phoneme_141,49,235,TRUE,15
phoneme_145,269,15,TRUE,16
phoneme_284,18,266,TRUE,17
phoneme_294,61,223,TRUE,18
phoneme_312,13,271,TRUE,19
phoneme_327,38,246,TRUE,20
phoneme_328,66,218,TRUE,21
phoneme_329,172,112,TRUE,22
phoneme_334,247,37,TRUE,23
phoneme_336,15,269,TRUE,24
phoneme_338,93,191,TRUE,25
phoneme_341,20,264,TRUE,26
phoneme_343,19,265,TRUE,27
phoneme_358,3,281,TRUE,28
phoneme_380,5,279,TRUE,29
phoneme_385,14,270,TRUE,30
phoneme_391,193,91,TRUE,31
phoneme_392,270,14,TRUE,32
phoneme_394,17,267,TRUE,33
phoneme_396,18,266,TRUE,34
phoneme_397,11,273,TRUE,35
phoneme_398,11,273,TRUE,36
phoneme_401,69,215,TRUE,37
phoneme_403,4,280,TRUE,38
phoneme_409,188,96,TRUE,39
phoneme_410,4,280,TRUE,40
phoneme_414,8,276,TRUE,41
phoneme_415,224,60,TRUE,42
phoneme_430,243,41,TRUE,43
phoneme_435,7,277,TRUE,44
phoneme_437,3,281,TRUE,45
phoneme_449,4,280,TRUE,46
phoneme_453,3,281,TRUE,47
phoneme_458,29,255,TRUE,48
phoneme_467,6,278,TRUE,49
phoneme_468,13,271,TRUE,50
phoneme_473,3,281,TRUE,51
phoneme_476,78,206,TRUE,52
phoneme_477,6,278,TRUE,53
phoneme_482,120,164,TRUE,54
phoneme_493,15,269,TRUE,55
phoneme_497,3,281,TRUE,56
phoneme_507,11,273,TRUE,57
phoneme_515,282,2,TRUE,58
phoneme_516,279,5,TRUE,59
phoneme_519,9,275,TRUE,60
phoneme_520,11,273,TRUE,61
phoneme_536,53,231,TRUE,62
phoneme_544,254,30,TRUE,63
phoneme_545,6,278,TRUE,64
phoneme_550,9,275,TRUE,65
phoneme_555,153,131,TRUE,66
phoneme_560,15,269,TRUE,67
phoneme_572,51,233,TRUE,68
phoneme_574,3,281,TRUE,69
phoneme_588,15,269,TRUE,70
phoneme_589,43,241,TRUE,71
phoneme_593,5,279,TRUE,72
phoneme_595,5,279,TRUE,73
phoneme_597,5,279,TRUE,74
phoneme_598,4,280,TRUE,75
phoneme_609,47,237,TRUE,76
phoneme_619,14,270,TRUE,77
phoneme_631,15,269,TRUE,78
phoneme_632,164,120,TRUE,79
phoneme_633,21,263,TRUE,80
phoneme_634,160,124,TRUE,81
phoneme_636,9,275,TRUE,82
phoneme_639,280,4,TRUE,83
phoneme_644,6,278,TRUE,84
phoneme_648,253,31,TRUE,85
phoneme_649,6,278,TRUE,86
phoneme_652,280,4,TRUE,87
phoneme_653,148,136,TRUE,88
phoneme_676,4,280,TRUE,89
phoneme_688,4,280,TRUE,90
phoneme_698,5,279,TRUE,91
phoneme_703,6,278,TRUE,92
phoneme_704,159,125,TRUE,93
phoneme_706,5,279,TRUE,94
phoneme_711,55,229,TRUE,95
phoneme_718,3,281,TRUE,96
