node_i,node_j,w,log10_w_ratio
0,2,67.13411011478928,0.2548185404613951
0,1,67.10705974244097,0.2546435147577932
1,3,67.11475552897569,0.2546933164628713
1,2,67.15902228865902,0.2549796688761445
2,5,67.13438988002127,0.25482035027526045
2,6,67.08501681724815,0.25450083687236535
2,3,67.0514050971118,0.25428318703975933
3,7,67.0854443389326,0.254503604550241
3,6,67.30641173537134,0.25593174179358974
4,5,67.0619986129349,0.25435179622196225
5,6,67.02134658860496,0.2540884532935902
6,11,67.24612034413552,0.2555425373710826
6,7,66.58502694811577,0.25125188373734625
7,8,67.74882136520989,0.2587770480260375
7,12,67.06104599622967,0.25434562701845714
7,11,67.42386713000177,0.25668896196874263
8,13,66.54248666635704,0.25097433013848985
8,12,66.1405007999158,0.24834278285292802
9,18,16.192404866074046,-0.3628133419520481
9,10,16.17433057366036,-0.36329838106203854
10,19,16.18253872343409,-0.36307804118940745
10,18,16.22011686937331,-0.36207071704022487
11,12,66.18105778548973,0.24860900818729162
11,21,64.83132695782024,0.23966021465756673
11,22,64.33970555873923,0.2363543729750143
12,13,66.27519466293016,0.24922631590276118
12,22,64.9128238687352,0.24020580631826136
12,23,65.3509981695373,0.24312752926019862
13,14,63.98366245523015,0.2339443995717695
13,23,63.905961751239666,0.23341667902611077
13,24,63.39851724931726,0.2299544047057135
14,15,58.53349732845456,0.1952797775182427
14,24,61.31066753565374,0.21541134853554048
14,25,58.538447723442545,0.19531650586040616
15,16,52.080226299777685,0.1445481665568592
15,25,55.989800565422684,0.17598422443901712
15,26,51.466573113614174,0.13940055573435062
16,17,44.34556662469472,0.07472551234899577
16,26,48.657393913585494,0.115024148327163
16,27,44.42145321021283,0.07546806591069403
17,27,40.65821785397913,0.03702364245283326
17,28,33.354913905656616,-0.04896487210340493
18,31,16.204641674843458,-0.362485263973046
18,19,16.12432893083487,-0.36464304707891204
19,32,16.40928568906681,-0.35703501987425934
19,20,16.159871841863286,-0.36368678389150233
19,31,16.177057447521392,-0.36322516835952817
20,33,16.269014112007,-0.36076346024088374
20,32,17.558817848030092,-0.32762942254468647
21,34,62.40125814611993,0.2230686499889836
21,22,58.83665923448127,0.19752330925693615
22,35,62.921886810940975,0.22667704103384703
22,23,60.10015989924345,0.20675093135449824
22,34,60.78989176795673,0.21170667404469629
23,36,62.75720631690978,0.2255389062974007
23,24,61.04529976465492,0.2135275345808514
23,35,61.58899461914879,0.21737841859991577
24,37,59.89073482071723,0.20523494552004212
24,25,61.016016713723616,0.2133191562339082
24,36,59.46093133872445,0.20210701118216629
25,38,53.540073307448274,0.15655426538015735
25,26,57.86996514659758,0.19032852469039918
25,37,53.3524819817979,0.15502993169758975
26,39,46.793994332130374,0.09806542201126082
26,27,50.45326737158777,0.13076460043894086
26,38,45.03639729976326,0.08143894560398277
27,40,36.09952400234505,-0.014623220645529109
27,28,41.3381193057274,0.04422601822929708
27,39,36.93689662508947,-0.004664292153194599
28,40,23.187068499334792,-0.206878851096208
28,41,30.62337720730511,-0.08607161224250671
28,29,24.818761507652077,-0.17734459033402616
29,42,15.478701957804269,-0.3823901581225167
29,30,22.51008386022095,-0.21974758316377827
29,41,16.32082310489311,-0.3593826384510565
30,43,13.296735132195531,-0.4483796783111355
30,42,7.300402189848009,-0.7087779094116845
31,46,16.067943634836986,-0.36616439652100463
31,32,15.987838208642271,-0.3683349514089357
32,46,16.60923731106754,-0.35177500581416327
32,47,15.724910062595361,-0.3755365258994774
32,33,16.479158129155756,-0.3551896749870887
33,47,18.59644091264953,-0.30269486156431896
33,48,22.199848969181353,-0.2257746762575505
34,50,57.43775237857503,0.18707274089208784
34,49,50.30002451841899,0.12944350063974275
34,35,53.55424660147014,0.15666921794580715
35,51,59.333497963739426,0.20117525650107826
35,50,55.31211530139299,0.17069557140169436
35,36,56.63193974013464,0.18093674109476257
36,52,59.269192141915646,0.20070431159613336
36,51,57.63517933715848,0.18856295273497065
36,37,57.907335008759155,0.1906088823333584
37,52,54.3841665450892,0.16334778110634712
37,38,57.315760771579534,0.18614936521041223
37,53,55.98391024363991,0.17593853274530138
38,54,46.56846611002451,0.09596723710005937
38,53,53.201320271322295,0.15379771399372882
38,39,50.03824385238469,0.12717736313251102
39,40,38.13713576923763,0.00922337680725779
39,55,46.38545256306954,0.0942571020698734
39,54,41.00210568024515,0.04068146455653034
40,41,28.745223564713466,-0.11355900540886711
40,56,35.97126103918015,-0.01616903302741754
40,55,31.176786122182264,-0.0782933524588749
41,56,20.626976907528885,-0.2576891137301227
41,42,25.684483281384583,-0.16245386306763449
41,57,21.88487659847883,-0.23198059399597176
42,58,9.22687018610742,-0.6070702855948366
42,57,16.198827406984666,-0.36264111793226894
42,43,11.536671117318713,-0.5100441839923071
43,44,2.981758257336408,-1.0976522654978331
43,59,6.824382784875675,-0.7380613173562827
43,58,4.612249911427234,-0.9082118649174865
44,59,2.729462449016791,-1.1360475722977177
44,45,2.683830059219772,-1.143369683376227
44,60,2.692151037852069,-1.142025274634967
45,60,2.7655973603574475,-1.1303357440909203
46,61,17.676045187354816,-0.32473959298047356
46,47,16.210582633565615,-0.3623260717617203
47,62,22.05563400942941,-0.22860514962316067
47,48,17.862903846889424,-0.32017263561322495
47,61,20.229346262058876,-0.2661428479102771
48,63,35.10540108149083,-0.02675075686850617
48,49,24.78784163759427,-0.1778859832065413
48,62,29.775091159274137,-0.09827159631952781
49,50,47.10840479919658,0.10097370214971989
49,64,36.30886006867774,-0.012112081833940299
49,63,41.94087046362469,0.05051274369637315
50,65,53.03191627364826,0.15241262423922144
50,51,47.35231141469323,0.10321648702093485
50,64,49.32118206494785,0.12090878053469799
51,66,55.414301390024406,0.17149716632989623
51,52,51.59783708945427,0.1405068008696261
51,65,53.1242983393118,0.15316851086571906
52,67,55.36125926278102,0.17108126403529314
52,53,54.09961092969506,0.16106944567480203
52,66,54.714838986130104,0.16598042941554955
53,68,52.69912722362595,0.149678726595619
53,54,54.67905407865976,0.16569629676483708
53,67,54.153812629214634,0.16150434186938534
54,55,45.676013560232704,0.08756349710605456
54,68,52.74941471593776,0.15009294914765606
55,56,33.25567051370672,-0.050258987438285156
56,57,22.52854388437551,-0.2193915737790994
57,58,12.40447456665916,-0.4785463231193863
58,59,5.192004239275812,-0.8567896577159838
59,60,3.087515385901399,-1.0825155656334824
61,70,20.164138010195945,-0.26754503487530973
61,69,16.25990631310443,-0.3610066571780916
61,62,17.844582819048778,-0.3206182968868201
62,71,26.313280298313227,-0.15194970410002523
62,70,19.988945717710102,-0.2713348074976562
62,63,23.57630972082068,-0.19964886792566722
63,72,35.97008647628697,-0.01618321419585037
63,71,28.12693309657551,-0.12300231594814579
63,64,31.223096531600397,-0.07764872435695488
64,73,45.314438137362174,0.08411190334933141
64,72,36.17554545168408,-0.013709608015908543
64,65,39.65435627582483,0.026166208093934266
65,74,49.777796839932215,0.12491097475946686
65,73,42.960517273820116,0.06094480581340115
65,66,46.621556255221236,0.09646207032386554
66,67,52.36287120705173,0.14689875603874014
66,75,48.67054411824262,0.11514150540815597
66,74,50.62069534796852,0.13220341041154343
67,76,53.83468866636653,0.158937509699401
67,75,51.60469361043888,0.14056450777299087
67,68,52.71158708407275,0.1497813963991218
68,76,53.55934332331477,0.15671054749467475
69,78,18.584070269804702,-0.3029838571672567
69,77,10.930751363699894,-0.5334746803734136
69,70,16.36008695667088,-0.3583390884190798
70,78,19.27653797200307,-0.2870956579678958
70,71,17.92885723737453,-0.3185720870454822
70,79,16.918277110290553,-0.34376856196938504
71,72,27.731111135449776,-0.1291574247896293
71,80,20.425477354329292,-0.2619524810928907
71,79,24.16303491482495,-0.1889732146717643
72,80,33.86688639034277,-0.04234942523032313
72,73,27.032887850186114,-0.14023225343010304
72,81,30.695154217796723,-0.08505487641739418
73,81,41.90184697242329,0.05010847034657159
73,74,33.35364511319988,-0.04898139260904349
73,82,37.96537897481916,0.007263043303245169
74,82,47.516121484305714,0.1047162879102851
74,75,41.6876944180037,0.04788318056493031
74,83,45.602336563924965,0.08686239942308478
75,84,50.58813106695345,0.13192393897528654
75,83,47.77429365666477,0.10706957861668463
75,76,49.028951754351574,0.11832791196017117
76,84,50.446671793045866,0.1307078229345439
77,85,11.607309998409287,-0.5073931127375999
77,78,1.9653943836751835,-1.2786749854354378
77,86,8.68945293273933,-0.6331322609471275
78,87,17.83616740222078,-0.3208231563214686
78,86,15.43584314636473,-0.3835943393369838
78,79,14.18112996212939,-0.4204138590032633
79,87,20.010025560813286,-0.2708770527057689
79,80,13.912618780067907,-0.42871581092864636
79,88,18.988166615039074,-0.293641662253173
80,88,26.524205979911184,-0.1484823042420376
80,81,21.12293480361219,-0.2473704375294248
80,89,23.146622514637553,-0.20763706707453397
81,89,34.03258822769242,-0.0402297170332264
81,82,26.1938236423966,-0.1539257969371875
81,90,30.308489027797876,-0.09056041013016942
82,90,41.76995455921993,0.04873930669399581
82,83,34.34712961639535,-0.03623424711199419
82,91,38.50513434209432,0.013393946846805251
83,92,46.47939117304451,0.09513573454743482
83,91,42.68201478707208,0.058120215819666594
83,84,44.704389423006546,0.07822547150937496
84,92,46.57061827710649,0.09598730760631694
85,86,2.196521840888183,-1.2303891701250913
86,87,11.669309530112633,-0.5050795363916458
86,93,10.13031719995501,-0.5665016519312764
87,94,14.825162523771086,-0.4011252330088522
87,93,12.970794561149772,-0.45915811532659706
87,88,13.476978052140604,-0.44253217500965986
88,94,20.3145379942759,-0.26431774632786764
88,89,17.11603318361128,-0.33872157631159966
88,95,18.879094298645512,-0.2961435403926585
89,96,26.19547409866523,-0.1538984331785104
89,95,21.243615154639894,-0.24489627088951885
89,90,23.428570732973082,-0.20237890097108738
90,96,34.28804590750605,-0.0369819609448339
90,91,27.784851707326716,-0.1283166128892145
91,92,41.34593269521632,0.04430809722441112
93,94,13.734068468861834,-0.43432548794541154
94,95,16.319444161603442,-0.3594193334607527
95,96,20.952305706344372,-0.2508928740373912
